basis_source,outer,position_rel_to_direct20
joint_covariance,0,0.13766120503185358
joint_covariance,1,0.02135497814686932
joint_covariance,2,0.002807319817742742
joint_covariance,3,0.0004572534586400757
joint_covariance,4,0.0005682115133804861
joint_covariance,5,0.0009652351316746837
joint_covariance,6,0.0011354852801533056
joint_covariance,7,0.0012073291324320868
joint_covariance,8,0.0012379987848636326
joint_covariance,9,0.0012508664652981047
joint_covariance,10,0.001256540919738555
joint_covariance,11,0.0012589365907280756
joint_covariance,12,0.0012599789627295744
joint_covariance,13,0.0012603679512663288
joint_covariance,14,0.0012606611331276735
joint_covariance,15,0.00126047499308385
joint_covariance,16,0.0012606872787402756
joint_covariance,17,0.0012603564445129477
joint_covariance,18,0.0012606615688361537
joint_covariance,19,0.0012605601808403416
joint_covariance,20,0.0012606624269793701
message_conditioned_information,0,0.13766120503185358
message_conditioned_information,1,0.029615766198492394
message_conditioned_information,2,0.013741924404990983
message_conditioned_information,3,0.008647194031951548
message_conditioned_information,4,0.0059365868146000625
message_conditioned_information,5,0.0044658344607816985
message_conditioned_information,6,0.0036684050173351524
message_conditioned_information,7,0.0032357142951459994
message_conditioned_information,8,0.0030003263490276265
message_conditioned_information,9,0.002872219059953669
message_conditioned_information,10,0.002802162541287978
message_conditioned_information,11,0.002763991765885495
message_conditioned_information,12,0.0027431078692812245
message_conditioned_information,13,0.002731720270485363
message_conditioned_information,14,0.0027255955067473905
message_conditioned_information,15,0.0027220721697918233
message_conditioned_information,16,0.0027201313849600007
message_conditioned_information,17,0.002719151336321713
message_conditioned_information,18,0.002718525600991593
message_conditioned_information,19,0.0027182542996270764
message_conditioned_information,20,0.0027181060906946884
