experiment,inner_sweeps,final_relerr,final_fixed_residual_norm,best_relerr,best_step,notes
single_sync_1000,1000,0.028996194531018055,0.03328868437196743,0.028996194531018055,1000,single-layer persistent residual sync
single_sync_5000,5000,0.023387746943299675,0.020184568927565226,0.023387746943299675,5000,single-layer persistent residual sync
fixed_k_2,200,0.0010300461394915472,18.324426997325517,0.0005299291545957894,79,persistent residual multigrid
fixed_k_10,880,1360771814254.6873,5081659154669241.0,0.0011191608492520258,7,persistent residual multigrid
fixed_k_50,5000,1.0673823848669034e-08,5.65561982929904e-08,9.371356145235665e-09,63,persistent residual multigrid
adaptive_ratio_0.5,6119.0,1.0656851219964522e-08,8.134817337145606e-08,9.993786730340184e-09,48,persistent residual multigrid
adaptive_ratio_0.1,18810.0,1.0648082979848564e-08,1.1376585247970408e-07,1.048548899565006e-08,14,persistent residual multigrid
