method,nonlinear_objective,mean_pose_log_error,rms_translation_error,rms_angle_error
initial_odometry,602585.0441299444,87.92730695372335,100.07173463021118,0.3696037132425942
direct_newton_outer20,592.8366091994278,48.68559423009913,53.694885480017966,0.23943513391373517
persistent_residual_mg_c1_outer20,677.7935791721146,51.80301370408106,58.31109144396452,0.24599149214838625
persistent_residual_mg_c2_outer20,593.1209192966215,48.431977165461944,53.81100289081075,0.23881451666781334
