outer,nonlinear_objective,inner_cycles,pre_sweeps,basis_source,coarse_damping,e_hat_norm,e_star_norm,e_rel_to_exact,linear_residual_exact,linear_residual_approx,next_pose_gap_to_exact,next_objective_gap_to_exact,num_groups,coarse_dim,exact_next_objective
0,3350168.410825497,,,,,,,,,,,,,,
1,1083789059.756998,3,100,message_conditioned_information,0.8,480.55859844079833,699.3488142897845,0.5694195926991961,0.001431575703154367,1198923719.14342,8.005321647305164,181635737.7031263,61,244,902153322.0538718
2,2712209.4824660113,3,100,message_conditioned_information,0.8,166.2582004176508,331.06130666636307,0.6925051768965498,0.0002985692418052183,75532287.63849854,5.387898037873311,-699557565.3841429,61,244,702269774.8666089
3,84358.93972589378,3,100,message_conditioned_information,0.8,28.024763070636418,198.09304758924876,0.8605218187180562,0.00021418213903812532,242022601.9837868,4.341175714171777,-5892357.767201405,61,244,5976716.706927299
4,293.6003776507996,3,100,message_conditioned_information,0.8,33.8007818532339,170.22262772355518,0.8015068411513812,0.00010674723053911024,13246989.364767432,3.477014374514084,-13736.251553974136,61,244,14029.851931624935
5,3225.309682439584,3,100,message_conditioned_information,0.8,27.04258602195596,136.26394921566853,0.8018538984311921,0.0001530249538677528,162155972.4769456,2.7871187871152108,-14152.534363151484,61,244,17377.844045591068
6,1337.4948561604185,3,100,message_conditioned_information,0.8,23.509796372428806,109.33616947971039,0.7849860781408532,0.00010091175825151423,99730906.13017231,2.185934350629887,-5208.607865030845,61,244,6546.102721191263
7,202.16075542949162,3,100,message_conditioned_information,0.8,21.34886511461109,85.713753915546,0.7510308254660167,6.045419443043668e-05,35175177.360693105,1.6400179107628756,-1977.5612321166852,61,244,2179.721987546177
8,4542.4227198581475,3,100,message_conditioned_information,0.8,18.496122738584504,64.28295589093732,0.7131084320583433,7.655585056545618e-05,221839986.54416928,1.168265218878707,3534.7490736466293,61,244,1007.6736462115182
9,334.3483714796865,3,100,message_conditioned_information,0.8,12.733501434713153,45.774069815054766,0.7221702440359664,7.11506897262893e-05,38337710.12623282,0.8408130334538222,-94.89985977384742,61,244,429.2482312535339
10,18783.914210844116,3,100,message_conditioned_information,0.8,14.734526710128954,33.040894548986984,0.564301219998784,5.210190361153582e-05,446990655.55874985,0.47790017154603315,18655.665358402006,61,244,128.24885244211137
11,998.7731709697439,3,100,message_conditioned_information,0.8,6.91552965454046,18.57785610829703,0.6297603013326254,3.0126977366568306e-05,99441933.46621324,0.29835204453123554,888.1625372822236,61,244,110.61063368752026
12,10567.467089592672,3,100,message_conditioned_information,0.8,5.816459622107962,11.710044635682067,0.515482991914405,1.901234291902653e-05,331112590.2793106,0.1593481131584076,10459.513801612111,61,244,107.95328798056143
13,280.3509151209582,3,100,message_conditioned_information,0.8,2.933918829748334,6.033371185433779,0.5346053938211889,2.0288333226339405e-05,45819367.16404216,0.08347657893173072,169.54585404992133,61,244,110.80506107103686
14,111.68986140272162,3,100,message_conditioned_information,0.8,3.8851309944801486,3.2277718738153203,0.29293751885979663,2.895935745324945e-06,5508716.270328224,0.025837915420575713,3.7688458651615804,61,244,107.92101553756004
15,21483.083003786593,3,100,message_conditioned_information,0.8,17.450835054559043,0.9453198374051816,17.712113400898378,3.1718094463317523e-06,462298888.6334329,0.4194474897844937,21375.16246079112,61,244,107.92054299547021
16,242.90116873866552,3,100,message_conditioned_information,0.8,6.193048564218632,16.716138042240956,0.6369834069462186,6.9797317425817825e-06,33878873.061963476,0.2707779836005619,106.54727403414702,61,244,136.3538947045185
17,498.39404618984344,3,100,message_conditioned_information,0.8,1.243077339631439,10.681328952102595,0.8932886522246468,1.035517693712836e-05,64998442.60086066,0.24218237826561445,390.44129837195374,61,244,107.95274781788967
18,207.58679820441745,3,100,message_conditioned_information,0.8,1.9844825439914877,9.547142449042,0.7922349941584875,8.782243879249984e-06,33029580.60564803,0.19214743023497627,99.54156415200944,61,244,108.045234052408
19,204.58292863402986,3,100,message_conditioned_information,0.8,3.9167271767741103,7.561564044416773,0.5014702002876058,7.774333615306405e-06,33025322.61224978,0.09741942441675427,96.64765540133786,61,244,107.935273232692
20,690.2480048508066,3,100,message_conditioned_information,0.8,1.805410362363474,3.786196889925069,0.6739007449445622,4.918528338173763e-06,79844097.5297701,0.06597252443872549,582.2644589678947,61,244,107.98354588291194
