outer,direct_outer_objective,base_objective,exact_next_objective,projection_next_objective,ideal_coarse_next_objective,projection_next_gap_to_exact,ideal_coarse_next_gap_to_exact,e_star_norm,projection_rel_error,ideal_coarse_rel_error,projection_a_rel_error,ideal_coarse_a_rel_error,projection_linear_residual,ideal_coarse_linear_residual,exact_linear_residual,coarse_residual_norm,coarse_dim,num_groups,full_dim,compression_ratio
0,3350168.410825497,3350168.410825497,902153322.0538718,1963588193.45293,1709844369.3020866,1061434871.3990582,807691047.2482148,699.3488142897845,0.586915747077848,0.8104987990729852,1.001701694681446,0.9813505150302302,1535584.222161681,1535879.7693887171,0.001431575703154367,930.3450204725334,244,61,3684,0.06623235613463627
1,902153322.0538718,902153322.0538718,4712688.29331331,902737110.4308217,903267860.589039,898024422.1375084,898555172.2957257,34.980999709860846,0.7130529600040239,0.9580730565758865,1.0000000103748408,0.9999997107919206,98509367917.68846,98509367917.79446,0.00022406731799749422,63.23975236505341,244,61,3684,0.06623235613463627
2,4712688.29331331,4712688.29331331,109.13274693353951,4712695.954339807,4712690.915900908,4712586.821592873,4712581.783153974,1.4030420782813426,0.6707492690171478,0.9661412919383741,1.0000000911888889,0.9999999745888186,7122136070.229804,7122136070.230801,1.732033833613413e-06,1.328558119776217,244,61,3684,0.06623235613463627
3,109.13274693353951,109.13274693353951,107.91906069978756,109.13294636162544,109.13270515607259,1.2138856618378782,1.2136444562850244,0.020180951686789912,0.5262975195098247,0.8784829577706593,1.0000796379282868,0.9999827429152098,3456491.382102226,3456491.382072611,1.6908898794281618e-08,0.015219819994794898,244,61,3684,0.06623235613463627
4,107.91906069978756,107.91906069978756,107.91906057435813,107.91906074808496,107.91906068649752,1.7372683203120687e-07,1.1213938932996825e-07,0.000341844482073432,0.5943886813559885,0.8715656261360653,1.178534193584064,0.9452726691174492,4.932127086688673,4.9321259006763105,5.965024478422204e-10,0.0002421399209253051,244,61,3684,0.06623235613463627
5,107.91906057435813,107.91906057435813,107.9190605740833,107.91906057443902,107.91906057414778,3.5571190437622136e-10,6.447464784287149e-11,2.1687027192468303e-05,0.4919659400269811,0.7865989247821658,1.1341103657759093,0.5820362452813167,0.005064749432265473,0.005061569968674772,9.834437491229019e-11,2.6734125894880867e-05,244,61,3684,0.06623235613463627
6,107.9190605740833,107.9190605740833,107.91906057406523,107.91906057417057,107.9190605741815,1.0534506600379245e-10,1.162732132797828e-10,1.2346972288624102e-05,0.6586923610913538,0.9996764752323652,15.222524960886677,0.9459075486573028,0.00014481049676226,3.691305188074324e-05,5.230404705640949e-11,4.2060090031600616e-07,244,61,3684,0.06623235613463627
7,107.91906057406523,107.91906057406523,107.91906057418903,107.91906057416566,107.91906057411477,-2.3376856006507296e-11,-7.426592674164567e-11,8.935146632710782e-06,0.6577570973690323,1.000142566766115,67.83425487092994,0.9969236979293997,0.00010863188882118691,3.588097198471978e-05,1.1985791712167889e-11,7.267779746385727e-08,244,61,3684,0.06623235613463627
