outer,trial,accepted,damping,nonlinear_objective_before,nonlinear_objective_after,actual_reduction,predicted_reduction,rho,step_norm,gradient_inf_norm,linear_residual_norm
1,1,True,16064.839580867898,3548660355.5203156,3546089908.8007545,2570446.7195611,2554773.879407865,1.0061347269437668,0.17650367768995892,2760818730.705343,6.687567088827027e-08
2,1,True,5354.946526955966,3546089908.8007545,3538330539.357351,7759369.443403721,7656205.261703406,1.0134745841019108,0.5277980657044553,2753554108.4979134,4.960812509552281e-07
3,1,True,1784.9821756519887,3538330539.357351,3514950420.1290226,23380119.228328228,22848770.600657284,1.0232550204541708,1.5697744105763416,2731971882.436128,5.24953615923988e-07
4,1,True,594.9940585506629,3514950420.1290226,3445293903.626248,69656516.50277472,67294923.97872606,1.0350931747065384,4.6042847105358655,2669040416.8369365,5.582543564518934e-07
5,1,True,198.33135285022095,3445293903.626248,3245938204.8400683,199355698.78617954,190661790.28375548,1.045598588419238,13.08653508925142,2494535733.2431736,5.739067287016215e-07
6,1,True,66.11045095007364,3245938204.8400683,2748021024.181677,497917180.6583915,481503881.4671778,1.03408757400086,34.613210395525144,2063632717.9124067,3.931653411872515e-07
7,1,True,22.03681698335788,2748021024.181677,1748813636.8108952,999207387.3707817,963786528.1566144,1.036751768342223,76.90119986416519,1225521448.5474243,3.3122880926004653e-07
8,1,True,7.3456056611192935,1748813636.8108952,532873681.43010205,1215939955.380793,1205215440.5637367,1.0088984213577947,134.3131291039634,684692715.9953325,2.8900799585833904e-07
9,1,True,2.4485352203730977,532873681.43010205,91177280.35160433,441696401.0784977,484261026.50364745,0.9121039623352197,131.7117145585661,505980851.88330704,6.602429867910197e-08
10,1,True,1.077600697043906,91177280.35160433,2424501.8175167693,88752778.53408755,88632182.00556388,1.0013606404106816,114.1866287812592,183011220.57573444,4.865474713638416e-08
11,1,True,0.35920023234796866,2424501.8175167693,204304.09086673034,2220197.7266500387,2224291.012583743,0.9981597345353883,160.4541592378871,31046898.111067154,8.654637161008576e-09
12,1,True,0.11973341078265622,204304.09086673034,75866.11188350758,128437.97898322277,130884.0673083074,0.9813110306289405,211.23925462758328,5742724.885402007,4.207991579072282e-09
13,1,True,0.03991113692755207,75866.11188350758,36701.50547980284,39164.60640370473,40323.46867807061,0.9712608485242712,255.65879609554744,2037649.3061341336,2.5677274176727643e-10
14,1,True,0.013303712309184023,36701.50547980284,24264.24413549308,12437.261344309762,13280.940635781464,0.9364744324510672,284.321266224775,502631.9396657116,2.4800807748683384e-10
15,1,True,0.0044537940678307,24264.24413549308,21184.65473514445,3079.589400348632,6274.91315614926,0.49077801137864513,301.4337783730825,83317.33043564623,6.963036839393172e-10
16,1,True,0.004453822012171267,21184.65473514445,16490.277972652595,4694.376762491855,5768.055132370873,0.8138578177151197,174.07507522273946,73413.08349552547,5.570675881788497e-10
17,1,True,0.003352227670418672,16490.277972652595,14490.97098311422,1999.3069895383742,2978.0531977872474,0.671346969565184,151.14228554996168,24332.597296882792,9.441249258531737e-10
18,1,True,0.0032173149879881997,14490.97098311422,12753.618578451586,1737.3524046626353,2135.1908661615516,0.8136754574010925,111.77763994427147,7491.012905304938,5.244979179146066e-10
19,1,True,0.002422940681038767,12753.618578451586,12350.591394517382,403.027183934204,1337.3657489121947,0.30135898445284987,113.2975606630518,8250.61568617209,1.4814434302871282e-09
20,1,True,0.002574869285756374,12350.591394517382,12004.321210299015,346.2701842183669,1636.1060144849266,0.21164287714410643,99.69804503609684,12491.443121823067,9.43202317645916e-10
21,1,False,0.003068767236968539,12004.321210299015,12539.475895177868,-535.154684878853,1784.9655423260172,-0.29981233373361615,86.90592730690575,10823.305257989947,5.979604352535439e-10
21,2,True,0.006137534473937078,12004.321210299015,11824.671138180473,179.65007211854208,1578.7660410315557,0.11379144689555133,62.38018939777518,10823.305257989947,2.682185857093585e-10
22,1,True,0.008965991562238918,11824.671138180473,11013.498109178106,811.1730290023661,1493.4985815623586,0.5431361228035401,46.710887311028564,3288.5177449362927,2.8595652766860645e-10
23,1,True,0.008960234358039087,11013.498109178106,10747.81899924331,265.67910993479563,787.1908080281576,0.3375028102783593,39.93735545789522,2401.6123816977874,1.8433958415660028e-10
24,1,True,0.009267806445085097,10747.81899924331,10410.25278002347,337.5662192198415,616.0920746468163,0.5479152112342238,36.08754258323712,2348.6345498094715,1.3780587855983175e-10
25,1,True,0.009259650258293785,10410.25278002347,10243.193960695899,167.05881932757075,380.8576680356486,0.43863845564462656,32.01433498652884,2257.376538966405,1.9008171159162808e-10
26,1,True,0.00927676512081151,10243.193960695899,10057.164538721445,186.02942197445373,306.0750908840732,0.607790138809149,29.473981061402476,2212.589370274947,2.3243094013340634e-10
27,1,True,0.009183820632382664,10057.164538721445,9923.583593232936,133.58094548850931,217.49396317791178,0.6141823135534068,25.641804573306175,2166.016951344285,2.3939957889611327e-10
28,1,True,0.009074447690147232,9923.583593232936,9790.93460895222,132.648984280715,179.3128065481394,0.739763025487548,23.852283411629788,2134.24091236295,7.677796053178337e-11
29,1,True,0.008073856167587127,9790.93460895222,9665.309863080312,125.62474587190809,157.371454213886,0.7982689522660795,22.446431250015152,2105.085067608319,2.928739058175007e-10
30,1,True,0.0063599180347844895,9665.309863080312,9517.15013170998,148.15973137033325,169.4639152310285,0.8742848362045014,25.639589779066895,2208.534714701278,1.299688193674386e-10
31,1,True,0.0036921491499526155,9517.15013170998,9290.45812694773,226.69200476224978,251.55386394391405,0.901166856307135,36.478712923318376,2570.215108866459,5.292595728245998e-10
32,1,True,0.0017851769615960579,9290.45812694773,8884.12848971979,406.3296372279401,455.0061949297488,0.8930200110586974,60.75728449290933,4494.97001933532,9.355339513855964e-10
33,1,True,0.000918184640326228,8884.12848971979,8302.401355492924,581.727134226865,770.3944648911065,0.7551029514588877,86.6547430479748,12825.788890256596,1.6474573184272828e-09
34,1,True,0.0007962389489390886,8302.401355492924,8254.041686355384,48.35966913754055,943.9263350486476,0.05123246098971083,97.74757141948632,34829.9196279697,1.0432212161054086e-09
