base_label,start_objective,start_x_rel_to_direct,exact_after_objective,exact_after_x_rel_to_direct,c,k,ck_cost,beta,post_objective,objective_improvement,x_rel_to_direct,x_rel_improvement,linear_residual_approx,e_rel_to_exact,raw_full_step_objective,last_cycle_pre_residual_ratio,last_cycle_post_residual_ratio
fixed_path_completed_outer19,109.57278813537108,0.00625139975406041,107.94250827356883,2.675390797332292e-06,1,20,20,1.0,36915134507.469955,-36915134397.89717,1.3892508507241925,-1.3829994509701322,130787093123.51984,229.152800567776,36915134507.469955,33102.041304972074,33097.43500171852
fixed_path_completed_outer19,109.57278813537108,0.00625139975406041,107.94250827356883,2.675390797332292e-06,1,20,20,0.8,11967023164.03814,-11967023054.465351,1.119570849520583,-1.1133194497665226,130787093123.51984,229.152800567776,36915134507.469955,33102.041304972074,33097.43500171852
fixed_path_completed_outer19,109.57278813537108,0.00625139975406041,107.94250827356883,2.675390797332292e-06,1,20,20,0.5,1656297982.46981,-1656297872.8970218,0.7055945334182734,-0.699343133664213,130787093123.51984,229.152800567776,36915134507.469955,33102.041304972074,33097.43500171852
fixed_path_completed_outer19,109.57278813537108,0.00625139975406041,107.94250827356883,2.675390797332292e-06,1,20,20,0.3,291114807.3672437,-291114697.7944556,0.4243927309692941,-0.41814133121523367,130787093123.51984,229.152800567776,36915134507.469955,33102.041304972074,33097.43500171852
fixed_path_completed_outer19,109.57278813537108,0.00625139975406041,107.94250827356883,2.675390797332292e-06,1,20,20,0.2,134159713.18484148,-134159603.61205335,0.28329918585247454,-0.27704778609841413,130787093123.51984,229.152800567776,36915134507.469955,33102.041304972074,33097.43500171852
fixed_path_completed_outer19,109.57278813537108,0.00625139975406041,107.94250827356883,2.675390797332292e-06,1,20,20,0.1,36632420.72619671,-36632311.15340857,0.14126617713475761,-0.1350147773806972,130787093123.51984,229.152800567776,36915134507.469955,33102.041304972074,33097.43500171852
fixed_path_completed_outer19,109.57278813537108,0.00625139975406041,107.94250827356883,2.675390797332292e-06,1,20,20,0.05,8776082.813495172,-8775973.240707036,0.0698381673470489,-0.06358676759298848,130787093123.51984,229.152800567776,36915134507.469955,33102.041304972074,33097.43500171852
fixed_path_completed_outer19,109.57278813537108,0.00625139975406041,107.94250827356883,2.675390797332292e-06,1,20,20,0.02,1366504.8668016114,-1366395.294013476,0.027188243223585023,-0.020936843469524614,130787093123.51984,229.152800567776,36915134507.469955,33102.041304972074,33097.43500171852
fixed_path_completed_outer19,109.57278813537108,0.00625139975406041,107.94250827356883,2.675390797332292e-06,1,20,20,0.01,338306.3171959905,-338196.7444078551,0.013528009363998608,-0.007276609609938198,130787093123.51984,229.152800567776,36915134507.469955,33102.041304972074,33097.43500171852
fixed_path_completed_outer19,109.57278813537108,0.00625139975406041,107.94250827356883,2.675390797332292e-06,1,20,20,0.005,84070.1867885406,-83960.61400040523,0.007713584232184787,-0.001462184478124377,130787093123.51984,229.152800567776,36915134507.469955,33102.041304972074,33097.43500171852
fixed_path_completed_outer19,109.57278813537108,0.00625139975406041,107.94250827356883,2.675390797332292e-06,1,20,20,0.002,13399.377830197212,-13289.805042061842,0.005905635300347626,0.00034576445371278363,130787093123.51984,229.152800567776,36915134507.469955,33102.041304972074,33097.43500171852
fixed_path_completed_outer19,109.57278813537108,0.00625139975406041,107.94250827356883,2.675390797332292e-06,1,20,20,0.001,3383.434587887981,-3273.86179975261,0.0059090077010103634,0.0003423920530500465,130787093123.51984,229.152800567776,36915134507.469955,33102.041304972074,33097.43500171852
fixed_path_completed_outer19,109.57278813537108,0.00625139975406041,107.94250827356883,2.675390797332292e-06,1,50,50,1.0,72058390.84775712,-72058281.27496898,0.007288931470254325,-0.0010375317161939153,26875778396.374516,1.1655299419401182,72058390.84775712,6801.277848364997,6801.277613491292
fixed_path_completed_outer19,109.57278813537108,0.00625139975406041,107.94250827356883,2.675390797332292e-06,1,50,50,0.8,46119726.83780686,-46119617.265018724,0.006659366655909501,-0.0004079669018490911,26875778396.374516,1.1655299419401182,72058390.84775712,6801.277848364997,6801.277613491292
fixed_path_completed_outer19,109.57278813537108,0.00625139975406041,107.94250827356883,2.675390797332292e-06,1,50,50,0.5,18018819.659746636,-18018710.0869585,0.0060641091278371495,0.00018729062622326043,26875778396.374516,1.1655299419401182,72058390.84775712,6801.277848364997,6801.277613491292
fixed_path_completed_outer19,109.57278813537108,0.00625139975406041,107.94250827356883,2.675390797332292e-06,1,50,50,0.3,6489112.085039561,-6489002.512251426,0.005954543479546711,0.00029685627451369895,26875778396.374516,1.1655299419401182,72058390.84775712,6801.277848364997,6801.277613491292
fixed_path_completed_outer19,109.57278813537108,0.00625139975406041,107.94250827356883,2.675390797332292e-06,1,50,50,0.2,2885407.550018015,-2885297.9772298797,0.005993154272856423,0.0002582454812039871,26875778396.374516,1.1655299419401182,72058390.84775712,6801.277848364997,6801.277613491292
fixed_path_completed_outer19,109.57278813537108,0.00625139975406041,107.94250827356883,2.675390797332292e-06,1,50,50,0.1,722418.7920891588,-722309.2193010234,0.006093086272073149,0.00015831348198726107,26875778396.374516,1.1655299419401182,72058390.84775712,6801.277848364997,6801.277613491292
fixed_path_completed_outer19,109.57278813537108,0.00625139975406041,107.94250827356883,2.675390797332292e-06,1,50,50,0.05,181181.45642512338,-181071.883636988,0.006165187535167647,8.621221889276286e-05,26875778396.374516,1.1655299419401182,72058390.84775712,6801.277848364997,6801.277613491292
fixed_path_completed_outer19,109.57278813537108,0.00625139975406041,107.94250827356883,2.675390797332292e-06,1,50,50,0.02,29318.751210936378,-29209.178422801007,0.006215256978200709,3.614277585970056e-05,26875778396.374516,1.1655299419401182,72058390.84775712,6801.277848364997,6801.277613491292
fixed_path_completed_outer19,109.57278813537108,0.00625139975406041,107.94250827356883,2.675390797332292e-06,1,50,50,0.01,7510.922574804609,-7401.349786669238,0.0062330551577526976,1.834459630771241e-05,26875778396.374516,1.1655299419401182,72058390.84775712,6801.277848364997,6801.277613491292
