outer,v1_obj,v1_xrel,v4_obj,v4_xrel
12,317.6384475213946,0.0125206856500243,209.00372434703644,0.0134409237842759
13,237.57615895219425,0.0114794067629834,125.70169959247984,0.0115106920636877
14,219.31328659010367,0.0133715416235658,113.9357736444624,0.0060351283082548
15,214.62164512027536,0.0132781523883819,108.53762756591658,0.0059327983363659
16,208.36310037806197,0.0134422944490689,108.53213078852876,0.0059411729725832
17,148.2410176631039,0.0135356637212161,108.51855929968124,0.0059323840552964
18,141.82709733390226,0.0117043314479054,108.48703854176372,0.0058163159029931
19,109.62461818050556,0.0126718940203082,108.47439289674024,0.0057835256950079
20,107.94230217527266,0.0118970286988517,108.46591486473072,0.0057770946481515
