outer,nonlinear_objective,inner_cycles,pre_sweeps,basis_source,e_hat_norm,e_star_norm,e_rel_to_exact,linear_residual_exact,linear_residual_approx,next_pose_gap_to_exact,next_objective_gap_to_exact,num_groups,coarse_dim,exact_next_objective
0,3350168.410825497,,,,,,,,,,,,,
1,5820270306.534176,10,100,joint_information,456.1188380139158,699.3488142897845,0.5083131442901544,0.001431575703154367,203409687.13847813,7.440456021416441,4918116984.480304,61,244,902153322.0538718
2,1564465.7578326713,10,100,joint_information,91.40415211743111,290.86588222308234,0.8018707659736422,0.000767754795179559,796100021.3149992,6.097992185110999,-717292676.8021187,61,244,718857142.5599513
3,606.3297064627371,10,100,joint_information,20.083429165570156,229.2271348378796,0.9383357497206621,0.0006379842837800837,705202834.1048913,5.654973223608544,-5503637.781242259,61,244,5504244.110948722
4,39951.86758129478,10,100,joint_information,17.81863804147022,212.796815433285,0.9615250192159999,0.0017753851317473378,640715885.6723386,5.357255718669053,-1546879.97915414,61,244,1586831.8467354348
5,25249.960541869295,10,100,joint_information,14.119512542043683,202.24211774972892,0.9433404312683952,0.0007035328155317055,500955773.7703174,4.999231675711497,-1197728.1825590387,61,244,1222978.143100908
6,19413.65258730236,10,100,joint_information,61.48979266000437,189.7991093204912,1.0510981617990247,0.001042649134637829,580658279.9519634,5.207829575979697,-881447.5535822308,61,244,900861.2061695332
7,8179.97403915595,10,100,joint_information,15.102980047127538,203.09087296159208,0.9484610263019952,0.0007371002318865282,253276510.4104632,4.939728812294336,-1291268.882577543,61,244,1299448.856616699
8,2137.6935131668242,10,100,joint_information,13.543579552743607,189.3920642793202,0.9583049181336127,0.0004123536061381139,125383020.47955252,4.661005052199443,-796781.0515732402,61,244,798918.745086407
9,1914.1190748273166,10,100,joint_information,13.286798073128663,179.78689623329458,0.9592667038348558,0.00034910477303917085,115745406.0819721,4.443782931507122,-537180.585958418,61,244,539094.7050332453
10,239.4696032467385,10,100,joint_information,9.846399607139256,171.15722267228114,0.9624292946711054,0.0012328682046448668,22182231.29110436,4.259482344771016,-345928.0433308934,61,244,346167.5129341401
11,296.2202446070343,10,100,joint_information,7.480169040319632,163.77296544543591,0.9765612618215059,0.0011678957599979554,36138481.111595556,4.150640933284012,-236574.2708521874,61,244,236870.49109679443
12,123.94652763461531,10,100,joint_information,8.955234926807712,159.32470710119856,0.9559438308165693,0.0005571614391077894,3424573.3624256128,3.956253938308616,-175019.09618964183,61,244,175143.04271727643
13,158.0164142362341,10,100,joint_information,5.791876952174014,151.6358206798859,0.9939866543068047,0.0006955479474148853,24229248.505465467,3.923857525969695,-117236.94304540256,61,244,117394.95945963879
14,183.19242663091507,10,100,joint_information,7.543586146530433,150.2370311884256,0.9801036217471085,0.00026027872004514484,34347994.37478332,3.8396951109084587,-88378.85025744408,61,244,88562.042684075
15,321.8794373459045,10,100,joint_information,6.012925096687221,146.54102899784283,0.9773660358666724,0.00046900403549363095,52864198.18751572,3.7570483832138573,-55455.09433005812,61,244,55776.97376740402
16,431.59330844282147,10,100,joint_information,4.239227856320821,142.82134410178497,0.9866582478971962,0.0002900318579139118,61026224.601893485,3.701551736451641,-36706.89243554408,61,244,37138.4857439869
17,370.06247636978725,10,100,joint_information,4.33161185253797,140.63119760023713,0.9768162524809645,0.0007189820067200397,54524500.550040886,3.6107902047686866,-27063.186131062033,61,244,27433.248607431822
18,121.44413341097332,10,100,joint_information,9.584433388816887,137.1498219449517,1.032581219798453,0.00047538829615734895,12673133.529043296,3.680890511792283,-20500.74974131884,61,244,20622.19387472981
19,182.36850972432484,10,100,joint_information,3.583837872476654,141.42750464349234,0.9884131232312305,0.00017276314900974675,29505486.23176661,3.638179010224818,-29132.028474656316,61,244,29314.39698438064
20,208.3530638513555,10,100,joint_information,3.3813642024299524,139.5054348851342,0.9819405417944411,0.0002391041608471784,33745537.994359694,3.570633832940004,-21040.91193459902,61,244,21249.264998450373
