outer,nonlinear_objective,mean_pose_log_error,rms_translation_error,rms_angle_error,inner_cycles,pre_sweeps,e_hat_norm,e_star_norm,e_rel_to_exact,linear_residual_exact,linear_residual_approx,next_pose_gap_to_exact,next_objective_gap_to_exact,num_groups,coarse_dim
19,26.770030038544693,21.69370828096382,24.31224579222913,0.15897047196016306,10,50,0.0006280593593979277,0.00113528072389766,1.0557908800586522,1.8169222700113048e-17,0.002938473117118322,0.00012913607813188772,1.5426476096536135e-08,3,12
20,26.770030038550537,21.69371344950478,24.312251767813102,0.15897051568295492,10,50,5.0997737351114987e-05,0.0011723067565472779,1.022744327236331,1.9108518693934083e-17,0.0029386350757940748,0.0001291783062979929,1.543223504540947e-08,3,12
21,26.770030038554754,21.69371580503269,24.31224719401694,0.15897009741808482,10,50,0.0005415916878477702,0.0015035629187238851,0.7975943657264724,1.4418755903860895e-17,0.0029387583365423535,0.0001292099589086993,1.5437187528277718e-08,3,12
22,26.770030038555376,21.693716360920764,24.31225343504181,0.1589704371700384,10,50,0.0004309812847173461,0.0010852857900968832,1.104561396932222,1.2284637737807842e-17,0.0029385443920511727,0.00012915358712947605,1.543792649272291e-08,3,12
23,26.77003003855941,21.693716603764216,24.31225713890132,0.15897064491526955,10,50,0.0002587711313869876,0.0011135689848504966,1.0765729313290402,1.5252800557556774e-17,0.0029385743406607533,0.00012916244417932884,1.5439503897596296e-08,3,12
24,26.77003003855405,21.693718281155302,24.31225551157231,0.15897044668912375,10,50,0.00026815082464286656,0.0013305954101801366,0.9011735205851958,1.8018132117162057e-17,0.002938693151533391,0.00012919361875625293,1.543643790569149e-08,3,12
25,26.770030038566137,21.69372156070923,24.312254917980262,0.15897020810460805,10,50,0.00030882213323796156,0.001345906738426758,0.8909451559876157,1.3217874109067306e-17,0.002938711920393089,0.00012919741097668005,1.544902872296916e-08,3,12
26,26.770030038557685,21.693715966182882,24.312250447346493,0.15897028130930532,10,50,0.00013419900804557332,0.0011738103387794363,1.02136003709182,1.4057648295688418e-17,0.0029385959446990967,0.00012916781918428897,1.5440669187682943e-08,3,12
27,26.77003003855055,21.693723787245368,24.312261959216855,0.15897050039531552,10,50,0.00021922708596946324,0.0011029866278518647,1.0869590168993335,1.1134123026155097e-17,0.002938602668954946,0.0001291700325292999,1.5432576105922635e-08,3,12
28,26.77003003855913,21.693735704752093,24.31226868042568,0.15897017883457842,10,50,0.0004958732439567649,0.00144086782464098,0.832317050947071,1.479295630177609e-17,0.0029387720150151238,0.00012921302217910364,1.5440345890738172e-08,3,12
29,26.770030038541705,21.693703198557568,24.312236270797754,0.15897020914466964,10,50,0.0003903757566002219,0.001262529140705716,0.9494429843943836,1.3328038983269422e-17,0.002938508766854877,0.00012914575852251286,1.542388261555061e-08,3,12
30,26.77003003854934,21.693719823764276,24.31225946429105,0.15897059181898118,10,50,0.00039429539380548883,0.001041870687753972,1.1506787561322898,1.5386923276768985e-17,0.002938584898253773,0.0001291648706875445,1.5430526190129967e-08,3,12
31,26.770030038556385,21.693719459686438,24.312254994420044,0.15897034317903738,10,50,0.0003022162091969858,0.0013547653862276655,0.885104032996207,1.166108364316762e-17,0.002938699406439168,0.00012919492861210763,1.5439386658044896e-08,3,12
32,26.770030038557863,21.693733088305294,24.312262998521604,0.15896999751399676,10,50,0.0005509945030872609,0.0014758560939968333,0.8126070913439846,1.2993530473118092e-17,0.0029387869163531154,0.00012921690224618185,1.5437855438449333e-08,3,12
33,26.770030038544792,21.693710507501553,24.312246913890533,0.15897040383859273,10,50,0.0006992014960673599,0.0011966916333559267,1.0015538879767225,1.1810209212397414e-17,0.0029384413210969515,0.00012912791741485568,1.5427453092797805e-08,3,12
34,26.770030038562247,21.69373175466893,24.31225696521628,0.15896971637316307,10,50,0.001032182811619932,0.0018330184917350232,0.6544128395619259,1.242140998229603e-17,0.0029389082951743863,0.0001292481358840925,1.5437024103448493e-08,3,12
35,26.770030038551454,21.693722452418527,24.312254547164336,0.15897013528141166,10,50,0.0006047307892592493,0.0011262701773689743,1.0642679236553685,1.528746805217272e-17,0.002938494845177659,0.0001291401553528478,1.543392613712058e-08,3,12
36,26.770030038554708,21.69372368836155,24.312256561873415,0.15897018103974453,10,50,4.96317723473355e-05,0.0011751372299316297,1.0202660978537477,9.403216179525889e-18,0.0029386299807458533,0.00012917619477382782,1.5437432665521555e-08,3,12
37,26.770030038560083,21.69370494411279,24.312241541828268,0.1589704143337366,10,50,0.0004715149444905539,0.0011660236910955924,1.0280003249973175,1.90734675870547e-17,0.0029385008087478466,0.00012914251771755213,1.5441816714201195e-08,3,12
38,26.770030038557294,21.69371832959539,24.312255846548652,0.1589704628252067,10,50,0.00012893502686433627,0.0011816996746704435,1.0146746606168051,1.2478013755183255e-17,0.0029386686180001456,0.00012918679481542183,1.5439688638707594e-08,3,12
39,26.770030038554356,21.693715950938934,24.312249480081057,0.1589702253947188,10,50,0.0002837855306280117,0.0013511088373441298,0.8874855977655518,1.1439589311149904e-17,0.0029386907784733395,0.00012919268330559316,1.5437429112807877e-08,3,12
40,26.770030038540295,21.693717361174798,24.31225020244911,0.15897018709703795,10,50,7.636180109977375e-05,0.0012310004446711876,0.9740124094477332,1.2341038239473082e-17,0.0029386524978800527,0.00012918307875211168,1.5423179178242208e-08,3,12
41,26.770030038548995,21.69371482565333,24.312252626863348,0.15897048391616223,10,50,0.00040376970468623266,0.0010985642487314855,1.0912058290798268,1.3658316324624696e-17,0.002938539968760769,0.00012915298707368597,1.5431091071604897e-08,3,12
42,26.770030038565917,21.69372483475504,24.312261127496132,0.1589703824790611,10,50,0.00020213503508584627,0.001254373821438617,0.9559329153282647,1.1193957645284065e-17,0.0029386984320126336,0.00012919357146307854,1.5448591739186668e-08,3,12
43,26.770030038551308,21.693719979250766,24.312255392947307,0.15897033675415098,10,50,5.743541898742807e-05,0.0012352698853241566,0.9706093018471094,1.295069069366527e-17,0.0029386317666608304,0.0001291776315870342,1.5434185485219132e-08,3,12
44,26.770030038563153,21.69371410896312,24.312254616193712,0.15897064382603993,10,50,0.00044315843410971343,0.0011089366141542817,1.08096994092693,1.2117664301165858e-17,0.002938524973593234,0.00012914906896710748,1.5443127665548673e-08,3,12
