outer,nonlinear_objective,inner_cycles,pre_sweeps,basis_source,coarse_damping,e_hat_norm,e_star_norm,e_rel_to_exact,linear_residual_exact,linear_residual_approx,next_pose_gap_to_exact,next_objective_gap_to_exact,num_groups,coarse_dim,exact_next_objective
0,3350168.410825497,,,,,,,,,,,,,,
1,1058775948.0071136,2,50,message_conditioned_information,1.0,489.18010897461596,699.3488142897845,0.5393082079728165,0.001431575703154367,26413194690.956516,7.381823524590847,156622625.95324183,61,244,902153322.0538718
2,34341923.565397866,2,50,message_conditioned_information,1.0,158.44739922872586,307.2184157451657,0.6438669966509328,7.50918098770455e-05,1592119850.9037209,4.758710786519946,-934321415.9937819,61,244,968663339.5591798
3,265589.94599018875,2,50,message_conditioned_information,1.0,20.489084633242587,175.78389518043647,0.8906691979710879,0.00010076486138702686,457973969.2178126,3.9896561077281114,-6981277.743423866,61,244,7246867.689414055
4,87418545.81351118,2,50,message_conditioned_information,1.0,219.87612301027994,157.36536110022632,0.425323542685742,0.0001201380524762813,21791502348.050335,1.8036928518500313,87325344.79588716,61,244,93201.01762401714
5,6184104.270468303,2,50,message_conditioned_information,1.0,70.31976554583132,69.70226047994309,1.5492533631782877,3.085564454996395e-05,5726632688.440686,2.574474661006223,5322209.631290692,61,244,861894.6391776113
6,890602.4919542599,2,50,message_conditioned_information,1.0,63.897748375476326,114.14954822833202,0.8978787058481896,3.713775932076703e-05,2529063287.9473352,2.487765544629782,404471.6346639381,61,244,486130.85729032184
7,7814.62453509491,2,50,message_conditioned_information,1.0,12.549501910380096,94.67122163660811,0.8882062578768536,7.433794837161025e-05,282244561.5502069,2.1298315706354063,3594.9210834770493,61,244,4219.703451617861
8,9970.649070295181,2,50,message_conditioned_information,1.0,6.025809037631886,83.15512146403479,0.9681417914499054,5.2289645284341105e-05,246359491.32247475,2.045436799992743,7953.316642442002,61,244,2017.332427853179
9,126834.02363701894,2,50,message_conditioned_information,1.0,3.0271015250623003,80.17732535970202,0.9959230711382806,6.729021157661743e-05,1169168872.7029574,2.0215183031732997,124269.81193381092,61,244,2564.2117032080077
10,34116.173627605924,2,50,message_conditioned_information,1.0,22.228728044395986,80.16361360809785,1.2343307110090118,5.464462531546156e-05,699688535.8892486,2.3893083898085146,29432.88943777947,61,244,4683.2841898264505
11,95907.43553166086,2,50,message_conditioned_information,1.0,22.608215625164195,98.33542762913258,0.7993670729319688,0.0001421425540920352,1077418537.6156547,1.9768732422574584,-193735.728941228,61,244,289643.16447288886
12,1030624.4772385511,2,50,message_conditioned_information,1.0,10.084261883188832,79.1288299597303,0.9586787811650548,3.247945975774872e-05,2793412967.912493,1.9777042137566967,995591.9688684511,61,244,35032.50837010008
13,22322.325040482534,2,50,message_conditioned_information,1.0,7.04013655431196,75.59841580846778,0.9411984927049376,6.936114672242767e-05,273340310.1327701,1.830830237356731,-218851.96187407235,61,244,241174.2869145549
14,1762155.9037733867,2,50,message_conditioned_information,1.0,7.479475643338944,71.5680905034824,0.8978799030874068,4.665474852743925e-05,4291584415.2284446,1.6482827148024097,1751735.4480802584,61,244,10420.455693128364
15,11595371.405923009,2,50,message_conditioned_information,1.0,14.16127735767052,64.14144120910008,1.1732006458239417,2.043925913862823e-05,11222069459.413681,1.8677873017123707,11565164.31572607,61,244,30207.090196938418
16,218935.8658571331,2,50,message_conditioned_information,1.0,12.296461180767377,74.63672903409838,0.8588024436691696,3.207536213694766e-05,1524997073.262694,1.6249712362683912,194130.12728181118,61,244,24805.738575321924
17,2095082.851770031,2,50,message_conditioned_information,1.0,16.21710100490977,64.71089132256081,0.8294895248049936,5.973728150048519e-05,4741059358.893321,1.3874365008920369,2088041.6047643423,61,244,7041.247005688725
18,996.8699955472224,2,50,message_conditioned_information,1.0,10.35041161991974,54.65348583395381,0.9755393935029334,2.4408167507102336e-05,42199317.689987116,1.3542331583836502,-7465.323818335941,61,244,8462.193813883163
19,8224.048734602837,2,50,message_conditioned_information,1.0,3.832711906685299,52.38959634410857,0.9669840403225118,7.432461999626521e-05,261960146.61987916,1.302543227422,6915.569442075787,61,244,1308.4792925270497
20,410265.5498127856,2,50,message_conditioned_information,1.0,19.63927889563241,50.44791962257728,1.3631619204288492,8.731235074552759e-05,1932587889.534954,1.7735368740467692,408180.6893225528,61,244,2084.860490232781
