outer,start_objective,k,c,post_objective,objective_delta,improves,e_rel_to_exact,linear_residual_approx,next_objective_gap_to_exact
20,109.57278813537108,100,1,51554.31291426347,51444.7401261281,False,0.7970837883277946,744554228.2003053,51446.3704059899
20,109.57278813537108,200,1,3990.868006916707,3881.295218781336,False,0.7515444131695126,204457628.48620704,3882.9254986431383
20,109.57278813537108,300,1,1404.3953860991433,1294.822597963772,False,0.727765000825321,118251033.77478981,1296.4528778255744
20,109.57278813537108,100,2,445.02810903111896,335.4553208957479,False,0.7186695642624904,59380387.86054465,337.08560075755014
20,109.57278813537108,200,2,147.35916881462165,37.78638067925057,False,0.6962028105372802,20056293.17972275,39.41666054105282
20,109.57278813537108,300,2,109.64756343883562,0.0747753034645342,False,0.6751891055916381,3713005.263669911,1.705055165266785
20,109.57278813537108,100,3,574.5135166719876,464.9407285366166,False,0.5798520546323009,71042918.14900951,466.5710083984188
20,109.57278813537108,200,3,121.09495808400055,11.522169948629468,False,0.5797969516992201,12112629.929538434,13.152449810431719
20,109.57278813537108,300,3,112.01888005178795,2.4460919164168615,False,0.5634695516521084,6331853.522380013,4.076371778219112
20,109.57278813537108,100,4,311.817789232585,202.24500109721396,False,0.6522209261595562,47537492.276566766,203.8752809590162
20,109.57278813537108,200,4,110.37861581526677,0.8058276798956854,False,0.586309785653063,4024409.790591118,2.436107541697936
20,109.57278813537108,300,4,110.03147978734317,0.4586916519720887,False,0.5499232228211266,3678459.0693098847,2.0889715137743394
