c,k,beta,post_objective,x_rel_to_direct,objective_improvement,x_rel_improvement,linear_residual_approx,e_rel_to_exact,raw_full_step_objective,last_cycle_pre_residual_ratio,last_cycle_post_residual_ratio
5,50,1.0,11619.053011417725,0.0009167621940031661,-11509.480223282355,0.005334637560057244,341227711.16179425,0.14647837139908426,11619.053011417725,3.8499134547339455,3.8499143687105852
5,50,0.8,7428.571576327553,0.0019088416494242734,-7318.998788192182,0.004342558104636136,341227711.16179425,0.14647837139908426,11619.053011417725,3.8499134547339455,3.8499143687105852
5,50,0.5,2917.1312376213587,0.003520002293289515,-2807.5584494859877,0.002731397460770895,341227711.16179425,0.14647837139908426,11619.053011417725,3.8499134547339455,3.8499143687105852
5,50,0.3,1088.8755724593957,0.00460971830431253,-979.3027843240246,0.0016416814497478803,341227711.16179425,0.14647837139908426,11619.053011417725,3.8499134547339455,3.8499143687105852
5,50,0.2,527.6628298199716,0.0051562991437143395,-418.0900416846006,0.0010951006103460705,341227711.16179425,0.14647837139908426,11619.053011417725,3.8499134547339455,3.8499143687105852
5,50,0.1,201.32824856944907,0.005703588351503535,-91.75546043407799,0.0005478114025568746,341227711.16179425,0.14647837139908426,11619.053011417725,3.8499134547339455,3.8499143687105852
5,50,0.05,126.14682191960932,0.005977437757558003,-16.57403378423824,0.00027396199650240715,341227711.16179425,0.14647837139908426,11619.053011417725,3.8499134547339455,3.8499143687105852
5,50,0.02,109.171907627325,0.0061418024099126715,0.400880508046086,0.00010959734414773842,341227711.16179425,0.14647837139908426,11619.053011417725,3.8499134547339455,3.8499143687105852
5,50,0.01,108.20079831876008,0.006196599065118871,1.3719898166110056,5.480068894153905e-05,341227711.16179425,0.14647837139908426,11619.053011417725,3.8499134547339455,3.8499143687105852
5,50,0.005,108.59392453463937,0.006223998912041153,0.9788636007317137,2.7400842019256744e-05,341227711.16179425,0.14647837139908426,11619.053011417725,3.8499134547339455,3.8499143687105852
5,50,0.002,109.11095660214161,0.006240439298681171,0.46183153322947135,1.096045537923862e-05,341227711.16179425,0.14647837139908426,11619.053011417725,3.8499134547339455,3.8499143687105852
5,50,0.001,109.33015821937197,0.006245919506678324,0.24262991599911743,5.480247382085718e-06,341227711.16179425,0.14647837139908426,11619.053011417725,3.8499134547339455,3.8499143687105852
5,100,1.0,711.6008177091347,0.002534539991846366,-602.0280295737637,0.003716859762214044,81434306.63987552,0.4051191080182884,711.6008177091347,1.7130538422938897,1.7130543228090709
5,100,0.8,486.47033864543437,0.0032605538979550703,-376.8975505100633,0.0029908458561053396,81434306.63987552,0.4051191080182884,711.6008177091347,1.7130538422938897,1.7130543228090709
5,100,0.5,246.07462973344016,0.004372739933758848,-136.50184159806906,0.0018786598203015623,81434306.63987552,0.4051191080182884,711.6008177091347,1.7130538422938897,1.7130543228090709
5,100,0.3,151.49737538090443,0.005121821374082845,-41.924587245533345,0.001129578379977565,81434306.63987552,0.4051191080182884,711.6008177091347,1.7130538422938897,1.7130543228090709
5,100,0.2,124.12625500997358,0.005497716226143277,-14.553466874602492,0.0007536835279171325,81434306.63987552,0.4051191080182884,711.6008177091347,1.7130538422938897,1.7130543228090709
5,100,0.1,110.1277688867741,0.005874282835580724,-0.554980751403022,0.0003771169184796858,81434306.63987552,0.4051191080182884,711.6008177091347,1.7130538422938897,1.7130543228090709
5,100,0.05,108.16540624577087,0.006062778924575959,1.4073818896002166,0.0001886208294844512,81434306.63987552,0.4051191080182884,711.6008177091347,1.7130538422938897,1.7130543228090709
5,100,0.02,108.60489804338991,0.0061759371851866285,0.9678900919811753,7.546256887378151e-05,81434306.63987552,0.4051191080182884,711.6008177091347,1.7130538422938897,1.7130543228090709
5,100,0.01,109.02130618327733,0.0062136661544445115,0.5514819520937522,3.7733599615898464e-05,81434306.63987552,0.4051191080182884,711.6008177091347,1.7130538422938897,1.7130543228090709
5,100,0.005,109.28015849268647,0.006232532380717552,0.29262964268461644,1.8867373342858033e-05,81434306.63987552,0.4051191080182884,711.6008177091347,1.7130538422938897,1.7130543228090709
5,100,0.002,109.45168243056538,0.0062438526677408655,0.12110570480570004,7.5470863195445034e-06,81434306.63987552,0.4051191080182884,711.6008177091347,1.7130538422938897,1.7130543228090709
5,100,0.001,109.51155959376801,0.006247626188125431,0.06122854160307156,3.7735659349788855e-06,81434306.63987552,0.4051191080182884,711.6008177091347,1.7130538422938897,1.7130543228090709
5,200,1.0,109.31906317339153,0.0027288821205851844,0.2537249619795574,0.0035225176334752256,4165829.321532082,0.43626337850842223,109.31906317339153,1.0351392596466515,1.0351404400395796
5,200,0.8,108.64481313849919,0.003415912761751042,0.927974996871896,0.002835486992309368,4165829.321532082,0.43626337850842223,109.31906317339153,1.0351392596466515,1.0351404400395796
5,200,0.5,108.2116703996407,0.004469270183728352,1.3611177357303887,0.001782129570332058,4165829.321532082,0.43626337850842223,109.31906317339153,1.0351392596466515,1.0351404400395796
5,200,0.3,108.40088554881434,0.0051795041571141695,1.1719025865567403,0.0010718955969462405,4165829.321532082,0.43626337850842223,109.31906317339153,1.0351392596466515,1.0351404400395796
5,200,0.2,108.6641765315795,0.005536098669551651,0.9086116037915843,0.0007153010845087591,4165829.321532082,0.43626337850842223,109.31906317339153,1.0351392596466515,1.0351404400395796
5,200,0.1,109.05174946713848,0.0058934399019070485,0.521038668232606,0.00035795985215336147,4165829.321532082,0.43626337850842223,109.31906317339153,1.0351392596466515,1.0351404400395796
5,200,0.05,109.29500178621562,0.006072349337003931,0.27778634915546263,0.0001790504170564788,4165829.321532082,0.43626337850842223,109.31906317339153,1.0351392596466515,1.0351404400395796
5,200,0.02,109.45745388107375,0.006179763453892981,0.11533425429733768,7.163630016742903e-05,4165829.321532082,0.43626337850842223,109.31906317339153,1.0351392596466515,1.0351404400395796
5,200,0.01,109.51441138172844,0.006215578977093278,0.05837675364264783,3.58207769671319e-05,4165829.321532082,0.43626337850842223,109.31906317339153,1.0351392596466515,1.0351404400395796
5,200,0.005,109.54342175593696,0.006233488714519864,0.02936637943412279,1.791103954054598e-05,4165829.321532082,0.43626337850842223,109.31906317339153,1.0351392596466515,1.0351404400395796
5,200,0.002,109.56099878702759,0.0062442351827080534,0.011789348343498318,7.164571352356527e-06,4165829.321532082,0.43626337850842223,109.31906317339153,1.0351392596466515,1.0351404400395796
5,200,0.001,109.56688632168577,0.00624781744252103,0.005901813685312618,3.5823115393796012e-06,4165829.321532082,0.43626337850842223,109.31906317339153,1.0351392596466515,1.0351404400395796
5,300,1.0,108.85499446303625,0.002737086953560902,0.7177936723348353,0.003514312800499508,3847143.251613264,0.4376493036795685,108.85499446303625,1.0458563020336225,1.0458572948957745
5,300,0.8,108.36613492622281,0.003420187514659853,1.2066532091482713,0.002831212239400557,3847143.251613264,0.4376493036795685,108.85499446303625,1.0458563020336225,1.0458572948957745
5,300,0.5,108.12346656672102,0.0044706152441857374,1.4493215686500633,0.0017807845098746725,3847143.251613264,0.4376493036795685,108.85499446303625,1.0458563020336225,1.0458572948957745
5,300,0.3,108.38170796784203,0.005179959677971395,1.1910801675290514,0.0010714400760890152,3847143.251613264,0.4376493036795685,108.85499446303625,1.0458563020336225,1.0458572948957745
