basis_source,inner_cycles,pre_sweeps,outer,nonlinear_objective,e_star_norm,proj_rel,coarse_dim
joint_covariance,1,100,0,812.7548653692855,160.9546229766807,0.16992428373989524,12
joint_covariance,1,100,1,69.66475029798538,24.94669331813855,0.17006595530984198,12
joint_covariance,1,100,2,26.788697255105912,3.7190098695403346,0.04174007909578385,12
joint_covariance,1,100,3,26.770335455732432,0.9223303719581362,0.05095573522800987,12
joint_covariance,1,100,4,26.770262800742913,0.2346688590833186,0.237685876239897,12
joint_covariance,1,100,5,26.77029188909488,0.679067269806358,0.09137188465453915,12
joint_covariance,1,100,6,26.770313880763485,0.8728156240409277,0.0744156001983824,12
joint_covariance,1,100,7,26.77032480658178,0.9533925676668265,0.06944383448001774,12
joint_covariance,1,100,8,26.770329676405627,0.9875902583561366,0.06757746237144875,12
joint_covariance,1,100,9,26.770331769912517,1.0018630606907144,0.0668390051421174,12
joint_covariance,1,100,10,26.770332656882193,1.0076123988140278,0.0665497714246003,12
joint_covariance,1,100,11,26.77033302751277,1.0105276651079027,0.06639750703670408,12
joint_covariance,1,100,12,26.77033318881309,1.0109320602894185,0.0663864313520964,12
joint_covariance,1,100,13,26.77033325113329,1.0117879122012607,0.0663372880876092,12
joint_covariance,1,100,14,26.77033328483421,1.011994249565387,0.0663272250767896,12
joint_covariance,1,100,15,26.770333295866568,1.0125049552074628,0.06629620899652194,12
joint_covariance,1,100,16,26.770333301153926,1.0121915048593892,0.06631806998454817,12
joint_covariance,1,100,17,26.77033329671347,1.0118367433947824,0.0663400123288025,12
joint_covariance,1,100,18,26.77033329146542,1.012089688401386,0.06632188108996846,12
joint_covariance,1,100,19,26.770333293874646,1.0121354788725652,0.06632065199379265,12
joint_covariance,1,100,20,26.77033329769518,1.0117904184344617,0.06634147240533605,12
message_conditioned_information,1,100,0,812.7548653692855,160.9546229766807,0.17213296893322103,12
message_conditioned_information,1,100,1,65.06791549551535,31.14004192603364,0.12813885973470157,12
message_conditioned_information,1,100,2,26.803182862126558,12.92174284245206,0.02266101763123137,12
message_conditioned_information,1,100,3,26.77528698724962,7.7011394121374135,0.0219885325338233,12
message_conditioned_information,1,100,4,26.77284963159403,5.001331755127001,0.024608885609204992,12
message_conditioned_information,1,100,5,26.771955889847472,3.567551858482763,0.0290115996196334,12
message_conditioned_information,1,100,6,26.77159421392025,2.807340803328887,0.03402261395877876,12
message_conditioned_information,1,100,7,26.771434008569106,2.404591279852001,0.03833358587620214,12
