config,direct_opt,best_outer,best_objective,best_gap,final_outer,final_objective,final_gap,final_e_rel,final_linear_residual,best_inner_outer,best_inner_cycle,best_inner_objective
outer12_c5_k50_message_conditioned_information,107.91906057406523,5,125.73759604967736,17.818535475612137,12,495720959044.1767,495720958936.2576,3571.4742036202156,2518860964425.3604,,,
outer20_c1_k100_message_conditioned_information,107.91906057406523,12,4625.195516866373,4517.276456292308,20,18730.305112568833,18622.386051994767,0.9599012919696914,442753385.5300496,12,1,4625.195516866373
outer20_c2_k50_message_conditioned_information,107.91906057406523,18,996.8699955472224,888.9509349731571,20,410265.5498127856,410157.6307522115,1.3631619204288492,1932587889.534954,18,2,996.8699955472224
outer20_c2_k100_message_conditioned_information,107.91906057406523,17,114.37363762961262,6.454577055547389,20,256.25215621593634,148.33309564187113,0.970506781100709,40054191.777572066,17,2,114.37363762961262
outer20_c3_k100_message_conditioned_information,107.91906057406523,19,109.57278813537108,1.6537275613058569,20,587.6207939734431,479.70173339937793,0.5797173644586013,72034684.89329013,19,3,109.57278813537108
outer20_c5_k100_message_conditioned_information,107.91906057406523,9,115.63266794843574,7.713607374370511,20,3411.8632445712124,3303.9441839971473,0.6965815856892206,190407771.40616998,11,3,108.68184827765015
outer20_c3_k100_message_conditioned_information_damp0.5,107.91906057406523,17,578.1254066112587,470.20634603719344,20,3007.9568435846127,2900.0377830105476,0.8634876286532794,166192499.61016962,7,2,149.87311963720612
outer20_c3_k100_message_conditioned_information_damp0.8,107.91906057406523,14,111.68986140272162,3.770800828656391,20,690.2480048508066,582.3289442767414,0.6739007449445622,79844097.5297701,14,3,111.68986140272162
outer20_c2_k100_message_conditioned_information_damp0.8,107.91906057406523,6,135.60617197227734,27.68711139821211,20,33426.32958070154,33318.41052012747,3.622725176845768,467150512.002955,6,2,135.60617197227734
outer20_c3_k100_message_conditioned_information_line_search,107.91906057406523,15,108.59561772246923,0.6765571484040009,20,301824.37416850514,301716.45510793105,1.3065866830845232,1805481518.3999119,15,3,108.59561772246923
outer20_c3_k100_message_conditioned_information_outerdamp0.8,107.91906057406523,10,2019.4239490791012,1911.504888505036,20,2495.967734050879,2388.0486734768137,0.8807587518699443,1326078.0882832888,10,2,125.40504150995777
outer20_c3_k100_message_conditioned_information_outer_line_search,107.91906057406523,6,764236.2342085954,764128.3151480213,20,764236.2342085954,764128.3151480213,0.33359616086402727,11877419229.997946,5,1,3610419.3464495363
outer40_c3_k100_message_conditioned_information,107.91906057406523,19,109.57278813537108,1.6537275613058569,40,762.2649139638763,654.345853389811,0.8499096331715585,83680445.0315386,35,2,109.21575018275752
