cycle,k_used,cycle_start_residual,pre_coarse_residual,post_coarse_residual,pre_residual_ratio,post_residual_ratio,post_cycle_objective,objective_ratio_to_start,objective_delta_to_start,delta_e_norm,e_post_norm,e_rel_to_exact,num_groups,coarse_dim,outer_sample,ratio_target
1,300,7276196.130319717,79921585.6376153,79921600.93397085,10.983979019557232,10.983981121803417,736.5391470412083,6.501056279106958,623.2438431060167,2.6274045329934954,1.6234917321707323,6.674681580525491,61,244,75,1.0
2,21,79921600.93397085,67937287.83658208,67935906.27325913,0.8500491361867251,0.8500318497046375,135964.90325846628,1200.0930182970553,135851.6079545311,3.69519146908377,1.572376060683754,6.252951554100187,61,244,75,1.0
3,21,67935906.27325913,45768263.515295394,45765999.28235842,0.6736976957546036,0.6736643667970437,240907.55349353675,2126.368394151124,240794.25818960156,5.432294125561361,1.6982017378936904,6.83090418466642,61,244,75,1.0
4,21,45765999.28235842,6207735.374025549,6162233.18698013,0.13564076981529968,0.1346465341871276,465075.207841135,4104.982216272376,464961.9125371998,8.36534690408791,1.4052425666058321,5.553276229912311,61,244,75,1.0
5,174,6162233.18698013,5474560.099458952,5474572.131825839,0.8884052150161849,0.8884071676146215,113.03024430217853,0.9976604534891875,-0.26505963301300994,12.003093275503925,1.0254833525018083,4.38405839265264,61,244,75,1.0
