outer,nonlinear_objective,inner_cycles,pre_sweeps,basis_source,coarse_damping,e_hat_norm,e_star_norm,e_rel_to_exact,linear_residual_exact,linear_residual_approx,next_pose_gap_to_exact,next_objective_gap_to_exact,num_groups,coarse_dim,exact_next_objective
0,3350168.410825497,,,,,,,,,,,,,,
1,647841097.9864175,3,100,message_conditioned_information,1.0,493.3655051160286,699.3488142897845,0.5440964893733123,0.001431575703154367,1126318535.1402254,7.638350747319521,-254312224.06745422,61,244,902153322.0538718
2,12284832.280059624,3,100,message_conditioned_information,1.0,159.99676706200353,315.5092142950087,0.6485408585774562,0.00010465037207548366,260172749.26229197,4.861259105204944,-749629693.8955932,61,244,761914526.1756527
3,197004.43235184439,3,100,message_conditioned_information,1.0,38.58072926775912,179.25220233753436,0.7858203242941972,7.739958277769009e-05,163134357.5104879,3.5830040473771225,-5374219.478067679,61,244,5571223.910419524
4,2314.0867532301313,3,100,message_conditioned_information,1.0,30.112067085736367,140.24394697422977,0.7853949996150427,0.00012841348571223884,160729334.29585052,2.8080780057574644,-5388.029469066159,61,244,7702.116222296291
5,177.48700096648895,3,100,message_conditioned_information,1.0,28.869860455166187,110.08079164830322,0.7378241121248241,0.00012842746647747535,11577299.001951838,2.0703162783558406,-5874.683971439335,61,244,6052.170972405825
6,4615.7227920368005,3,100,message_conditioned_information,1.0,13.697456799074613,81.13208730006727,0.8312964157273365,0.0001395055144696847,226968835.19059387,1.720728026270338,2639.0215212760504,61,244,1976.7012707607503
7,52660.77927466069,3,100,message_conditioned_information,1.0,22.400037684437557,67.38464877359235,0.6683469891889073,9.619087245500913e-05,616602714.5983784,1.1455084083793217,50533.7326418778,61,244,2127.0466327828826
8,23665.642306161586,3,100,message_conditioned_information,1.0,5.918430222966499,44.98734434496761,1.1223888427157593,2.990408677886633e-05,478844151.8042307,1.286397721134892,20502.85498753221,61,244,3162.7873186293755
9,1702037.2063375807,3,100,message_conditioned_information,1.0,38.120772468010195,50.49677681604066,0.7932578183276155,3.3496917175253835e-05,4287696933.0578876,1.0539045364769057,1701345.582244875,61,244,691.6240927057088
10,10767.869762732706,3,100,message_conditioned_information,1.0,32.00952609480117,39.59919529475043,1.1246366263323553,0.0006030616252988542,549290175.4552964,1.1465001807837154,-2879.767194770766,61,244,13647.636957503471
11,783.8981776540719,3,100,message_conditioned_information,1.0,24.95860429123795,45.11021254450897,0.4511467422609444,7.012670634143016e-05,546291356.1231657,0.5168894129243148,-50847.08707712496,61,244,51630.985254779036
12,30281.256154506722,3,100,message_conditioned_information,1.0,4.45780787813373,20.255652107504293,0.794109314114144,1.1805925730387891e-05,560852304.1689374,0.41420569999814,30081.16754826675,61,244,200.088606239972
13,6250466919.573179,3,100,message_conditioned_information,1.0,3330.0884840314766,16.07270065397081,208.04553474916662,2.118680137184092e-05,479731422059.03406,17.32400660215637,6250466789.195891,61,244,130.37728824984515
14,439594404.10838485,3,100,message_conditioned_information,1.0,913.1445988488694,3019.5762879007348,0.749847485003323,0.004659502828141871,2136722812.3322403,24.493829557272964,-4367386618.078568,61,244,4806981022.186954
15,1042243355.4937445,3,100,message_conditioned_information,1.0,1964.1664586287154,2006.2197047160796,0.0268859767435764,0.005176747521391133,4507771287.844783,1.2757238352211728,81273038.82369888,61,244,960970316.6700456
16,16419236.249523206,3,100,message_conditioned_information,1.0,514.3656356598103,515.4029807976021,0.061503519643274954,0.0018030531113131243,3928447963.531545,0.765537698099551,5794667.164737811,61,244,10624569.084785394
17,83506.36891222626,3,100,message_conditioned_information,1.0,38.25243739399749,40.513544830828614,0.21043588418879497,0.00011086628302736224,749485458.5078119,0.20615622930922003,79872.36050857858,61,244,3634.008403647673
18,137.41497805632824,3,100,message_conditioned_information,1.0,3.0933135717179083,8.81981641180876,0.7015297872709408,4.17224932450908e-06,14220587.36900218,0.15739722325782018,-22.710775157472995,61,244,160.12575321380123
19,109.57278813537108,3,100,message_conditioned_information,1.0,2.957649681852277,6.197099652007208,0.5228586279413894,6.438609143058904e-06,3903025.781047458,0.08239474465037544,1.5705700973526717,61,244,108.00221803801841
20,587.6207939734431,3,100,message_conditioned_information,1.0,1.3928057758023302,3.2404989191949714,0.5797173644586013,3.574025199378525e-06,72034684.89329013,0.04822386651432282,479.6782856998743,61,244,107.94250827356883
