outer,v4_phase,v4_obj,v4_gap,v4_xrel,v4_c,v4_k,v4_beta,v5_phase,v5_obj,v5_gap,v5_xrel,v5_c,v5_k,v5_beta,v6_phase,v6_obj,v6_gap,v6_xrel,v6_c,v6_k,v6_beta
14,objective_low,113.93577364446239,6.016713070426363,0.006035128308254889,5,200,0.8,objective_low,113.93577364446239,6.016713070426363,0.006035128308254889,5,200,0.8,objective_low,113.93577364446239,6.016713070426363,0.006035128308254889,5,200,0.8
15,objective_low,108.53762756591658,0.6185669918805559,0.005932798336365932,4,200,0.1,objective_low,108.53762756591658,0.6185669918805559,0.005932798336365932,4,200,0.1,objective_low,108.53762756591658,0.6185669918805559,0.005932798336365932,4,200,0.1
16,objective_low,108.53213078852875,0.6130702144927227,0.005941172972583221,4,200,0.001,objective_low,108.53213078852875,0.6130702144927227,0.005941172972583221,4,200,0.001,objective_low,108.53213078852875,0.6130702144927227,0.005941172972583221,4,200,0.001
17,objective_low,108.51855929968124,0.5994987256452191,0.005932384055296472,5,200,0.02,objective_low,108.51855929968124,0.5994987256452191,0.005932384055296472,5,200,0.02,objective_low,108.51855929968124,0.5994987256452191,0.005932384055296472,5,200,0.02
18,objective_low,108.48703854176371,0.5679779677276855,0.005816315902993127,5,200,0.02,kick_gate,197.90581352676324,89.98675295272722,0.0005089685826466671,5,200,1.0,kick_gate,197.90581352676324,89.98675295272722,0.0005089685826466671,5,200,1.0
19,objective_low,108.47439289674024,0.5553323227042171,0.005783525695007938,4,200,0.01,objective_low,111.17624434366519,3.2571837696291652,0.01710415681296848,5,200,1.0,post_kick_recovery,116.60933154836876,8.690270974332734,0.00047339517220023697,5,50,0.02
20,objective_low,108.46591486473073,0.5468542906947107,0.005777094648151568,4,200,0.005,objective_low,108.47424853920066,0.5551879651646345,0.016343819351312242,5,200,0.1,post_kick_recovery,110.84364417214961,2.9245835981135855,0.0004670130176025617,5,50,0.02
21,,,,,,,,,,,,,,,objective_low,109.87583235481293,1.9567717807769043,0.00036466313949665385,5,200,0.1
22,,,,,,,,,,,,,,,objective_low,109.48933577464159,1.5702752006055647,0.00035780807066682687,4,200,0.1
