actual_outer,start_objective,c,k,ck_cost,best_beta,best_objective,objective_delta,gap_to_direct_optimum,improves,raw_full_step_objective,linear_residual_approx,e_rel_to_exact,exact_after_objective,exact_step_norm,last_cycle_pre_residual_ratio,last_cycle_post_residual_ratio
13,30281.256154506722,1,50,50,0.0,30281.256154506722,0.0,30173.337093932685,False,7721828148152.031,33815899870.327858,1052.5641805644646,130.37728824984515,16.07270065397081,59.24058374973612,59.23582743623349
13,30281.256154506722,1,100,100,0.0,30281.256154506722,0.0,30173.337093932685,False,6707296099389.21,820838096996.4001,826.8604570285908,130.37728824984515,16.07270065397081,1437.8744787232813,1437.8746108551697
13,30281.256154506722,1,200,200,0.0,30281.256154506722,0.0,30173.337093932685,False,286468992374.70984,1504518127921.0571,730.9671389408844,130.37728824984515,16.07270065397081,2635.4870446506056,2635.487345951641
13,30281.256154506722,2,50,100,0.0,30281.256154506722,0.0,30173.337093932685,False,2997378486434.5527,1124404601013.826,365.87113663026685,130.37728824984515,16.07270065397081,33.25076436703994,33.25076680867651
13,30281.256154506722,2,100,200,0.0,30281.256154506722,0.0,30173.337093932685,False,55023154100.80555,896156088975.5342,292.40996471015603,130.37728824984515,16.07270065397081,1.091757258427577,1.091757427262132
13,30281.256154506722,2,200,400,0.0,30281.256154506722,0.0,30173.337093932685,False,9203513097.481117,385964126104.5782,334.81446034287336,130.37728824984515,16.07270065397081,0.25653667125729523,0.25653670696404524
13,30281.256154506722,2,300,600,0.0,30281.256154506722,0.0,30173.337093932685,False,3764623302.944888,189428705990.05563,350.7588313741309,130.37728824984515,16.07270065397081,0.18623989552155262,0.18623991756784214
13,30281.256154506722,3,50,150,0.0,30281.256154506722,0.0,30173.337093932685,False,95106078300.04085,876305451641.537,171.07390457198997,130.37728824984515,16.07270065397081,0.7793505571891507,0.7793506455340107
13,30281.256154506722,3,100,300,0.0,30281.256154506722,0.0,30173.337093932685,False,6239598374.85646,480258268468.3009,207.97317784545785,130.37728824984515,16.07270065397081,0.5359090966170287,0.5359091729403095
13,30281.256154506722,3,200,600,0.0,30281.256154506722,0.0,30173.337093932685,False,544057257.0039783,79820362502.24153,277.75832790896584,130.37728824984515,16.07270065397081,0.20680769105629337,0.20680772409561698
13,30281.256154506722,3,300,900,0.005,24420.623891204792,-5860.63226330193,24312.704830630755,True,937432014.9031227,28818228092.858383,255.0038851284573,130.37728824984515,16.07270065397081,0.15213231981096625,0.15213231776165564
13,30281.256154506722,5,200,1000,0.0,30281.256154506722,0.0,30173.337093932685,False,273321847.479798,1166638845.109194,206.59539146502033,130.37728824984515,16.07270065397081,0.05761173078799046,0.057611834507183976
13,30281.256154506722,5,300,1500,0.005,12665.237629024476,-17616.018525482246,12557.318568450439,True,4478901654.426677,61215224731.42639,180.0472466387737,130.37728824984515,16.07270065397081,1.4128044559452437,1.4128044298361855
