actual_outer,start_objective,c,k,ck_cost,beta,post_objective,objective_delta,gap_to_direct_optimum,improves,raw_full_step_objective,linear_residual_approx,e_rel_to_exact,exact_after_objective,exact_step_norm,last_cycle_pre_residual_ratio,last_cycle_post_residual_ratio,regime
1,3350168.410825497,2,100,200,1.0,981447090.0653876,978096921.6545621,981446982.146327,False,981447090.0653876,4009056440.1911416,0.6107606220392588,902153322.0538718,699.3488142897845,0.09676196644501779,0.09676198687320509,large
1,3350168.410825497,2,100,200,0.7,250832973.98238966,247482805.57156417,250832866.06332907,False,981447090.0653876,4009056440.1911416,0.6107606220392588,902153322.0538718,699.3488142897845,0.09676196644501779,0.09676198687320509,large
1,3350168.410825497,2,100,200,0.5,70025441.16774371,66675272.756918214,70025333.24868314,False,981447090.0653876,4009056440.1911416,0.6107606220392588,902153322.0538718,699.3488142897845,0.09676196644501779,0.09676198687320509,large
1,3350168.410825497,2,100,200,0.3,11685570.513222348,8335402.102396851,11685462.594161773,False,981447090.0653876,4009056440.1911416,0.6107606220392588,902153322.0538718,699.3488142897845,0.09676196644501779,0.09676198687320509,large
1,3350168.410825497,2,100,200,0.2,4400798.824767427,1050630.4139419296,4400690.905706853,False,981447090.0653876,4009056440.1911416,0.6107606220392588,902153322.0538718,699.3488142897845,0.09676196644501779,0.09676198687320509,large
1,3350168.410825497,2,100,200,0.1,2914639.230668818,-435529.1801566789,2914531.311608244,True,981447090.0653876,4009056440.1911416,0.6107606220392588,902153322.0538718,699.3488142897845,0.09676196644501779,0.09676198687320509,large
1,3350168.410825497,2,100,200,0.05,3046375.3626177837,-303793.0482077133,3046267.44355721,True,981447090.0653876,4009056440.1911416,0.6107606220392588,902153322.0538718,699.3488142897845,0.09676196644501779,0.09676198687320509,large
1,3350168.410825497,2,100,200,0.02,3219466.159909762,-130702.25091573503,3219358.240849188,True,981447090.0653876,4009056440.1911416,0.6107606220392588,902153322.0538718,699.3488142897845,0.09676196644501779,0.09676198687320509,large
1,3350168.410825497,2,100,200,0.01,3283893.1476315926,-66275.26319390442,3283785.2285710187,True,981447090.0653876,4009056440.1911416,0.6107606220392588,902153322.0538718,699.3488142897845,0.09676196644501779,0.09676198687320509,large
1,3350168.410825497,2,100,200,0.005,3316840.211605555,-33328.19921994209,3316732.292544981,True,981447090.0653876,4009056440.1911416,0.6107606220392588,902153322.0538718,699.3488142897845,0.09676196644501779,0.09676198687320509,large
1,3350168.410825497,2,100,200,0.002,3336795.7325036293,-13372.678321867716,3336687.8134430554,True,981447090.0653876,4009056440.1911416,0.6107606220392588,902153322.0538718,699.3488142897845,0.09676196644501779,0.09676198687320509,large
1,3350168.410825497,2,100,200,0.001,3343475.4982385007,-6692.912586996332,3343367.5791779268,True,981447090.0653876,4009056440.1911416,0.6107606220392588,902153322.0538718,699.3488142897845,0.09676196644501779,0.09676198687320509,large
2,2914639.230668818,2,100,200,1.0,80454957.41825357,77540318.18758476,80454849.499193,False,80454957.41825357,2358817964.6891537,0.530169937737879,1036563307.3755732,660.4367091754297,0.7266887205405405,0.7266887139846784,large
2,2914639.230668818,2,100,200,0.7,20774951.686465155,17860312.45579634,20774843.767404582,False,80454957.41825357,2358817964.6891537,0.530169937737879,1036563307.3755732,660.4367091754297,0.7266887205405405,0.7266887139846784,large
2,2914639.230668818,2,100,200,0.5,6534278.287358754,3619639.056689936,6534170.36829818,False,80454957.41825357,2358817964.6891537,0.530169937737879,1036563307.3755732,660.4367091754297,0.7266887205405405,0.7266887139846784,large
2,2914639.230668818,2,100,200,0.3,2421258.781623972,-493380.449044846,2421150.862563398,True,80454957.41825357,2358817964.6891537,0.530169937737879,1036563307.3755732,660.4367091754297,0.7266887205405405,0.7266887139846784,large
2,2914639.230668818,2,100,200,0.2,2153368.7429367234,-761270.4877320947,2153260.8238761495,True,80454957.41825357,2358817964.6891537,0.530169937737879,1036563307.3755732,660.4367091754297,0.7266887205405405,0.7266887139846784,large
2,2914639.230668818,2,100,200,0.1,2394531.020929354,-520108.20973946434,2394423.10186878,True,80454957.41825357,2358817964.6891537,0.530169937737879,1036563307.3755732,660.4367091754297,0.7266887205405405,0.7266887139846784,large
2,2914639.230668818,2,100,200,0.05,2624519.230477258,-290120.00019156,2624411.311416684,True,80454957.41825357,2358817964.6891537,0.530169937737879,1036563307.3755732,660.4367091754297,0.7266887205405405,0.7266887139846784,large
2,2914639.230668818,2,100,200,0.02,2791066.1759933825,-123573.05467543565,2790958.2569328086,True,80454957.41825357,2358817964.6891537,0.530169937737879,1036563307.3755732,660.4367091754297,0.7266887205405405,0.7266887139846784,large
2,2914639.230668818,2,100,200,0.01,2851533.1358385375,-63106.094830280636,2851425.2167779636,True,80454957.41825357,2358817964.6891537,0.530169937737879,1036563307.3755732,660.4367091754297,0.7266887205405405,0.7266887139846784,large
2,2914639.230668818,2,100,200,0.005,2882748.277903512,-31890.952765305992,2882640.358842938,True,80454957.41825357,2358817964.6891537,0.530169937737879,1036563307.3755732,660.4367091754297,0.7266887205405405,0.7266887139846784,large
2,2914639.230668818,2,100,200,0.002,2901800.629485535,-12838.601183283143,2901692.710424961,True,80454957.41825357,2358817964.6891537,0.530169937737879,1036563307.3755732,660.4367091754297,0.7266887205405405,0.7266887139846784,large
2,2914639.230668818,2,100,200,0.001,2908206.1291095642,-6433.101559253875,2908098.2100489903,True,80454957.41825357,2358817964.6891537,0.530169937737879,1036563307.3755732,660.4367091754297,0.7266887205405405,0.7266887139846784,large
3,2153368.7429367234,2,100,200,1.0,59043161.06879821,56889792.325861484,59043053.149737634,False,59043161.06879821,1907028520.9183476,0.4481965249447672,882120142.4337198,574.1900248165331,0.15342824955240042,0.1534282887676703,large
3,2153368.7429367234,2,100,200,0.7,11840047.610697918,9686678.867761195,11839939.691637343,False,59043161.06879821,1907028520.9183476,0.4481965249447672,882120142.4337198,574.1900248165331,0.15342824955240042,0.1534282887676703,large
3,2153368.7429367234,2,100,200,0.5,2588939.029568601,435570.28663187753,2588831.110508027,False,59043161.06879821,1907028520.9183476,0.4481965249447672,882120142.4337198,574.1900248165331,0.15342824955240042,0.1534282887676703,large
3,2153368.7429367234,2,100,200,0.3,960463.4784003712,-1192905.2645363524,960355.5593397971,True,59043161.06879821,1907028520.9183476,0.4481965249447672,882120142.4337198,574.1900248165331,0.15342824955240042,0.1534282887676703,large
3,2153368.7429367234,2,100,200,0.2,1260869.459449457,-892499.2834872664,1260761.5403888829,True,59043161.06879821,1907028520.9183476,0.4481965249447672,882120142.4337198,574.1900248165331,0.15342824955240042,0.1534282887676703,large
3,2153368.7429367234,2,100,200,0.1,1732359.4069471818,-421009.3359895416,1732251.4878866076,True,59043161.06879821,1907028520.9183476,0.4481965249447672,882120142.4337198,574.1900248165331,0.15342824955240042,0.1534282887676703,large
3,2153368.7429367234,2,100,200,0.05,1956875.9342921902,-196492.80864453316,1956768.015231616,True,59043161.06879821,1907028520.9183476,0.4481965249447672,882120142.4337198,574.1900248165331,0.15342824955240042,0.1534282887676703,large
3,2153368.7429367234,2,100,200,0.02,2078573.4982777832,-74795.24465894024,2078465.579217209,True,59043161.06879821,1907028520.9183476,0.4481965249447672,882120142.4337198,574.1900248165331,0.15342824955240042,0.1534282887676703,large
3,2153368.7429367234,2,100,200,0.01,2116619.129389833,-36749.61354689021,2116511.2103292593,True,59043161.06879821,1907028520.9183476,0.4481965249447672,882120142.4337198,574.1900248165331,0.15342824955240042,0.1534282887676703,large
3,2153368.7429367234,2,100,200,0.005,2135156.256266616,-18212.48667010758,2135048.337206042,True,59043161.06879821,1907028520.9183476,0.4481965249447672,882120142.4337198,574.1900248165331,0.15342824955240042,0.1534282887676703,large
3,2153368.7429367234,2,100,200,0.002,2146122.6934654824,-7246.049471240956,2146014.7744049085,True,59043161.06879821,1907028520.9183476,0.4481965249447672,882120142.4337198,574.1900248165331,0.15342824955240042,0.1534282887676703,large
3,2153368.7429367234,2,100,200,0.001,2149752.205924196,-3616.537012527231,2149644.2868636223,True,59043161.06879821,1907028520.9183476,0.4481965249447672,882120142.4337198,574.1900248165331,0.15342824955240042,0.1534282887676703,large
4,960463.4784003712,1,100,100,1.0,5742198.356177913,4781734.877777542,5742090.437117339,False,5742198.356177913,17887446775.230347,0.6922988409203727,420518756.6141089,442.43199047031965,55.57802195033884,55.578036343570254,mid
