base_label,beta,post_objective,objective_improvement,x_rel_to_direct,x_rel_improvement
fixed_path_completed_outer19,1,107.94250827356883,1.6302798618022507,2.675390797332292e-06,0.006248724363263077
fixed_path_completed_outer19,0.8,107.95014973712904,1.6226383982420458,0.0012513761456909311,0.005000023608369479
fixed_path_completed_outer19,0.5,108.29034126211639,1.282446873254699,0.003126386743833564,0.003125013010226846
fixed_path_completed_outer19,0.3,108.70759434517369,0.8651937901973952,0.004376393106815625,0.001875006647244785
fixed_path_completed_outer19,0.2,108.96631793619628,0.606470199174808,0.005001395773880292,0.001250003980180118
fixed_path_completed_outer19,0.1,109.25544183161351,0.31734630375757433,0.005626398009959332,0.0006250017441010777
fixed_path_completed_outer19,0.05,109.41072110104969,0.1620670343213959,0.005938898947236327,0.00031250080682408265
fixed_path_completed_outer19,0.02,109.50716372872031,0.06562440665076963,0.006126399447457015,0.0001250003066033947
fixed_path_completed_outer19,0.01,109.53984440319724,0.03294373217384816,0.006188899603485557,6.250015057485299e-05
fixed_path_completed_outer19,0.005,109.55628351821267,0.016504617158418,0.006220149679458356,3.125007460205373e-05
fixed_path_completed_outer19,0.002,109.5661784449626,0.006609690408481583,0.006238899724384547,1.250002967586282e-05
fixed_path_completed_outer19,0.001,109.5694819844989,0.003306150872177227,0.006245149739250008,6.250014810402216e-06
