outer,damping,nonlinear_objective,undamped_step_norm,damped_step_norm
0,0.1,3350168.410825497,,
1,0.1,2805849.9434834975,699.3488142897845,69.93488142897846
2,0.1,2502400.643946842,629.0846029046669,62.90846029046669
3,0.1,2341987.6774902567,565.5528325674217,56.55528325674216
4,0.1,2254688.6873270203,508.3528653875082,50.83528653875083
5,0.1,2193590.08573899,456.89738792124797,45.68973879212481
6,0.1,2130229.227017696,410.6534060125489,41.065340601254896
7,0.1,2049778.129145132,369.11529634619677,36.91152963461967
8,0.1,1947096.7338533588,331.81465880903835,33.18146588090384
9,0.1,1823188.9836913138,298.2977711150614,29.82977711150614
10,0.1,1682802.3510438048,268.20797640084857,26.82079764008485
11,0.1,1531980.4243044865,241.17221041068345,24.117221041068344
12,0.1,1377020.3184745545,216.89065470123236,21.689065470123236
13,0.1,1223431.7037826942,195.07217414414217,19.507217414414217
14,0.1,1075649.2747074289,175.47678380407808,17.547678380407806
15,0.1,936902.3357576112,157.867165758572,15.786716575857204
16,0.1,809293.5573938964,142.0390185702551,14.203901857025514
17,0.1,693930.869406246,127.81027361729534,12.781027361729535
18,0.1,591151.1430495259,115.0171606731675,11.501716067316751
19,0.1,500704.5680230528,103.51230834188293,10.351230834188293
20,0.1,421954.1147320926,93.16585182033275,9.316585182033275
21,0.1,353998.0571445281,83.85536200527864,8.385536200527865
22,0.1,295815.54958477843,75.47906963625917,7.547906963625919
23,0.1,246336.59101806852,67.94174661399558,6.79417466139956
24,0.1,204505.56963208297,61.158862939127225,6.115886293912722
25,0.1,169318.69890944107,55.054406855173816,5.505440685517382
26,0.1,139850.3041235409,49.558528487315755,4.955852848731577
27,0.1,115267.82159324441,44.61313026960264,4.461313026960265
28,0.1,94830.27730894298,40.16145924905439,4.016145924905439
29,0.1,77889.055517697,36.153794252920605,3.615379425292061
30,0.1,63882.74371253417,32.546374808644465,3.2546374808644467
31,0.1,52329.6303835078,29.29943334591899,2.9299433345919
32,0.1,42819.166046512546,26.375785513744454,2.6375785513744456
33,0.1,35004.26928772009,23.74432864625875,2.3744328646258754
34,0.1,28592.848347725583,21.375602085012385,2.1375602085012386
35,0.1,23340.140128854302,19.24290432986128,1.924290432986128
36,0.1,19042.087940914855,17.323077390125224,1.7323077390125223
37,0.1,15529.082036775202,15.594906274218712,1.5594906274218712
38,0.1,12660.541075923962,14.0392831453172,1.4039283145317198
39,0.1,10320.255005491972,12.638610583843985,1.2638610583843983
40,0.1,8412.424586102372,11.377834250436267,1.137783425043627
41,0.1,6858.197493327261,10.242720873080307,1.024272087308031
42,0.1,5592.819742033785,9.22094430098551,0.9220944300985511
43,0.1,4563.168112379076,8.301071345519246,0.8301071345519245
44,0.1,3725.7393479931093,7.473080604852847,0.7473080604852849
45,0.1,3044.9418111425107,6.727686132687821,0.6727686132687821
46,0.1,2491.6921258823977,6.056550125261653,0.6056550125261653
47,0.1,2042.250080767005,5.452413431145505,0.5452413431145506
48,0.1,1677.2501974820455,4.908537052628817,0.49085370526288175
49,0.1,1380.9092602499088,4.418921191144394,0.4418921191144395
50,0.1,1140.3709193239981,3.97811162620159,0.3978111626201591
51,0.1,945.1704470904937,3.581313324445529,0.3581313324445529
52,0.1,786.7933559348162,3.224084817327398,0.32240848173273984
53,0.1,658.3158652638891,2.902509344607347,0.29025093446073474
54,0.1,554.109539083895,2.6129754057730445,0.26129754057730437
55,0.1,469.60124679931954,2.352366217953637,0.23523662179536373
56,0.1,401.07603080532675,2.117733406446631,0.2117733406446631
57,0.1,345.51727382260964,1.9065062323908244,0.19065062323908244
58,0.1,300.47596106527834,1.7163463269635446,0.17163463269635448
59,0.1,263.9644077523078,1.5451544554233394,0.15451544554233398
60,0.1,234.36967344529685,1.391046825935888,0.13910468259358877
61,0.1,210.3831482392381,1.252301610807126,0.1252301610807126
62,0.1,190.94333867642132,1.1274010320397492,0.11274010320397491
63,0.1,175.1893050523541,1.014958848426455,0.1014958848426455
64,0.1,162.42288843597584,0.9137353892852231,0.09137353892852232
65,0.1,152.07799240803374,0.8226042955348649,0.08226042955348647
66,0.1,143.6956536419065,0.7405614917646145,0.07405614917646144
67,0.1,136.90380158844167,0.6666965045590488,0.0666696504559049
68,0.1,131.4008364745085,0.6002104393236642,0.06002104393236643
69,0.1,126.94229882451866,0.5403412223822204,0.054034122238222036
70,0.1,123.33006051806584,0.48645378518179966,0.04864537851817996
71,0.1,120.40354977261148,0.437939503137531,0.043793950313753105
72,0.1,118.03264266255914,0.39426648141678444,0.03942664814167845
73,0.1,116.11189306964022,0.3549472214543686,0.03549472214543686
74,0.1,114.55585801242069,0.31954235965554345,0.03195423596555434
75,0.1,113.29530393519154,0.28767839016548996,0.02876783901654899
76,0.1,112.27413528658201,0.2589859756763754,0.02589859756763754
77,0.1,111.44690155780312,0.23315706016994833,0.023315706016994835
78,0.1,110.7767790657824,0.2099097200153878,0.020990972001538783
79,0.1,110.23393400415752,0.18897995853979643,0.018897995853979648
80,0.1,109.79419626509024,0.17012734256555018,0.01701273425655502
81,0.1,109.43798451066449,0.15316947840076128,0.015316947840076131
82,0.1,109.14943542893266,0.13788822112550478,0.01378882211255048
83,0.1,108.91569796806967,0.12413839204683716,0.012413839204683719
84,0.1,108.72636142434253,0.11175618467118942,0.011175618467118942
85,0.1,108.57299208354218,0.10061794423685286,0.010061794423685287
86,0.1,108.44875808090227,0.09057762704349467,0.009057762704349472
87,0.1,108.34812497739362,0.08154737038102793,0.008154737038102792
88,0.1,108.26660960315917,0.07341854496311831,0.00734185449631183
89,0.1,108.20058028879909,0.0660949603095786,0.006609496030957861
90,0.1,108.14709519002764,0.05950053381527435,0.005950053381527436
91,0.1,108.1037712573973,0.053572646826605536,0.0053572646826605536
92,0.1,108.06867816062875,0.048221997485587746,0.004822199748558774
93,0.1,108.04025223354934,0.04342133598537516,0.004342133598537517
94,0.1,108.01722685417086,0.03909422414251396,0.003909422414251397
95,0.1,107.99857601165269,0.03519062904654344,0.0035190629046543435
96,0.1,107.98346863506235,0.0316825692919599,0.00316825692919599
97,0.1,107.97123150957916,0.028519727366162442,0.0028519727366162445
98,0.1,107.96131932814791,0.025684222516920107,0.0025684222516920104
99,0.1,107.95329038187177,0.023112302108013405,0.0023112302108013404
100,0.1,107.94678687930988,0.020811134639670943,0.0020811134639670942
101,0.1,107.9415189981768,0.018733921610466803,0.0018733921610466805
102,0.1,107.9372519868986,0.016872264502364755,0.0016872264502364755
103,0.1,107.93379568031557,0.015187055637993266,0.0015187055637993269
104,0.1,107.9309960567993,0.013675065966383541,0.0013675065966383543
105,0.1,107.92872834953586,0.012310417253605549,0.001231041725360555
106,0.1,107.92689149819198,0.011084781239392133,0.0011084781239392135
