config,direct_final_objective,final_outer,final_objective,final_gap_to_direct,best_outer,best_objective,best_gap_to_direct,final_e_rel_to_exact,final_linear_residual_approx,final_next_pose_gap_to_exact,final_next_objective_gap_to_exact
c2_k50,107.91906057406523,20,191938.73176371233,191830.81270313828,19,2827.939266374152,2720.020205800087,1.009838053509843,1458419604.6434667,7.074747003354568,-2209229.6076660776
c5_k50,107.91906057406523,20,132081.41280023978,131973.49373966572,7,18053.34618353141,17945.427122957342,0.957541426144217,1155155688.2170222,6.0703461873163045,-994391.8244860828
c10_k50,107.91906057406523,20,3174.9650943433307,3067.0460337692657,20,3174.9650943433307,3067.0460337692657,1.0194821517132957,183678046.03849527,3.6962014794559352,-64268.656368195916
c10_k100,107.91906057406523,20,208.3530638513555,100.43400327729027,18,121.44413341097332,13.525072836908095,0.9819405417944411,33745537.994359694,3.570633832940004,-21040.91193459902
