iteration,graph_error,custom_objective,lambda,absolute_decrease,relative_decrease
71,277077.7011254676,277077.7011254689,100000000.0,2894.377333196404,0.010338092816722577
72,276351.2542494118,276351.25424941315,100000000.0,726.4468760557938,0.0026218164547526716
73,276245.1524485912,276245.1524485961,10000000.0,106.10180082061561,0.00038393819166406565
74,275966.2935459878,275966.293545985,100000000.0,278.85890260338783,0.0010094617050530254
75,275921.88346772717,275921.883467733,10000000.0,44.41007826064015,0.00016092573368290547
76,275052.8128489065,275052.81284890533,1000000.0,869.0706188206677,0.003149698051848495
77,271963.6412850653,271963.64128506696,100000.0,3089.1715638411697,0.01123119422719058
78,264264.8399380492,264264.8399380541,100000000.0,7698.801347016124,0.028308200723590245
79,262388.54828722443,262388.5482872271,100000000.0,1876.2916508247727,0.007100042711942406
80,261916.12992984112,261916.12992984772,100000000.0,472.4183573833143,0.0018004534133333444
81,261836.4834395207,261836.4834395247,10000000.0,79.6464903204178,0.00030409158207153
82,261663.1669512973,261663.1669512951,100000000.0,173.3164882234123,0.0006619264280771826
83,261647.48836051853,261647.4883605193,10000000.0,15.678590778756188,5.991898271900991e-05
84,261084.78712524133,261084.78712525073,1000000.0,562.7012352771999,0.0021506082049672333
85,258618.95953235903,258618.95953236578,100000.0,2465.8275928822986,0.009444547191098695
86,253719.22662567202,253719.22662566855,100000000.0,4899.732906687015,0.01894576064936163
87,252522.49365270245,252522.4936527093,100000000.0,1196.732972969563,0.004716761078320559
88,252218.73357104853,252218.73357105095,100000000.0,303.76008165391977,0.0012029030652282607
89,252146.59145883904,252146.59145884385,10000000.0,72.14211220949073,0.0002860299518123174
90,252040.69995305632,252040.69995306185,100000000.0,105.89150578272529,0.0004199600921435071
91,252028.85146884888,252028.85146885648,10000000.0,11.84848420743947,4.701020196200971e-05
92,251551.9495696004,251551.94956960477,1000000.0,476.901899248478,0.001892251210403281
93,248785.5617981006,248785.561798104,100000.0,2766.387771499809,0.010997282176636017
94,242697.58903178974,242697.58903179647,10000.0,6087.97276631085,0.02447076398770875
95,222573.7920809699,222573.79208097744,100000000.0,20123.796950819844,0.08291716877411555
96,217999.3188908196,217999.31889082366,100000000.0,4574.473190150311,0.020552613797792364
97,216972.27343376665,216972.27343377154,100000000.0,1027.04545705294,0.004711232412461409
98,216747.0818839813,216747.0818839887,100000000.0,225.1915497853479,0.0010378816897730957
99,216699.52215686205,216699.52215686545,100000000.0,47.559727119252784,0.00021942499389546654
100,216689.54529079198,216689.54529079224,100000000.0,9.976866070064716,4.604009261655304e-05
101,216678.4536000781,216678.45360007568,10000000.0,11.091690713888966,5.118701365589278e-05
102,216427.03431238653,216427.0343123916,1000000.0,251.4192876915622,0.0011603335888468404
103,214547.95374254612,214547.9537425487,100000.0,1879.0805698404147,0.008682282117899313
104,206407.8566150685,206407.85661507706,10000.0,8140.097127477609,0.03794068871542623
105,205179.21933024135,205179.219330246,100000000.0,1228.6372848271567,0.005952473442512662
106,204918.90415480328,204918.90415480547,100000000.0,260.31517543806694,0.0012687209566729213
107,204867.02253751477,204867.02253751576,100000000.0,51.88161728851264,0.00025318121577167597
108,204858.1328461407,204858.13284614263,100000000.0,8.88969137406093,4.339249560008162e-05
109,204857.1781981151,204857.17819812027,100000000.0,0.9546480255958159,4.660044550502698e-06
110,204857.16426364466,204857.1642636513,1000000000.0,0.013934470451204106,6.802041585151697e-08
111,204857.15372745763,204857.1537274676,1000000000.0,0.010536187037359923,5.1431869982346264e-08
112,204857.14566585032,204857.145665858,1000000000.0,0.008061607310082763,3.935233485088806e-08
113,204857.1392953006,204857.13929530536,1000000000.0,0.006370549701387063,3.1097522523223526e-08
114,204857.1339540647,204857.13395407083,1000000000.0,0.005341235926607624,2.6072979174566414e-08
115,204857.1290860614,204857.12908606217,1000000000.0,0.004868003277806565,2.3762918009475433e-08
116,204857.1201731719,204857.12017317227,100000000.0,0.008912889519706368,4.350783182147409e-08
117,204853.24048555648,204853.24048555738,10000000.0,3.8796876154083293,1.893850510115886e-05
118,204792.19803376426,204792.1980337663,1000000.0,61.04245179222198,0.0002979813824157001
119,204311.05338239417,204311.0533823997,100000.0,481.1446513700939,0.0023494286207659493
120,202312.46671701135,202312.46671701458,10000.0,1998.5866653828125,0.00978207802414979
121,201744.97717414482,201744.97717415358,10000.0,567.4895428665332,0.002805015192960504
122,201662.84676246674,201662.84676247148,10000.0,82.13041167808115,0.00040710015599142656
123,201588.2996523928,201588.2996523962,10000.0,74.5471100739378,0.000369662093294482
124,201575.90740848114,201575.90740849066,100000000.0,12.392243911657715,6.147303158480023e-05
125,201574.98115031814,201574.98115031593,100000000.0,0.9262581630027853,4.595083682921393e-06
125,201574.98115031814,201574.98115031593,1000000000000.0,0.0,0.0
