state_label,start_x_rel,best_full_c,best_full_k,best_full_obj,best_full_x_rel,best_follow_c,best_follow_k,best_follow_obj,best_follow_x_rel
formal_v4_completed_outer20,0.0057770946481515,5,200,108.4593850056221,0.0036046274857293,5,50,107.9202501805323,1.5744578862997002e-06
formal_v4_completed_outer25,0.0043628693921126,5,50,118.59676011374296,0.0047776735159364,2,300,107.92058626224988,3.8002253458366902e-06
formal_v4_completed_outer30,0.0044170261402488,4,200,196.6587049539052,0.0013880767970681,4,200,107.9396048414814,7.387932914417412e-07
