outer_sample,k,max_cycles,outer_start_objective,direct_optimum_objective,exact_after_objective,exact_gap_to_direct_optimum,exact_step_norm,first_cycle_below_outer_start,best_cycle,best_cycle_objective,best_gap_to_direct_optimum,best_pre_residual_ratio,best_post_residual_ratio
19,50,10,109.57278813537108,107.91906057403602,107.94250827356883,0.023447699532809452,3.2404989191949714,None,4,1172.9135537965903,1064.9944932225544,0.4541129801736699,0.45411314626877747
19,100,10,109.57278813537108,107.91906057403602,107.94250827356883,0.023447699532809452,3.2404989191949714,None,4,277.1580324094196,169.23897183538358,0.6018050685103689,0.6018052478456538
19,150,10,109.57278813537108,107.91906057403602,107.94250827356883,0.023447699532809452,3.2404989191949714,None,5,127.26564580867662,19.3465852346406,0.6679078041672261,0.6679082268040761
19,200,10,109.57278813537108,107.91906057403602,107.94250827356883,0.023447699532809452,3.2404989191949714,5,5,108.58841135164333,0.6693507776073062,0.03698491060311585,0.03698262096788776
19,300,10,109.57278813537108,107.91906057403602,107.94250827356883,0.023447699532809452,3.2404989191949714,4,4,108.28141697999986,0.3623564059638369,0.10855144238151823,0.10855048011250365
20,50,10,587.6207939734431,107.91906057403602,107.93233987312969,0.013279299093667873,1.8767575405510022,None,5,1405.337149147353,1297.4180885733172,0.20442514381238125,0.20442514658020028
20,100,10,587.6207939734431,107.91906057403602,107.93233987312969,0.013279299093667873,1.8767575405510022,None,5,750.9158233118729,642.9967627378369,0.3739609937701991,0.3739610514726171
20,150,10,587.6207939734431,107.91906057403602,107.93233987312969,0.013279299093667873,1.8767575405510022,None,3,876.2717701105036,768.3527095364675,0.14421028948563802,0.14421030594134515
20,200,10,587.6207939734431,107.91906057403602,107.93233987312969,0.013279299093667873,1.8767575405510022,3,3,109.7119713386323,1.7929107645962716,0.017266929636789462,0.017266921875922117
20,300,10,587.6207939734431,107.91906057403602,107.93233987312969,0.013279299093667873,1.8767575405510022,3,3,535.5647249535745,427.6456643795384,0.3101042868670708,0.3101043256027115
