basis_source,k,final_cycle,final_relerr,final_residual,final_fixed_residual_norm,best_relerr,best_cycle
joint_covariance,50,100,1.0673823848669034e-08,5.65561003597671e-08,5.65561982929904e-08,9.371356145235665e-09,63
message_conditioned_information,50,100,1.0864705816426653e-08,7.119757961059496e-08,7.119772807682382e-08,1.0864157999874492e-08,39
joint_covariance,20,100,3663.854067792148,8284510.798290016,8284510.798290015,0.0004861115767091939,4
message_conditioned_information,20,100,1.0784056854197394e-08,1.1834945573210951e-07,1.183495086651142e-07,1.0515388362692267e-08,40
