outer_sample,k,cycle,cycle_start_linear_residual,pre_linear_residual,post_linear_residual,pre_residual_ratio_vs_cycle_start,post_residual_ratio_vs_cycle_start,outer_start_objective,cycle_start_objective,pre_objective,post_objective,post_objective_delta_vs_outer_start,post_objective_gap_to_direct_optimum,delta_z_norm,delta_e_norm,e_post_norm,e_rel_to_exact
19,50,1,3951577.9128119433,26875779324.49626,26875778396.374535,6801.277848364997,6801.277613491297,109.57278813537108,109.57278813537108,72258799.56958628,72058390.84391537,72058281.27112724,72058282.9248548,3.756640798584784,3.7566407985847845,3.1713364540576907,1.1655299330182132
19,50,2,26875778396.374535,582736803.4015783,582736992.4249401,0.021682601888107094,0.021682608921330802,109.57278813537108,72058390.84391537,32406.42705237452,31984.362505455352,31874.78971731998,31876.443444881315,5.005279015199471,5.005279015199471,2.480851153563462,0.6204381262774381
19,50,3,582736992.4249401,208684127.06838006,208684162.51859653,0.3581103135395335,0.35811037437352367,109.57278813537108,31984.362505455352,4354.550654401243,4335.973890015019,4226.401101879647,4228.054829440983,6.804885692491611,6.804885692491612,2.3375647139559255,0.3752839221572232
19,50,4,208684162.51859653,94766186.95636633,94766221.61778475,0.4541129801736699,0.45411314626877747,109.57278813537108,4335.973890015019,1074.4752477969666,1172.9135537965903,1063.3407656612192,1064.9944932225544,10.104159965323039,10.104159965323039,1.3650147582018577,0.6188967017330382
19,50,5,94766221.61778475,344487050.966349,344487132.0819614,3.6351248903406654,3.6351257462955724,109.57278813537108,1172.9135537965903,12278.089142051176,11824.763131793577,11715.190343658207,11716.84407121954,15.675954999745484,15.675954999745485,2.8525390849084453,0.14661877358984235
19,50,6,344487132.0819614,566471432.115786,566471564.1720338,1.6443906879546648,1.644391071296263,109.57278813537108,11824.763131793577,28551.572146505256,31586.103516378236,31476.530728242866,31478.1844558042,24.281193471487793,24.281193471487793,1.0886026689925563,0.767626794846067
19,50,7,566471564.1720338,1016766137.4955076,1016766351.1213304,1.7949111690745385,1.7949115461911251,109.57278813537108,31586.103516378236,114226.96400631554,101458.0282766086,101348.45548847324,101350.10921603457,37.87301016512892,37.87301016512891,4.132065635848704,0.3824968779204475
19,50,8,1016766351.1213304,1667072061.5532331,1667072403.6746576,1.6395822498597832,1.6395825863396678,109.57278813537108,101458.0282766086,212910.23537118357,268757.68140271987,268648.1086145845,268649.76234214584,58.887730049523185,58.887730049523185,1.8025208988558767,1.241655688328527
19,50,9,1667072403.6746576,2825960641.124954,2825961192.0417395,1.6951637102838533,1.6951640407534743,109.57278813537108,268757.68140271987,1045946.5914765903,783366.6136671874,783257.040879052,783258.6946066134,91.66114848647472,91.66114848647472,6.972438661762985,1.297111810145273
19,50,10,2825961192.0417395,4360819214.271538,4360820100.099812,1.543127777745905,1.543128091206782,109.57278813537108,783366.6136671874,977578.3790366141,1813558.1224665057,1813448.5496783704,1813450.2034059316,142.39332534796475,142.39332534796475,5.777877024072707,2.516994073583362
19,100,1,3951577.9128119433,744554252.6977886,744554228.2002829,188.41947928794949,188.41947308852582,109.57278813537108,109.57278813537108,51446.72809024311,51554.31291729782,51444.74012916245,51446.393856723786,2.8170303214452397,2.8170303214452397,1.405163741191561,0.7970837754762797
19,100,2,744554228.2002829,59358512.81008702,59358518.352792256,0.0797235588246767,0.07972356626900383,109.57278813537108,51554.31291729782,473.35384828486775,444.78418544577477,335.2113973104037,336.8651248717388,3.6903402626271777,3.6903402626271786,1.1363956226371201,0.7185913721278668
