outer,nonlinear_objective,accepted,damping,attempts,step_norm,gradient_inf_norm,linear_residual_norm,predicted_reduction,actual_reduction,rho,relative_objective_improvement
0,3548660355.5203156,True,0.0,0,,,,,,,
1,3521680523.817216,True,535.4946526955964,1,1.7592969282460458,2760818730.705343,9.560580035648442e-07,25423487.363668803,26979831.703099728,1.0612167920619342,0.007602821628485733
2,3444049038.54689,True,178.4982175651988,1,5.133253813823928,2688688469.3264174,4.801007034626965e-07,74860103.2996396,77631485.27032614,1.0370208141390567,0.022043875003795038
3,3223326589.1000285,True,59.49940585506626,1,14.486352193239082,2491493177.621068,1.0021423378828437e-06,210718961.52528876,220722449.44686127,1.0474731265243635,0.0640880681362157
4,2684517765.772885,True,19.833135285022085,1,37.772337659405295,2017361906.0024855,3.183559713143053e-07,522124899.9109417,538808823.3271437,1.031953893443978,0.16715924013073158
5,1619427703.323864,True,6.611045095007361,1,83.75049094905616,1136630396.8357408,2.2622436618986382e-07,1021662632.5178801,1065090062.4490209,1.042506624544067,0.39675284553103957
6,457339615.11601806,True,2.203681698335787,1,136.62590909990038,679554311.1994324,1.5363151970521585e-07,1163344688.2105803,1162088088.207846,0.9989198386209445,0.7175918293991564
7,251251667.05395618,True,2.203711732807116,1,132.40799595412676,474613840.91595,9.517587814431848e-08,422262371.3134979,206087948.06206188,0.4880566256022305,0.45062343442472486
8,23165080.49926593,True,5.876564620818976,3,18.018014172117294,145001972.30965182,2.0219274932807906e-08,97179173.783681,228086586.55469024,2.347072707804726,0.9078012863719975
9,6148907.299378264,True,1.9588548736063252,1,29.2497807773676,112009586.27265765,3.1157558710933994e-08,17013233.009073332,17016173.199887667,1.0001728178772822,0.7345613670726024
10,785429.390599011,True,0.6529516245354416,1,63.53876037795086,59812454.0840277,1.1032133639813604e-08,5366461.063806982,5363477.908779252,0.9994441113068259,0.8722652087016455
11,260292.99595202607,True,0.21765054151181387,1,113.38791432485881,18771304.68675888,4.135154680104143e-09,526340.43641531,525136.3946469849,0.997712427765335,0.6685978407893387
12,114244.6756856044,True,0.07255018050393795,1,168.24346110609685,5332098.16791907,5.943498333623616e-09,147698.61171374613,146048.32026642168,0.9888266285770995,0.5610920099184669
