outer,carry_message_eta,carry_message_lam,carry_coarse_state,settle_sweeps,coarse_settle_sweeps,freeze_basis_from_outer0,carry_basis_prev_outer,blend_current_basis_weight,nonlinear_objective,mean_pose_log_error,rms_translation_error,rms_angle_error,xy_rel_to_direct,inner_cycles,pre_sweeps,e_hat_norm,e_star_norm,e_rel_to_exact,linear_residual_exact,linear_residual_approx,next_pose_gap_to_exact,next_objective_gap_to_exact,num_groups,coarse_dim
0,False,False,False,0,0,False,True,0.8,812.7548653692855,28.864061942407687,35.21772553446426,0.4957170624640948,0.13766188466282853,,,,,,,,,,,
1,False,False,False,0,0,False,True,0.8,78.30141351618857,22.376619816900117,25.26469452395577,0.19372752250013225,0.01926439232400925,5,10,140.77797751887744,160.9546229766807,0.17060660303152236,1.520187911534838e-12,85.86535666925542,2.955467830667876,-7.39709118662654,3,12
2,False,False,False,0,0,False,True,0.8,28.10481728705643,24.501614613571718,28.60739964774069,0.2363544369546929,0.06584756250247664,5,10,57.54656723579936,21.884613984096607,3.4559804107629963,2.7505028179343745e-13,32.46949652070602,8.243850319571148,1.3086288432901867,3,12
3,False,False,False,0,0,False,True,0.8,68.69958120194418,30.6496797461968,33.38946265555863,0.15816034854359606,0.09651266180616157,5,10,173.19623990138447,77.17890509164087,1.4575707817409327,7.866081307422879e-13,188.74782028798464,12.86203897218899,41.92060690220002,3,12
4,False,False,False,0,0,False,True,0.8,28.578124594003267,24.8443258776361,27.373428781387393,0.14801061297184231,0.04170976306636903,5,10,64.12748178697987,112.49613472217786,0.44087393436142996,5.756163385262367e-13,43.76128173771693,5.66049820555644,1.2185827463771766,3,12
5,False,False,False,0,0,False,True,0.8,35.6263940371591,25.37003964462623,28.24988426105155,0.17306364124938464,0.030363726388493748,5,10,30.47069261782405,48.36712500804685,0.7250686002493778,2.40822155778448e-13,96.15638565781849,4.04375346619114,8.852205583488654,3,12
