basis_source,inner_cycles,pre_sweeps,outer,nonlinear_objective,e_star_norm,proj_rel,coarse_dim
joint_covariance,1,100,0,812.7548653692855,160.9546229766807,0.16992428373989524,12
joint_covariance,1,100,1,69.66475029798538,24.94669331813855,0.17006595530984198,12
joint_covariance,1,100,2,26.788697255105912,3.7190098695403346,0.04174007909578385,12
joint_covariance,1,100,3,26.770335455732432,0.9223303719581362,0.05095573522800987,12
joint_covariance,1,100,5,26.77029188909488,0.679067269806358,0.09137188465453915,12
joint_covariance,1,100,10,26.770332656882193,1.0076123988140278,0.0665497714246003,12
joint_covariance,1,100,20,26.77033329769518,1.0117904184344617,0.06634147240533605,12
message_conditioned_information,1,100,0,812.7548653692855,160.9546229766807,0.17213296893322103,12
message_conditioned_information,1,100,1,65.06791549551535,31.14004192603364,0.12813885973470157,12
message_conditioned_information,1,100,2,26.803182862126558,12.92174284245206,0.02266101763123137,12
message_conditioned_information,1,100,3,26.77528698724962,7.7011394121374135,0.0219885325338233,12
message_conditioned_information,1,100,5,26.771955889847472,3.567551858482763,0.0290115996196334,12
message_conditioned_information,1,100,10,26.771300116775553,2.0164653576621503,0.04445809034439851,12
message_conditioned_information,1,100,20,26.771278181203225,1.9467358201405671,0.04585658372841747,12
joint_covariance,2,100,0,812.7548653692855,160.9546229766807,0.16992428373989524,12
joint_covariance,2,100,1,84.10955675578845,21.062739626666193,0.2309424326930508,12
joint_covariance,2,100,2,26.776083693672465,0.6687746998508912,0.1527121184561202,12
joint_covariance,2,100,3,26.770069584390924,0.05203525651765153,0.4138733001792664,12
joint_covariance,2,100,5,26.77006764170559,0.06751397691833923,0.3277633191934422,12
joint_covariance,2,100,10,26.770067644823435,0.06777218542983601,0.32654220601767503,12
joint_covariance,2,100,20,26.77006764509575,0.06805992866927651,0.32518354165174623,12
message_conditioned_information,2,100,0,812.7548653692855,160.9546229766807,0.17213296893322103,12
message_conditioned_information,2,100,1,74.97016141234269,17.173083234634422,0.25872010524727446,12
message_conditioned_information,2,100,2,26.783634470935944,1.9084238391075141,0.06473495300511493,12
message_conditioned_information,2,100,3,26.770257108282046,1.802074897887184,0.023139988842462867,12
message_conditioned_information,2,100,5,26.770248814539812,1.7851026927962228,0.023004803050253424,12
message_conditioned_information,2,100,10,26.770248591585712,1.7840137387696036,0.023008772610720842,12
message_conditioned_information,2,100,20,26.770248579738272,1.7842789128397816,0.023006074758169258,12
