outer,xy_rel_to_direct
0,1.2312708232912002
1,1.1531655859242333
2,0.9972054833795201
3,0.7742384572705955
4,0.5262437489398188
5,0.4456401840329689
6,0.4369054329355493
7,0.3968885680198501
8,0.39216408561091803
9,0.38731991283835276
10,0.38653404383426676
11,0.3740245700817241
12,0.37092398131034954
13,0.3693127181966204
14,0.3682908869495056
15,0.3335823599951961
16,0.3294824611770339
17,0.2955861343378666
18,0.2939286542516569
19,0.29356151131287744
20,0.293452940817913
