iteration,graph_error,lambda,absolute_decrease,relative_decrease
0,2207091633.4087114,0.001,,
1,1707551344.2070193,10000000.0,499540289.2016921,0.22633418641988334
2,1686835941.345646,10000000.0,20715402.861373425,0.012131642736045271
3,1212118081.8970587,1000000.0,474717859.4485872,0.2814250324011289
4,804065762.5476973,100000.0,408052319.3493614,0.33664403282453137
5,685233975.4176944,10000.0,118831787.13000286,0.14778864200545255
6,255127807.63043678,100000000.0,430106167.7872577,0.6276778198644924
7,71979308.5774735,100000000.0,183148499.05296326,0.717869607213736
8,18901747.962382797,100000000.0,53077560.61509071,0.7374002566023781
9,5366585.5276293345,100000000.0,13535162.434753463,0.7160799340722555
10,2028151.380022363,100000000.0,3338434.1476069717,0.6220778799516702
11,1208087.0742073017,100000000.0,820064.3058150613,0.4043407774650524
12,1003713.8174032891,100000000.0,204373.25680401258,0.16917096554328595
13,949713.8285328026,100000000.0,53999.9888704865,0.05380018480784695
14,922209.1488647244,10000000.0,27504.6796680782,0.02896101840548087
15,920900.9233770976,10000000.0,1308.2254876268562,0.0014185778673279623
16,878967.2944075697,100000000.0,41933.6289695279,0.04553544024665571
17,872308.2201367059,10000000.0,6659.0742708637845,0.007576020533678729
18,853557.4346221781,100000000.0,18750.785514527815,0.02149559648949455
19,848296.4923730735,10000000.0,5260.942249104613,0.006163548035210234
20,839418.784178792,100000000.0,8877.70819428144,0.010465336440855046
21,834439.3665710707,10000000.0,4979.417607721291,0.0059319825831544645
22,834108.5385237497,10000000.0,330.8280473210616,0.0003964674493732486
23,827182.9435597943,100000000.0,6925.594963955344,0.008302990131491323
24,825469.0754990816,10000000.0,1713.8680607127026,0.0020719335112702464
25,822431.8914447094,100000000.0,3037.18405437225,0.003679343229830818
26,821196.1327824453,10000000.0,1235.7586622640956,0.0015025665652304942
27,820639.8249796025,10000000.0,556.3078028428135,0.0006774359749575111
28,818240.0382363447,100000000.0,2399.786743257777,0.0029242874525586483
29,817726.4185480343,10000000.0,513.6196883104276,0.0006277127301390635
30,817194.881155011,1000000.0,531.5373930232599,0.0006500186137645701
31,793028.8878172067,100000.0,24165.993337804335,0.029571885354505015
32,726953.2652943168,100000000.0,66075.62252288987,0.08332057449352376
33,710693.5347985843,100000000.0,16259.73049573251,0.022366954344925517
34,706573.0784772652,100000000.0,4120.4563213190995,0.005797796264583815
35,705726.52755718,10000000.0,846.5509200851666,0.001198108087997872
36,704260.6420072924,1000000.0,1465.8855498876655,0.0020771297275188443
37,693567.4874391778,100000.0,10693.15456811455,0.015183518615546638
38,588678.2194341846,100000000.0,104889.26800499321,0.15123152383089677
39,563323.0265007232,100000000.0,25355.192933461396,0.04307139638669128
40,557137.0644727547,100000000.0,6185.96202796849,0.010981198596469139
41,555553.876725731,100000000.0,1583.1877470237669,0.0028416485780245345
42,554522.4952471307,10000000.0,1031.381478600204,0.0018564922716026377
43,544497.1432007963,1000000.0,10025.352046334418,0.018079252207552875
44,486049.6742616745,100000.0,58447.46893912181,0.10734210393748184
45,444798.1132229691,100000000.0,41251.561038705404,0.0848710805153154
46,434687.6270782066,100000000.0,10110.486144762486,0.022730505917623545
47,432126.9858584404,100000000.0,2560.6412197662285,0.0058907616878304475
48,431482.61311739276,10000000.0,644.3727410476422,0.001491165241086635
49,430067.35992643435,1000000.0,1415.2531909584068,0.0032799773338105776
50,422295.8430054035,100000000.0,7771.516921030823,0.01807046440901767
51,420309.26835949154,100000000.0,1986.5746459119837,0.004704224961756406
52,419600.5540560287,10000000.0,708.7143034628243,0.0016861733890118722
53,416693.3011565205,1000000.0,2907.252899508225,0.006928620258971401
54,406207.44611202576,100000.0,10485.855044494732,0.025164443525709526
55,358674.1434268295,100000000.0,47533.30268519628,0.11701731009649519
56,347297.69249897206,100000000.0,11376.450927857426,0.031718068158370756
57,344562.8866208079,100000000.0,2734.8058781641303,0.00787452936553048
58,343881.94755948125,100000000.0,680.9390613266733,0.0019762402968142296
59,343555.25645753334,10000000.0,326.69110194791574,0.0009500094560544153
60,340039.61804010137,1000000.0,3515.6384174319683,0.010233109089007736
61,324246.5616696246,100000.0,15793.056370476785,0.04644475388339687
62,306275.8286145944,100000000.0,17970.73305503017,0.055423048936878425
63,301892.60771048337,100000000.0,4383.220904111047,0.014311351058743593
64,300791.37689097825,100000000.0,1101.2308195051155,0.003647756822721548
65,300610.2560634393,10000000.0,181.12082753895083,0.0006021476726196111
66,300169.87064145727,100000000.0,440.38542198203504,0.001464971381046621
67,300038.3034093044,10000000.0,131.56723215285456,0.0004383092542622546
68,298337.66397456726,1000000.0,1700.6394347371534,0.005668074427208
69,291851.51902317646,100000.0,6486.144951390801,0.02174095239930461
70,279971.85081719904,100000000.0,11879.668205977418,0.04070449331817263
71,277077.63746856106,100000000.0,2894.2133486379753,0.010337515504470065
72,276351.2315760824,100000000.0,726.4058924786514,0.002621669143404162
73,276245.1224346652,10000000.0,106.10914141719695,0.0003839647857258924
74,275966.2803210525,100000000.0,278.84211361274356,0.001009401039030807
75,275921.8637607388,10000000.0,44.41656031366438,0.0001609492299638609
76,275052.73443233524,1000000.0,869.1293284035637,0.003149911052924806
77,271962.9893527128,100000.0,3089.7450796224293,0.0112332825412522
78,264264.6767577305,100000000.0,7698.31259498233,0.028306471455195967
79,262388.5057737321,100000000.0,1876.170983998396,0.00709959048260699
80,261916.11748192442,100000000.0,472.3882918076706,0.00180033912085703
81,261836.466173252,10000000.0,79.65130867241533,0.00030410999307025195
82,261663.16166383374,100000000.0,173.30450941825984,0.0006618807225407163
83,261647.47801987908,10000000.0,15.68364395466051,5.9938295688751724e-05
84,261084.73537273722,1000000.0,562.7426471418585,0.002150766563471723
85,258618.49655465313,100000.0,2466.2388180840935,0.00944612412733809
86,253719.11123582034,100000000.0,4899.385318832792,0.01894445054821289
87,252522.4637750136,100000000.0,1196.6474608067365,0.004716426188701675
88,252218.7249786164,100000000.0,303.7387963971996,0.0012028189170046175
89,252146.57998344643,10000000.0,72.14499516997603,0.00028604139195490983
90,252040.69667904414,100000000.0,105.88330440229038,0.000419927585015199
91,252028.84436363698,10000000.0,11.85231540715904,4.702540329132687e-05
92,251551.91464419203,1000000.0,476.9297194449464,0.0018923616487199128
93,248785.24297792852,100000.0,2766.6716662635154,0.01099841227675344
94,242695.2649323533,10000.0,6089.978045575204,0.024478855629373037
95,222573.26612895576,100000000.0,20121.998803397553,0.08291055373085329
96,217999.21232895512,100000000.0,4574.0538000006345,0.02055077808558775
97,216972.2639895101,100000000.0,1026.9483394450217,0.004710789220171051
98,216747.09459846682,100000000.0,225.16939104328048,0.0010377796078772847
99,216699.53976727766,100000000.0,47.55483118916163,0.000219402392808351
