outer,nonlinear_objective,mean_pose_log_error,rms_translation_error,rms_angle_error,inner_cycles,pre_sweeps,e_hat_norm,e_star_norm,e_rel_to_exact,linear_residual_exact,linear_residual_approx,next_pose_gap_to_exact,next_objective_gap_to_exact,num_groups,coarse_dim
0,602585.0441299444,87.92730695372335,100.07173463021118,0.3696037132425942,,,,,,,,,,,
1,105553.47536767148,87.14406119422004,115.62366717194311,0.4911069125645061,5,50,2850.971389711396,2874.4924959512828,0.7539014358231059,6.298940042082192e-11,123.3118582790016,78.76179848144335,21217.284574689882,25,100
2,915.770086922936,102.50807195347474,131.49205897987986,0.5429948890244412,5,50,690.6657342013116,1662.9281766209588,1.0660779299572598,1.9319518449347812e-11,39.298930571472035,56.8523813743808,-2560.346275811187,25,100
3,612.8812791964511,87.38325252836404,107.30600696858869,0.45357593509138194,5,50,649.7229576331622,2088.6915812178277,0.6923276350777925,2.8161487677712787e-11,56.736887486588216,45.449813709379455,-10.70590943708703,25,100
4,601.3791537254152,74.18723933039374,88.47419567753299,0.3778849591537334,5,50,498.0033735737888,1454.4588214864204,0.6579361503271998,1.6625878113905404e-11,48.55617713442142,30.434618548771383,7.278763776152232,25,100
5,597.0114794922735,64.91720214753434,75.53685454888557,0.32647923362973225,5,50,346.88233324686695,963.983112192609,0.640261278973721,1.1115791857256804e-11,39.28670991126701,19.74196204322668,3.7218270782655054,25,100
6,595.0248030821404,58.88490800566226,67.25452521874384,0.29379304487644686,5,50,228.46587702098375,620.4130570841961,0.6318569397681276,6.9593748884821446e-12,32.48674066039045,12.610138909433307,2.064624009754766,25,100
7,594.1431128400378,55.09536194484467,62.12578090513656,0.2736193669275295,5,50,145.8560701828239,393.43476779870605,0.629464347909522,5.065828128601006e-12,28.03547035205677,8.01746189922475,1.2731773049719095,25,100
8,593.7489547039268,52.76313604797161,59.005540387348546,0.26135813552082027,5,50,91.16687868621888,248.1693630061875,0.6330637201152925,3.0880673826527344e-12,25.281892622949325,5.127532009986335,0.9026404559621142,25,100
9,593.5641468779392,51.33557142231717,57.11306143930231,0.25392672468240746,5,50,56.37129096733447,157.38885405815142,0.6427824518449831,1.987728656878132e-12,23.57631959350859,3.336551785985516,0.7243841906455373,25,100
10,593.4746478324713,50.46863693742725,55.970549744534985,0.24944017034994997,5,50,34.52432886304254,101.27888859376526,0.6612149889350533,1.135796557517764e-12,22.561514442580844,2.2372433855273197,0.6368990219912121,25,100
11,593.4278659124993,49.941284523760956,55.2787069518901,0.24672482722731456,5,50,21.072714143555068,67.05732928667257,0.6899311815794593,8.540175242043008e-13,21.936868969817695,1.5670391832889368,0.5907935699030986,25,100
12,593.4031040295316,49.621890761389274,54.860718028898496,0.24508490295522778,5,50,12.80668536976321,46.316156241167135,0.7308362139881971,7.209464553046302e-13,21.570161957245855,1.160223815227861,0.5662813616058884,25,100
13,593.389349319926,49.42998012364267,54.609775583347776,0.24409863628269035,5,50,7.7332823810898645,33.84911025117024,0.7822769489845615,4.819116488051472e-13,21.351143603551602,0.9142189294693774,0.5526262772031032,25,100
14,593.380737598717,49.31104539663676,54.45490540831666,0.2434931166363261,5,50,4.742769656466312,26.5448634915721,0.8340870171251004,3.871533368346849e-13,21.205353846867947,0.7661645009364602,0.5440570600301271,25,100
15,593.376579212131,49.24118438302,54.36362542947719,0.2431345224087845,5,50,2.827778092509938,22.129862599212593,0.8850607485364577,2.9062366169464493e-13,21.134750337513445,0.6773142027438341,0.5399190079733671,25,100
16,593.3738368314431,49.19961309003734,54.309262322678606,0.24291977289817107,5,50,1.6927593675136288,19.569767394728004,0.9242183871089463,3.091126311014027e-13,21.0866113627423,0.624748961507454,0.5371865609248516,25,100
17,593.3720957798118,49.17419581017907,54.27607094995781,0.242788956671842,5,50,1.0306429499536982,18.084327611643843,0.9511090779390827,2.674804255553493e-13,21.055498910304486,0.5937548747268037,0.5354507134031792,25,100
18,593.3713687056987,49.16047702738721,54.25789269647202,0.24271542497051599,5,50,0.5877091336293805,17.163185365009806,0.971347174961589,2.4885972239051296e-13,21.042920117623375,0.5753535564480323,0.5347266444024399,25,100
19,593.3697235216263,49.147295081066886,54.24134577048112,0.24265439834009392,5,50,0.4636118256637676,16.754145620808217,0.9763519983758371,2.2784680456638494e-13,21.01162290651037,0.564501142527528,0.5330827740806399,25,100
20,593.3704018425495,49.14341360150473,54.23593636728194,0.2426318426626367,5,50,0.19703179006400923,16.315618054640797,0.9906100461548,2.610271746193519e-13,21.02551328649012,0.5577128030567982,0.5337624521561111,25,100
