outer,nonlinear_objective,accepted,damping,attempts,step_norm,gradient_inf_norm,linear_residual_norm,predicted_reduction,actual_reduction,rho,relative_objective_improvement
0,3548660355.5203156,True,0.0,0,,,,,,,
1,3546089908.8007545,True,5354.946526955966,1,0.17650367768995892,2760818730.705343,6.687567088827027e-08,2554773.879407865,2570446.7195611,1.0061347269437668,0.0007243428398444779
2,3538330539.357351,True,1784.9821756519887,1,0.5277980657044553,2753554108.4979134,4.960812509552281e-07,7656205.261703406,7759369.443403721,1.0134745841019108,0.0021881479722627357
3,3514950420.1290226,True,594.9940585506629,1,1.5697744105763416,2731971882.436128,5.24953615923988e-07,22848770.600657284,23380119.228328228,1.0232550204541708,0.006607669625058444
4,3445293903.626248,True,198.33135285022095,1,4.6042847105358655,2669040416.8369365,5.582543564518934e-07,67294923.97872606,69656516.50277472,1.0350931747065384,0.019817211674985118
5,3245938204.8400683,True,66.11045095007364,1,13.08653508925142,2494535733.2431736,5.739067287016215e-07,190661790.28375548,199355698.78617954,1.045598588419238,0.0578631908808573
6,2748021024.181677,True,22.03681698335788,1,34.613210395525144,2063632717.9124067,3.931653411872515e-07,481503881.4671778,497917180.6583915,1.03408757400086,0.15339699933779993
7,1748813636.8108952,True,7.3456056611192935,1,76.90119986416519,1225521448.5474243,3.3122880926004653e-07,963786528.1566144,999207387.3707817,1.036751768342223,0.3636098045022534
8,532873681.43010205,True,2.4485352203730977,1,134.3131291039634,684692715.9953325,2.8900799585833904e-07,1205215440.5637367,1215939955.380793,1.0088984213577947,0.6952941867483142
9,91177280.35160433,True,1.077600697043906,1,131.7117145585661,505980851.88330704,6.602429867910197e-08,484261026.50364745,441696401.0784977,0.9121039623352197,0.8288951330699859
10,2424501.8175167693,True,0.35920023234796866,1,114.1866287812592,183011220.57573444,4.865474713638416e-08,88632182.00556388,88752778.53408755,1.0013606404106816,0.9734089259060236
11,204304.09086673034,True,0.11973341078265622,1,160.4541592378871,31046898.111067154,8.654637161008576e-09,2224291.012583743,2220197.7266500387,0.9981597345353883,0.9157335790014035
12,75866.11188350758,True,0.03991113692755207,1,211.23925462758328,5742724.885402007,4.207991579072282e-09,130884.0673083074,128437.97898322277,0.9813110306289405,0.6286608282699742
13,36701.50547980284,True,0.013303712309184023,1,255.65879609554744,2037649.3061341336,2.5677274176727643e-10,40323.46867807061,39164.60640370473,0.9712608485242712,0.5162332091545958
14,24264.24413549308,True,0.0044537940678307,1,284.321266224775,502631.9396657116,2.4800807748683384e-10,13280.940635781464,12437.261344309762,0.9364744324510672,0.3388760537671702
15,21184.65473514445,True,0.004453822012171267,1,301.4337783730825,83317.33043564623,6.963036839393172e-10,6274.91315614926,3079.589400348632,0.49077801137864513,0.1269188268611216
16,16490.277972652595,True,0.003352227670418672,1,174.07507522273946,73413.08349552547,5.570675881788497e-10,5768.055132370873,4694.376762491855,0.8138578177151197,0.22159326272634886
17,14490.97098311422,True,0.0032173149879881997,1,151.14228554996168,24332.597296882792,9.441249258531737e-10,2978.0531977872474,1999.3069895383742,0.671346969565184,0.12124155777446664
18,12753.618578451586,True,0.002422940681038767,1,111.77763994427147,7491.012905304938,5.244979179146066e-10,2135.1908661615516,1737.3524046626353,0.8136754574010925,0.11989206290503972
19,12350.591394517382,True,0.002574869285756374,1,113.2975606630518,8250.61568617209,1.4814434302871282e-09,1337.3657489121947,403.027183934204,0.30135898445284987,0.031601006526505
20,12004.321210299015,True,0.003068767236968539,1,99.69804503609684,12491.443121823067,9.43202317645916e-10,1636.1060144849266,346.2701842183669,0.21164287714410643,0.028036729024334947
21,11824.671138180473,True,0.008965991562238918,2,62.38018939777518,10823.305257989947,2.682185857093585e-10,1578.7660410315557,179.65007211854208,0.11379144689555133,0.014965450271724877
22,11013.498109178106,True,0.008960234358039087,1,46.710887311028564,3288.5177449362927,2.8595652766860645e-10,1493.4985815623586,811.1730290023661,0.5431361228035401,0.06860004980461433
23,10747.81899924331,True,0.009267806445085097,1,39.93735545789522,2401.6123816977874,1.8433958415660028e-10,787.1908080281576,265.67910993479563,0.3375028102783593,0.024123044949123998
24,10410.25278002347,True,0.009259650258293785,1,36.08754258323712,2348.6345498094715,1.3780587855983175e-10,616.0920746468163,337.5662192198415,0.5479152112342238,0.0314078809145937
25,10243.193960695899,True,0.00927676512081151,1,32.01433498652884,2257.376538966405,1.9008171159162808e-10,380.8576680356486,167.05881932757075,0.43863845564462656,0.016047527649678657
26,10057.164538721445,True,0.009183820632382664,1,29.473981061402476,2212.589370274947,2.3243094013340634e-10,306.0750908840732,186.02942197445373,0.607790138809149,0.018161271053566512
27,9923.583593232936,True,0.009074447690147232,1,25.641804573306175,2166.016951344285,2.3939957889611327e-10,217.49396317791178,133.58094548850931,0.6141823135534068,0.013282167650156721
28,9790.93460895222,True,0.008073856167587127,1,23.852283411629788,2134.24091236295,7.677796053178337e-11,179.3128065481394,132.648984280715,0.739763025487548,0.01336704457965877
29,9665.309863080312,True,0.0063599180347844895,1,22.446431250015152,2105.085067608319,2.928739058175007e-10,157.371454213886,125.62474587190809,0.7982689522660795,0.012830720548071545
30,9517.15013170998,True,0.0036921491499526155,1,25.639589779066895,2208.534714701278,1.299688193674386e-10,169.4639152310285,148.15973137033325,0.8742848362045014,0.015329020328285169
31,9290.45812694773,True,0.0017851769615960579,1,36.478712923318376,2570.215108866459,5.292595728245998e-10,251.55386394391405,226.69200476224978,0.901166856307135,0.02381931582721804
32,8884.12848971979,True,0.000918184640326228,1,60.75728449290933,4494.97001933532,9.355339513855964e-10,455.0061949297488,406.3296372279401,0.8930200110586974,0.04373623255987215
33,8302.401355492924,True,0.0007962389489390886,1,86.6547430479748,12825.788890256596,1.6474573184272828e-09,770.3944648911065,581.727134226865,0.7551029514588877,0.06547936974347081
34,8254.041686355384,True,0.001371940912373596,1,97.74757141948632,34829.9196279697,1.0432212161054086e-09,943.9263350486476,48.35966913754055,0.05123246098971083,0.005824780935884949
35,7710.390765363532,True,0.010954499028977077,3,48.67812204728168,34906.17043954837,5.710876565574092e-11,967.1772014995311,543.6509209918513,0.5621006369349525,0.06586481406927608
36,7434.456864725116,True,0.007465960624855103,1,22.968090779533092,1224.547239063067,1.1630423241275103e-10,327.92875347790203,275.93390063841616,0.8414446665989306,0.03578727836700068
37,7358.294046860377,True,0.007103207398089781,1,17.049015359953046,1106.1691964961478,1.4744042951005884e-10,111.60195672488359,76.16281786473883,0.6824505600066867,0.010244570551766178
38,7281.953409837592,True,0.005954073247358991,1,15.406056625362117,1273.6644766213276,9.10456152462354e-11,98.830142476632,76.34063702278581,0.7724428510344024,0.010374773899577808
39,7200.804444600223,True,0.004403796792627303,1,15.17666128854136,1282.7060729327325,1.5690651316835527e-10,99.04942349825505,81.14896523736843,0.8192775118857509,0.011143845705980463
40,7097.661335763864,True,0.002880072632735941,1,18.278616893491233,1402.3737842584346,2.5944988698372435e-10,121.19964366110787,103.1431088363588,0.8510182515450474,0.014323831403823819
41,6951.450961656518,True,0.001979085653344133,1,25.90905773704675,1753.8164788088607,2.786857740844182e-10,174.1795445489636,146.21037410734607,0.8394233346169123,0.020599795790568053
42,6766.521771631115,True,0.0017497889108014752,1,37.54419333852727,2742.916421971464,4.154061570032445e-10,248.64369903717392,184.92919002540293,0.7437517650417305,0.02660296261103662
43,6617.4434451844645,True,0.0017502834101344508,1,50.845273510937396,4379.652657823729,5.927052238861595e-10,319.0969412583283,149.07832644665086,0.46718820261571525,0.02203175153764628
44,6505.675054500965,True,0.013975989960897396,3,24.854414001132636,4756.102628813359,7.094601452811382e-11,198.99179780926147,111.76839068349909,0.5616733549522068,0.016889965378522928
45,6453.974513447732,True,0.010643429932366152,1,10.279376275572867,854.2966859039308,5.8179371897917226e-11,63.823697336036965,51.70054105323379,0.810052428975185,0.007946990991728776
46,6416.165625883254,True,0.005264626936930192,1,8.159201830183829,850.3822650065063,6.024899486593458e-11,42.09105128525048,37.80888756447803,0.8982642725706164,0.005858233168677391
47,6345.9862846649485,True,0.0017548756456433972,1,12.903571016223548,849.47716803805,1.1355173545272714e-10,72.92879645299672,70.17934121830513,0.9622994568892461,0.01093789426744173
48,6148.118018878631,True,0.000584958548547799,1,36.65404352941615,1098.986429199367,2.4718297449985836e-10,202.63502491664488,197.86826578631735,0.9764761342108139,0.03118006514833876
49,5646.8052981643295,True,0.00019498618284926632,1,108.9507338791439,3758.058003042346,1.1667837407253188e-09,527.6907630953161,501.3127207143016,0.9500123098113622,0.08153921560629657
50,4787.117690365837,True,0.00016597766940505739,1,319.33692193027343,19658.260854095297,2.208641185169109e-09,1123.8660672548995,859.6876077984925,0.7649377740341637,0.15224318218975263
51,4011.9259090010855,True,0.00015831785087803225,1,359.3825575470516,58852.82291434619,1.3247462671980536e-09,1141.0845031086565,775.1917813647515,0.6793465157513721,0.16193288561190783
52,3788.7755234181186,True,0.010118447867949134,4,38.084450748121185,18462.320349314286,2.085869944424961e-11,401.67490670970767,223.15038558296692,0.5555497290355724,0.05562176137956852
53,3707.7976929035713,True,0.009609407088866323,1,18.20273499450803,356.51569594017644,1.3505275228800653e-11,118.28846628686956,80.97783051454735,0.6845792582867919,0.02137308742997041
54,3682.4935012395817,True,0.009506056118604566,1,13.121993962816362,294.1413364053378,1.773043625518814e-11,41.45727998282665,25.304191663989513,0.6103678696352384,0.006824588006087742
55,3663.923852776211,True,0.008625675987705864,1,9.971288175290036,305.1796780571803,1.650566226903577e-11,25.570359841349497,18.569648463370868,0.7262177215567428,0.005042683295196597
56,3647.0192883470954,True,0.006229030764448407,1,8.917500546087032,298.23594488605323,1.330052911811214e-11,20.458953844993697,16.904564429115453,0.8262672938798382,0.004613787051362055
57,3625.6806000554902,True,0.0028768834910203474,1,10.872372053712153,306.59702322144676,2.706595506970836e-11,23.534532857787475,21.338688291605195,0.9066969130234643,0.005850994087085382
58,3582.77039793987,True,0.0009589611636734491,1,20.920635416171002,315.4507329193423,9.21246034015049e-11,45.23386241659099,42.91020211562045,0.948630070994816,0.011835075079410944
59,3467.6944062790735,True,0.000319653721224483,1,56.95853668883455,464.3995592106644,2.2476757956897197e-10,119.30610210711889,115.07599166079626,0.9645440562417786,0.03211927611296726
60,3227.702334427831,True,0.00020432823311545477,1,147.3880653306112,2290.6536498622722,2.1078875225679047e-10,280.3819712769087,239.9920718512426,0.8559468740385717,0.06920796463975623
61,3174.663701608869,True,0.0002703429522581999,1,171.93265583139222,16245.964567114615,3.6426914658898086e-10,338.01845385404454,53.038632818962014,0.15691046513650983,0.01643231851129298
62,2994.3676549277698,True,0.0002736371628549943,1,106.37654028531618,36815.864431712645,2.2414039437891272e-10,468.3715349243927,180.29604668109914,0.3849423657016296,0.05679217190461087
63,2840.1487455469046,True,0.0005545530760120244,2,69.05473798050495,26338.78091900903,7.585044875698233e-11,404.20564311702105,154.21890938086517,0.38153576528919825,0.0515029973447216
64,2776.3608753643052,True,0.0052233262016623235,3,47.999444220615125,8983.386158281113,9.292031763242906e-12,291.17659626537136,63.78787018259936,0.2190693585979851,0.022459341357600707
65,2697.1557285521635,True,0.005249958551624058,1,30.46113563124198,297.42744688737565,1.071592568302267e-11,191.34354379269075,79.20514681214172,0.41394209202039106,0.028528404759971513
66,2672.8142106508885,True,0.005935665171034352,1,23.83650995854585,196.13565500791583,6.6047758328905284e-12,98.82335231976253,24.341517901274983,0.24631342015714242,0.009024884119072183
67,2643.803721252102,True,0.005973362744453489,1,18.56545520128252,203.80685611847122,7.65584603317276e-12,71.20787891121459,29.010489398786376,0.4074056107605459,0.010853911687233094
68,2628.9085047989047,True,0.006060895985114507,1,13.903928734400806,175.37127423716967,1.2531133785207567e-11,39.44236684629415,14.895216453197463,0.3776450969903435,0.005634009943122066
69,2616.6146564830947,True,0.006062536588329482,1,11.243997949974005,192.25037851900018,7.80525454403094e-12,26.28822342763679,12.29384831581001,0.4676561103359117,0.004676407829853482
70,2607.2143018759925,True,0.006060671835509051,1,8.489426796826692,179.89658729769366,7.409271591861383e-12,17.61185807812935,9.400354607102145,0.5337514398197221,0.0035925636141382966
71,2598.711261103426,True,0.005921504952766345,1,7.297763481278053,189.98548224307524,6.5967624529668736e-12,13.24222762924905,8.503040772566692,0.6421155873944819,0.00326135092402969
72,2590.7415942725797,True,0.0052766803555524665,1,5.818024810700538,182.50233985625673,5.155835400863305e-12,10.787803929697269,7.9696668308461085,0.738766377548517,0.0030667765788886248
73,2582.289265033646,True,0.003774757027773802,1,5.784958858324887,190.8187318311952,8.459969702144308e-12,10.19702668541937,8.452329238933544,0.8289013552371544,0.003262513427668483
74,2571.147259740759,True,0.0020293935593546897,1,6.66078887543938,202.05433792455295,1.7366200863879874e-11,12.566605912168116,11.142005292887006,0.8866360074280929,0.004314778148118054
75,2552.0315666763195,True,0.0009827336301111544,1,11.352344327190883,311.32565607573474,1.981724605927875e-11,21.216692747818755,19.11569306443971,0.9009742136368052,0.007434693984181632
76,2522.6636751161072,True,0.0008938013579658915,1,21.802690726303485,893.7430349827544,3.974288974279516e-11,40.53650510178093,29.36789156021223,0.7244801071644921,0.01150765215590965
77,2488.7951547458833,True,0.0008779448247755653,1,24.697070360602133,3150.51662582285,2.4023386242837465e-11,53.7250654317724,33.868520370223905,0.6304044508467819,0.013425697886050976
78,2455.365840583572,True,0.0008779304240232765,1,27.683892639567677,3517.942460733328,4.944752896359435e-11,65.20196842724276,33.42931416231113,0.5127040635224696,0.013431926729110177
79,2430.1117293657694,True,0.0009323723346686449,1,33.623897123644,3366.5327935543082,3.04947320292872e-11,83.59713315550067,25.2541112178028,0.3020930295639102,0.01028527431651513
80,2422.4756847516423,True,0.0015465905479070043,1,42.77452576744509,3734.0154025222937,3.950676027156089e-11,117.58364627575622,7.636044614127059,0.06494138305780268,0.0031422607124817164
81,2389.445778924627,True,0.003669292409889898,2,39.399521993051366,2678.3413055921114,6.655465159783322e-12,154.01590166416736,33.02990582701523,0.21445776358234195,0.013634772903985423
82,2351.4493979044523,True,0.003933071317020739,1,32.30022926782923,565.3560072733503,7.024285998573923e-12,130.08034921668343,37.996381020174795,0.29209931591497895,0.015901754856841786
83,2306.911515132254,True,0.003958050462482386,1,28.213886618939892,370.8163688933935,4.980256597639856e-12,109.32077327131793,44.53788277219837,0.40740548607044663,0.018940608635630993
84,2245.267727201285,True,0.0038968797741357284,1,24.670049667300397,385.8520025676359,7.845771250494921e-12,98.70201897471588,61.643787930968756,0.6245443464207131,0.02672134909666648
85,2156.237018306089,True,0.0022994504852984748,1,22.822016284061284,602.6943933962373,5.943518300778548e-12,102.16676410574036,89.03070889519631,0.8714253571058733,0.039652602590147516
86,2064.8770127645053,True,0.001883385029628611,1,25.068741007210242,951.2746998570752,1.742564308886341e-11,116.70895189702075,91.36000554158363,0.782802039231712,0.04237011273155622
87,1997.8868326490651,True,0.0018833861169931846,1,31.466025432676894,2112.7273557829308,1.477617171940796e-11,135.10535695465944,66.99018011544013,0.4958365946801179,0.03244269741070541
88,1922.250590733783,True,0.0018848335981739822,1,36.05503875890053,2336.2886247468027,1.1327825419834637e-11,166.52612645624714,75.6362419152822,0.45420045205431936,0.03785812123051713
89,1886.5461426733282,True,0.0023698262598980694,1,42.6882918110237,1745.8683208374139,1.559201153010335e-11,196.2021797139106,35.70444806045475,0.18197783588600638,0.018574294232275537
90,1811.4997095763067,True,0.0025415376753959705,1,42.69312891714284,3607.5678986918415,1.0509452145023709e-11,257.4031785864055,75.04643309702146,0.29155208381325315,0.03977980257120931
91,1646.9524186241993,True,0.012421436323026913,3,17.270919131283957,3912.482689951143,1.8326473016038712e-12,190.22383969954703,164.54729095210746,0.8650192910205423,0.09083484257946338
92,1628.5409533707261,True,0.033123830194738434,3,2.669523938334817,1284.0238895360883,2.7853529589720875e-13,19.020434172574575,18.411465253473125,0.9679834375190279,0.011179111822097056
93,1623.1303480428323,True,0.12489677622795044,3,1.064072866584301,608.6358036912428,1.59651465636688e-13,5.983223240716709,5.410605327893791,0.9042960809273888,0.003322363687996309
94,1614.8726605776478,True,0.04163225874265014,1,2.009844238711194,467.08993413452436,2.5232307310353596e-13,8.634798223514586,8.257687465184517,0.9563266276097677,0.00508750728192694
95,1598.7819833466276,True,0.01387741958088338,1,4.080363582426393,476.08033681813157,1.4881491810928137e-12,15.626628476723637,16.09067723102021,1.0296960252806795,0.009964053280377225
96,1579.2895049132312,True,0.011438210553006449,1,7.9246208310873385,493.7121540577735,3.774787529190308e-12,24.98776643913512,19.4924784333964,0.7800808640050293,0.01219208036895315
97,1556.3646964995255,True,0.009782782607330733,1,8.731880025345326,1541.6296713970385,3.3730703981638534e-12,30.064732366869933,22.924808413705705,0.7625149671702343,0.014515899929927814
98,1550.6892905725738,True,0.01221399827130322,1,10.191787899025528,1587.3462514560238,4.080526084886975e-12,30.571679968871415,5.675405926951726,0.18564259251472334,0.0036465784270977623
99,1523.1676481769055,True,0.011647589729738896,1,8.072007759212122,2827.399759030163,3.022842244851171e-12,40.49466509513234,27.521642395668323,0.6796362516151927,0.017748005717835507
100,1499.4055564381592,True,0.0038825299099129653,1,6.753977016885101,2042.2237882621998,1.7236519587486212e-12,24.83319843013622,23.76209173874622,0.956867952615795,0.015600444092406575
