outer,phase,nonlinear_objective,gap_to_direct_optimum,x_rel_to_direct,accepted,objective_improvement,x_rel_improvement,selected_c,selected_k,selected_beta,linear_residual_approx,e_rel_to_exact,raw_full_step_objective,last_cycle_pre_residual_ratio,last_cycle_post_residual_ratio,status
30,objective_low,107.96751213439987,0.04845156036384424,0.004417026140248869,True,0.0008982663547953962,1.2019729609454716e-07,4,200,0.01,8676558.862948408,1.003634971841743,114.97079960914289,0.40027138886756614,0.4002713991491734,
31,objective_low,107.9669442815623,0.04788370752628168,0.004409800949501622,True,0.0005678528375625547,7.225190747247451e-06,5,200,0.005,11278970.3618871,0.6925345518637703,118.97777458256242,0.3461291365268291,0.34612902720902755,
32,objective_low,107.96656574970899,0.04750517567296697,0.00440778107208327,True,0.00037853185331471195,2.019877418351322e-06,5,200,0.005,11705956.04442826,0.9092406702472621,120.52673795248133,1.096248610686349,1.0962485983108454,
33,objective_low,107.96622311209819,0.047162538062167414,0.0044602175327170404,True,0.00034263761079955657,-5.2436460633770166e-05,2,300,0.002,31915396.385023635,6.961446508725471,232.6764350834742,0.1289072690137843,0.12890723463933912,
34,objective_low,107.96481322700886,0.04575265297283693,0.00445507993705322,True,0.001409885089330487,5.1375956638200285e-06,4,200,0.02,4265460.601789832,0.9455654450170211,109.63288246822923,1.288792780595984,1.288792129066474,
35,objective_low,107.96330196583183,0.04424139179580777,0.004453403200471928,True,0.001511261177029155,1.676736581292422e-06,5,200,0.002,75568569.45636621,0.8353237192876881,633.0138253907439,1.079610444196022,1.0796105598788477,
36,objective_low,107.9630752067844,0.044014632748371696,0.004437554249438148,True,0.0002267590474360759,1.5848951033780104e-05,5,200,0.001,115346483.39722739,2.859116972124742,748.8544475396795,1.8852246739680592,1.8852237439780253,
37,objective_low,107.96188843917382,0.04282786513779513,0.004419048748125312,True,0.0011867676105765668,1.850550131283612e-05,5,200,0.01,10531089.121748293,0.5846253351329703,117.84308200892465,1.1069442279409392,1.1069440394548604,
38,objective_low,107.96187224988915,0.04281167585313028,0.004419443043119911,True,1.6189284664847037e-05,-3.94294994598976e-07,4,200,0.001,33013616.795612793,1.1270887698663863,211.7664192182861,9.280720704896678,9.280723585519837,
39,objective_low,107.96154303902864,0.04248246499261654,0.004407867895285862,True,0.00032921086051374004,1.1575147834048602e-05,4,200,0.001,80631592.22222471,1.6327416606104537,600.4834927230182,0.8119756287483749,0.8119756776062331,
40,objective_low,108.47815807492681,0.5590975008907861,0.004721062244593198,False,,,5,300,0.001,,,,,,no_rule_acceptance
