outer_sample,ratio_target,base_objective,gap_to_direct_opt,exact_after_objective,exact_step_norm,success,success_cycle,success_objective,best_cycle_objective,best_cycle_index,cycles_ran,max_sweeps_cap,max_cycles_cap
30,0.8,63882.74371253417,63774.82465196013,17206.1277712051,29.29943334591899,True,2,18608.11271161112,18608.11271161112,2,2,300,10
40,0.8,8412.424586102372,8304.505525528335,338.39568438159193,10.242720873080307,False,None,None,12555.039761744483,7,10,300,10
50,0.8,1140.3709193239981,1032.4518587499622,111.02064628027992,3.581313324445529,True,3,206.21282814519196,206.21282814519196,3,3,300,10
75,0.8,113.29530393519154,5.376243361155517,107.9191257670484,0.2589859756763754,True,4,109.36969618773854,109.36969618773854,4,4,300,10
100,0.8,107.94678687930988,0.027726305273858998,107.91906058064689,0.018733921610466803,False,None,None,110.6519790481409,5,10,300,10
150,0.8,107.91906131061933,7.365833027961344e-07,107.91906057417596,9.917968223880415e-05,False,None,None,119.23843567436775,7,10,300,10
200,0.8,107.91906057416891,1.3288570244185394e-10,107.9190605740936,8.901543236919685e-06,False,None,None,108.11891222715859,6,10,300,10
300,0.8,107.91906057412336,8.733991307963151e-11,107.91906057409645,1.8221129764256012e-05,False,None,None,158.05537017400468,7,10,300,10
