actual_outer,start_objective,c,k,ck_cost,beta,post_objective,objective_delta,gap_to_direct_optimum,improves,raw_full_step_objective,linear_residual_approx,e_rel_to_exact,exact_after_objective,exact_step_norm,last_cycle_pre_residual_ratio,last_cycle_post_residual_ratio
20,109.57278813537108,1,50,50,1.0,72058390.84775712,72058281.27496898,72058282.92869654,False,72058390.84775712,26875778396.374516,1.1655299419401182,107.94250827356883,3.2404989191949714,6801.277848364997,6801.277613491292
20,109.57278813537108,1,50,50,0.7,35311856.30258153,35311746.72979339,35311748.38352095,False,72058390.84775712,26875778396.374516,1.1655299419401182,107.94250827356883,3.2404989191949714,6801.277848364997,6801.277613491292
20,109.57278813537108,1,50,50,0.5,18018819.659746636,18018710.0869585,18018711.740686063,False,72058390.84775712,26875778396.374516,1.1655299419401182,107.94250827356883,3.2404989191949714,6801.277848364997,6801.277613491292
20,109.57278813537108,1,50,50,0.3,6489112.085039561,6489002.512251426,6489004.165978987,False,72058390.84775712,26875778396.374516,1.1655299419401182,107.94250827356883,3.2404989191949714,6801.277848364997,6801.277613491292
20,109.57278813537108,1,50,50,0.2,2885407.550018015,2885297.9772298797,2885299.630957441,False,72058390.84775712,26875778396.374516,1.1655299419401182,107.94250827356883,3.2404989191949714,6801.277848364997,6801.277613491292
20,109.57278813537108,1,50,50,0.1,722418.7920891588,722309.2193010234,722310.8730285848,False,72058390.84775712,26875778396.374516,1.1655299419401182,107.94250827356883,3.2404989191949714,6801.277848364997,6801.277613491292
20,109.57278813537108,1,50,50,0.05,181181.45642512338,181071.883636988,181073.53736454935,False,72058390.84775712,26875778396.374516,1.1655299419401182,107.94250827356883,3.2404989191949714,6801.277848364997,6801.277613491292
20,109.57278813537108,1,50,50,0.02,29318.751210936378,29209.178422801007,29210.83215036234,False,72058390.84775712,26875778396.374516,1.1655299419401182,107.94250827356883,3.2404989191949714,6801.277848364997,6801.277613491292
20,109.57278813537108,1,50,50,0.01,7510.922574804609,7401.349786669238,7403.003514230573,False,72058390.84775712,26875778396.374516,1.1655299419401182,107.94250827356883,3.2404989191949714,6801.277848364997,6801.277613491292
20,109.57278813537108,1,50,50,0.005,2009.4399806217168,1899.8671924863456,1901.5209200476809,False,72058390.84775712,26875778396.374516,1.1655299419401182,107.94250827356883,3.2404989191949714,6801.277848364997,6801.277613491292
20,109.57278813537108,1,50,50,0.002,437.3260922637792,327.7533041284081,329.4070316897431,False,72058390.84775712,26875778396.374516,1.1655299419401182,107.94250827356883,3.2404989191949714,6801.277848364997,6801.277613491292
20,109.57278813537108,1,50,50,0.001,201.4172009669646,91.84441283159352,93.49814039292858,False,72058390.84775712,26875778396.374516,1.1655299419401182,107.94250827356883,3.2404989191949714,6801.277848364997,6801.277613491292
20,109.57278813537108,1,100,100,1.0,51554.31291426347,51444.7401261281,51446.393853689435,False,51554.31291426347,744554228.2003053,0.7970837883277946,107.94250827356883,3.2404989191949714,188.41947928794949,188.41947308853148
