outer,objective,gap_to_direct_opt,e_rel_to_exact,linear_residual_approx,next_objective_gap_to_exact,next_pose_gap_to_exact
0,3350168.410825497,3350060.491764923,,,,
1,38373012.44400701,38372904.52494644,0.3977291082392686,16415457089.380053,-863780309.6098647,5.599491757341845
2,29885191.824432302,29885083.90537173,0.4607569651026016,1400767363.6508622,-315500099.7483853,2.559559328761411
3,204151.02289590042,204043.10383532636,0.6124300606137354,19177167.45185074,-1192624.8039903892,1.492849590082061
4,21731.651265955075,21623.73220538101,0.5399325576424093,487420970.0597028,21245.87994329423,0.8021323203397361
5,125.73759604967736,17.818535475612137,0.4736796404924956,9665596.58714281,-21.876432249172666,0.3803162256965923
6,2414.6846707722375,2306.7656101981725,0.5699209071172991,152266480.59946728,2302.74771679869,0.21520590801794282
7,667.5901811636709,559.6711205896056,0.6532262811032337,1846299.2150963084,559.4350853288563,0.13970819952553695
8,21789.482999034928,21681.563938460862,1.1540371608523627,479001147.8406085,21681.39386411949,0.15926151151680235
9,7309.071000560035,7201.15193998597,0.7065504705761941,278279598.2171278,7198.8412786999625,0.11415952372578557
10,4586.94868426164,4479.029623687575,0.5723908895524413,218776399.74090844,4478.80718217593,0.06567371834630863
11,25432.3553783589,25324.436317784835,0.25960034868416265,517383834.4885665,25324.427146504426,0.018157085127571256
12,495720959044.1767,495720958936.2576,3571.4742036202156,2518860964425.3604,495720958936.24615,41.46213913989937
