outer_sample,ratio_target,success,c_used,sum_k_used,k_sequence_used,base_objective,exact_after_objective,exact_gap_to_direct,best_cycle,best_cycle_objective,best_gap_to_direct,best_objective_ratio_to_base,best_pre_residual_ratio,best_post_residual_ratio
50,1.0,True,3,217,113 13 91,1140.3709193239981,111.02064628027992,3.1015857062438954,3,229.78907487432414,121.87001430028812,0.2015038010707438,0.8495189149820346,0.8495178294018382
50,0.8,True,3,219,113 13 93,1140.3709193239981,111.02064628027992,3.1015857062438954,3,206.21282814519196,98.29376757115594,0.1808296096040691,0.3599520218047882,0.35994925846140546
50,0.5,True,1,117,117,1140.3709193239981,111.02064628027992,3.1015857062438954,1,670.1982838270729,562.2792232530369,0.5877020121000285,0.07537634252434094,0.07536938735849526
75,1.0,True,5,537,300 21 21 21 174,113.29530393519154,107.9191257670484,6.519301237517539e-05,5,113.03024430217853,5.111183728142507,0.9976604534891875,0.8884052150161849,0.8884071676146215
75,0.8,True,4,617,300 47 47 223,113.29530393519154,107.9191257670484,6.519301237517539e-05,4,109.36969618773854,1.4506356137025165,0.9653506578728226,0.7574959586171124,0.7574971147863481
75,0.5,True,4,630,300 47 47 236,113.29530393519154,107.9191257670484,6.519301237517539e-05,4,108.20852180234995,0.2894612283139253,0.9551015624111712,0.15243507733864703,0.15243606358741232
100,1.0,False,10,1702,300 19 42 176 156 189 186 178 300 156,107.94678687930988,107.91906058064689,6.610861191802542e-09,5,112.52329163303573,4.6042310589997015,1.0423959330891674,0.39480409250122084,0.3948050411668906
100,0.8,False,10,1872,300 19 103 163 173 168 175 300 171 300,107.94678687930988,107.91906058064689,6.610861191802542e-09,5,110.6519790481409,2.7329184741048778,1.0250604232607272,0.36098674182735774,0.36098902556144835
100,0.5,False,10,1922,300 19 114 176 158 300 178 300 185 192,107.94678687930988,107.91906058064689,6.610861191802542e-09,4,109.31723780449957,1.3981772304635456,1.012695615727052,0.4967570983736799,0.49676060006522665
