base_label,start_objective,start_x_rel_to_direct,exact_after_objective,exact_after_x_rel_to_direct,c,k,ck_cost,beta1_objective,beta1_x_rel_to_direct,beta1_objective_improvement,beta1_x_rel_improvement,best_objective_beta,best_objective,best_objective_x_rel_to_direct,best_x_rel_beta,best_x_rel_to_direct,best_x_rel_objective,linear_residual_approx,e_rel_to_exact,raw_full_step_objective,last_cycle_pre_residual_ratio,last_cycle_post_residual_ratio,exact_step_norm,approx_step_norm
intel_g2o_adaptive_rule_bridge_v3_message_conditioned_information_outer20_trajectories_pose_history_completed_outer13,237.57615895219422,0.011479406762983407,107.98283980793711,6.401544101444784e-06,2,100,200,219.31328659010367,0.01337154162356586,18.262872362090548,-0.0018921348605824527,0.5,113.72319209100824,0.012421096782924268,0.001,0.011481279970250774,237.10184210497437,34271386.954997964,1.1648203938173285,219.31328659010367,0.2776459193799143,0.2776459858589031,5.951332076081555,1.0386179202104897
intel_g2o_adaptive_rule_bridge_v3_message_conditioned_information_outer20_trajectories_pose_history_completed_outer13,237.57615895219422,0.011479406762983407,107.98283980793711,6.401544101444784e-06,2,200,400,110.07818382394822,0.013335521596704538,127.497975128246,-0.001856114833721131,0.8,109.74034602671621,0.01296242897049704,0.001,0.011481249696766008,237.28821547369827,4588056.968372715,1.1616002704701396,110.07818382394822,0.363309712919996,0.3633099577439768,5.951332076081555,1.0032031797353396
intel_g2o_adaptive_rule_bridge_v3_message_conditioned_information_outer20_trajectories_pose_history_completed_outer13,237.57615895219422,0.011479406762983407,107.98283980793711,6.401544101444784e-06,2,300,600,116.03778088533484,0.013210414563519193,121.53837806685938,-0.0017310078005357867,0.8,108.93606712054563,0.0128624122936319,0.001,0.011481125173756471,237.25912060391627,9257097.227699716,1.150680396824717,116.03778088533484,3.7725184963104117,3.7725186345276365,5.951332076081555,0.9391942621577505
intel_g2o_adaptive_rule_bridge_v3_message_conditioned_information_outer20_trajectories_pose_history_completed_outer13,237.57615895219422,0.011479406762983407,107.98283980793711,6.401544101444784e-06,3,50,150,9662.28080990962,0.012677122764699188,-9424.704650957427,-0.0011977160017157817,0.001,239.46417452736685,0.011480588061794377,0.001,0.011480588061794377,239.46417452736685,316974013.24446726,1.1045358034099197,9662.28080990962,0.7187799182619381,0.7187800282913631,5.951332076081555,0.6985081880733163
intel_g2o_adaptive_rule_bridge_v3_message_conditioned_information_outer20_trajectories_pose_history_completed_outer13,237.57615895219422,0.011479406762983407,107.98283980793711,6.401544101444784e-06,3,100,300,561.904892092232,0.012402944052482965,-324.3287331400378,-0.0009235372894995583,0.001,237.75907293259468,0.01148032537369918,0.001,0.01148032537369918,237.75907293259468,70471933.88536566,1.080578011574362,561.904892092232,2.0562902357766597,2.0562906887282657,5.951332076081555,0.5104323826859825
intel_g2o_adaptive_rule_bridge_v3_message_conditioned_information_outer20_trajectories_pose_history_completed_outer13,237.57615895219422,0.011479406762983407,107.98283980793711,6.401544101444784e-06,3,200,600,159.43950140791355,0.012032308863280109,78.13665754428067,-0.0005529021002967024,1.0,159.43950140791355,0.012032308863280109,0.001,0.011479954116616571,237.4671612586125,23986759.94792304,1.0483255135685643,159.43950140791355,5.228086064324139,5.228086772521185,5.951332076081555,0.3421008461840153
intel_g2o_adaptive_rule_bridge_v3_message_conditioned_information_outer20_trajectories_pose_history_completed_outer13,237.57615895219422,0.011479406762983407,107.98283980793711,6.401544101444784e-06,4,100,400,579.6815170894715,0.01053192659411263,-342.10535813727734,0.0009474801688707773,0.3,119.85834838369854,0.011187972803576965,1.0,0.01053192659411263,579.6815170894715,71421220.36938325,0.9171785800218699,579.6815170894715,1.0134701437380729,1.0134704190970798,5.951332076081555,0.6697239247239162
intel_g2o_adaptive_rule_bridge_v3_message_conditioned_information_outer20_trajectories_pose_history_completed_outer13,237.57615895219422,0.011479406762983407,107.98283980793711,6.401544101444784e-06,4,200,800,117.59577558204863,0.010603675633665646,119.98038337014559,0.0008757311293177607,0.8,109.20831938443797,0.010774199250010335,1.0,0.010603675633665646,117.59577558204863,10083288.172752727,0.9233952361103016,117.59577558204863,0.4203686953901204,0.42036891162642487,5.951332076081555,0.6126029022082279
intel_g2o_adaptive_rule_bridge_v3_message_conditioned_information_outer20_trajectories_pose_history_completed_outer13,237.57615895219422,0.011479406762983407,107.98283980793711,6.401544101444784e-06,5,100,500,1364.968816095944,0.010475868591063085,-1127.3926571437498,0.0010035381719203217,0.001,238.04783771016284,0.011478380516995295,1.0,0.010475868591063085,1364.968816095944,116378799.2645687,0.912844867857388,1364.968816095944,1.6294704594285414,1.6294708864210028,5.951332076081555,0.6401056898025004
intel_g2o_adaptive_rule_bridge_v3_message_conditioned_information_outer20_trajectories_pose_history_completed_outer13,237.57615895219422,0.011479406762983407,107.98283980793711,6.401544101444784e-06,5,200,1000,123.67762212549619,0.009810799837877741,113.89853682669803,0.0016686069251056652,1.0,123.67762212549619,0.009810799837877741,1.0,0.009810799837877741,123.67762212549619,12473259.985437958,0.8549499247958755,123.67762212549619,1.237022143741813,1.23702305951579,5.951332076081555,0.9375273065797405
