outer,nonlinear_objective,inner_cycles,pre_sweeps,basis_source,coarse_damping,e_hat_norm,e_star_norm,e_rel_to_exact,linear_residual_exact,linear_residual_approx,next_pose_gap_to_exact,next_objective_gap_to_exact,num_groups,coarse_dim,exact_next_objective
0,3350168.410825497,,,,,,,,,,,,,,
1,287803223.498273,5,100,message_conditioned_information,1.0,514.4582669715098,699.3488142897845,0.44712034732004896,0.001431575703154367,612536663.463355,6.287783089200754,-614350098.5555987,61,244,902153322.0538718
2,42986919.182428464,5,100,message_conditioned_information,1.0,161.4778562356269,257.58771823484494,0.45059034132466386,0.0002479014036637022,105764017.78900085,2.8106682839111916,-348108711.39804554,61,244,391095630.580474
3,689163.3472682785,5,100,message_conditioned_information,1.0,46.5423218141988,103.63857382689811,0.5563936866910318,7.58975815486034e-05,895660962.8149282,1.4676589618214801,-845869.5130393491,61,244,1535032.8603076276
4,3881.368055222334,5,100,message_conditioned_information,1.0,28.88086115321356,57.091717198248915,0.49417702697076454,4.107249110770029e-05,220670058.7970069,0.7188771710330769,3499.2637544610975,61,244,382.10430076123674
5,993.2402558999738,5,100,message_conditioned_information,1.0,13.21481967790831,28.159760398065355,0.5307462341771073,4.471426804855615e-05,98727986.79929952,0.38090917421299,876.0346321762037,61,244,117.20562372377016
6,45179611.22799534,5,100,message_conditioned_information,1.0,89.77917594689579,14.930243621413704,6.3453400030657185,1.0173456397766992e-05,24127944631.326797,2.481184289429105,45179502.64795126,61,244,108.58004408376455
7,660752.6489973029,5,100,message_conditioned_information,1.0,83.16613223454705,95.85632351627076,0.9055659967764237,0.001518940839292438,4151100865.262984,2.248916592356479,-170322.5481243279,61,244,831075.1971216308
8,47642.43752276659,5,100,message_conditioned_information,1.0,24.090138555101415,87.30218405649264,0.7518251207602009,0.0003356612564935404,700782817.6123418,1.6700942637432694,43701.13577420147,61,244,3941.301748565116
9,115.63266794843574,5,100,message_conditioned_information,1.0,30.15036072501653,65.23937607056008,0.5389369202411308,7.506484803076863e-05,3044960.985467791,0.8961843143838275,-121.44988629903335,61,244,237.0825542474691
10,994.7160699360128,5,100,message_conditioned_information,1.0,17.620325691550867,35.15430454443637,0.49921273134009436,2.0822507581456878e-05,114078377.89938292,0.44650665022863284,872.0646720721786,61,244,122.6513978638342
11,676.6739324729089,5,100,message_conditioned_information,1.0,7.941466862988766,17.520535103399443,0.5474572206179765,5.557414728375957e-06,65185276.28646686,0.24510411945475233,548.5929916142201,61,244,128.08094085868876
12,3173.947995313253,5,100,message_conditioned_information,1.0,6.569251168583274,9.595182498551873,0.3244000651284403,1.3187204122511754e-05,190404696.36749446,0.08067396526127135,3059.2918196156584,61,244,114.65617569759475
13,1097.6089851411805,5,100,message_conditioned_information,1.0,1.8145817945475478,3.1037675441000654,0.4193939848540529,7.849226126985139e-06,102645120.5097128,0.03423454970879053,989.5282697279499,61,244,108.08071541323058
14,932.8690695468396,5,100,message_conditioned_information,1.0,1.4921658242228435,1.3040062954848197,0.32056031488981523,4.5767884278668455e-06,94975166.7085298,0.011098673216074988,824.9496580496958,61,244,107.91941149714377
15,20293.357431235145,5,100,message_conditioned_information,1.0,15.25018155722151,0.4178539411840384,37.1696664198666,1.2534380604511837e-06,558926478.1696222,0.4021648358043439,20185.437883356393,61,244,107.91954787875066
16,19397.25550131308,5,100,message_conditioned_information,1.0,5.422864002343314,15.52695455743635,0.662025614818506,1.492241903876846e-05,491130870.71836907,0.2623722693349011,18350.194529636086,61,244,1047.0609716769957
17,190228.2407711188,5,100,message_conditioned_information,1.0,12.932516661602106,10.289630782883826,2.2466060412197058,1.553795274694124e-05,1431885261.842364,0.5924084403675248,190117.64084171684,61,244,110.59992940195758
18,56412.33143594062,5,100,message_conditioned_information,1.0,5.218817176153479,23.136678200977197,0.8010479816852071,3.708562694577402e-05,777966888.8621573,0.472247216670911,56256.8835158107,61,244,155.4479201299209
19,3428.626416579791,5,100,message_conditioned_information,1.0,5.646177150118593,18.51205229383849,0.6997332948674921,3.623036981986483e-05,189143751.53143415,0.32969750385049795,3309.3666506346185,61,244,119.25976594517272
20,3411.8632445712124,5,100,message_conditioned_information,1.0,3.941078127584871,12.952146713336417,0.6965815856892206,1.3436899676084232e-05,190407771.40616998,0.22953982524685235,3301.435042663047,61,244,110.42820190816504
