outer,direct_newton_objective,persistent_residual_mg_objective,direct_minus_optimum,mg_minus_optimum,mg_minus_direct,optimum_objective
0,812.7548653692855,812.7548653692855,785.9848353461697,785.9848353461697,0.0,26.770030023115805
1,85.69850470281511,85.68340184663509,58.928474679699306,58.913371823519284,-0.015102856180021718,26.770030023115805
2,26.776354143093155,26.77632829978771,0.006324119977350051,0.006298276671905967,-2.5843305444084308e-05,26.770030023115805
3,26.770034335761316,26.770034290585063,4.3126455118169815e-06,4.2674692579680595e-06,-4.517625384892199e-08,26.770030023115805
4,26.770030027892545,26.770030040951905,4.776740780698674e-09,1.7836100596468896e-08,1.3059359815770222e-08,26.770030023115805
5,26.770030023123468,26.770030038497467,7.66320340517268e-12,1.5381662166191745e-08,1.5373998962786573e-08,26.770030023115805
6,26.770030023116277,26.77003003855629,4.725109192804666e-13,1.5440484446571645e-08,1.5440011935652365e-08,26.770030023115805
7,26.770030023118103,26.770030038539712,2.298605750183924e-12,1.5423907484546362e-08,1.5421608878796178e-08,26.770030023115805
8,26.770030023115613,26.7700300385569,-1.9184653865522705e-13,1.54410955133244e-08,1.5441287359863054e-08,26.770030023115805
9,26.77003002311523,26.77003003856288,-5.755396159656812e-13,1.544707473044582e-08,1.5447650270061786e-08,26.770030023115805
10,26.770030023115726,26.77003003855346,-7.815970093361102e-14,1.543765648648332e-08,1.5437734646184254e-08,26.770030023115805
11,26.770030023117688,26.770030038560577,1.8829382497642655e-12,1.5444772571981957e-08,1.5442889633732193e-08,26.770030023115805
12,26.77003002311525,26.770030038550782,-5.542233338928781e-13,1.5434977740369504e-08,1.5435531963703397e-08,26.770030023115805
13,26.770030023115872,26.770030038547482,6.750155989720952e-14,1.54316772693619e-08,1.5431609767802e-08,26.770030023115805
14,26.77003002311803,26.770030038560602,2.2239987629291136e-12,1.544479744097771e-08,1.544257344221478e-08,26.770030023115805
15,26.77003002311642,26.77003003855629,6.146194664324867e-13,1.5440484446571645e-08,1.5439869827105213e-08,26.770030023115805
16,26.77003002311779,26.77003003855851,1.98596694644948e-12,1.5442704892620895e-08,1.5440718925674446e-08,26.770030023115805
17,26.77003002311545,26.770030038559074,-3.552713678800501e-13,1.5443269774095825e-08,1.5443625045463705e-08,26.770030023115805
18,26.77003002311579,26.770030038549596,-1.4210854715202004e-14,1.5433791134000785e-08,1.54338053448555e-08,26.770030023115805
19,26.77003002311532,26.770030038544693,-4.831690603168681e-13,1.542888838912404e-08,1.5429371558184357e-08,26.770030023115805
20,26.77003002311786,26.770030038550537,2.05702122002549e-12,1.5434732603125667e-08,1.543267558190564e-08,26.770030023115805
21,26.770030023115538,26.770030038554754,-2.6645352591003757e-13,1.5438949674262403e-08,1.5439216127788313e-08,26.770030023115805
22,26.770030023115243,26.770030038555376,-5.613287612504791e-13,1.5439571399156193e-08,1.5440132727917444e-08,26.770030023115805
23,26.77003002311659,26.77003003855941,7.851497230149107e-13,1.5443603729181632e-08,1.5442818579458617e-08,26.770030023115805
24,26.770030023115332,26.77003003855405,-4.725109192804666e-13,1.5438246236954e-08,1.543871874787328e-08,26.770030023115805
25,26.770030023115527,26.770030038566137,-2.7711166694643907e-13,1.545033256888928e-08,1.5450609680556227e-08,26.770030023115805
26,26.770030023119645,26.770030038557685,3.8404834867833415e-12,1.5441880663047414e-08,1.543804017956063e-08,26.770030023115805
27,26.77003002311593,26.77003003855055,1.2434497875801753e-13,1.5434746813980382e-08,1.5434622469001624e-08,26.770030023115805
28,26.770030023115368,26.77003003855913,-4.369837824924616e-13,1.5443326617514685e-08,1.5443763601297178e-08,26.770030023115805
29,26.770030023115496,26.770030038541705,-3.090860900556436e-13,1.542590055692017e-08,1.5426209643010225e-08,26.770030023115805
30,26.770030023115307,26.77003003854934,-4.973799150320701e-13,1.543353533861591e-08,1.5434032718530943e-08,26.770030023115805
31,26.770030023115318,26.770030038556385,-4.867217739956686e-13,1.5440580369840973e-08,1.544106709161497e-08,26.770030023115805
32,26.770030023115567,26.770030038557863,-2.3803181647963356e-13,1.5442058298731354e-08,1.5442296330547833e-08,26.770030023115805
33,26.770030023115527,26.770030038544792,-2.7711166694643907e-13,1.5428987865107047e-08,1.5429264976773993e-08,26.770030023115805
34,26.770030023115265,26.770030038562247,-5.400124791776761e-13,1.5446442347410994e-08,1.544698235989017e-08,26.770030023115805
35,26.77003002311601,26.770030038551454,2.0605739337042905e-13,1.5435649203254798e-08,1.5435443145861427e-08,26.770030023115805
36,26.77003002311529,26.770030038554708,-5.151434834260726e-13,1.543890348898458e-08,1.5439418632468005e-08,26.770030023115805
37,26.770030023117027,26.770030038560083,1.2221335055073723e-12,1.5444278744780604e-08,1.5443056611275097e-08,26.770030023115805
38,26.770030023117275,26.770030038557294,1.4708234630234074e-12,1.5441489864542746e-08,1.5440019041079722e-08,26.770030023115805
39,26.770030023117627,26.770030038554356,1.822542117224657e-12,1.5438551770330378e-08,1.5436729228213153e-08,26.770030023115805
40,26.770030023118778,26.770030038540295,2.9736213491560193e-12,1.5424490129589685e-08,1.542151650824053e-08,26.770030023115805
41,26.770030023118892,26.770030038548995,3.0873081868776353e-12,1.5433190725389068e-08,1.543010341720219e-08,26.770030023115805
42,26.77003002311571,26.770030038565917,-9.592326932761353e-14,1.5450112300641194e-08,1.5450208223910522e-08,26.770030023115805
43,26.770030023115417,26.770030038551308,-3.872457909892546e-13,1.5435503541993967e-08,1.5435890787784956e-08,26.770030023115805
44,26.770030023115563,26.770030038563153,-2.4158453015843406e-13,1.5447348289399088e-08,1.5447589873929246e-08,26.770030023115805
45,26.77003002311526,26.7700300385463,-5.435651928564766e-13,1.5430494215706858e-08,1.5431037780899715e-08,26.770030023115805
46,26.77003002311813,26.77003003855536,2.327027459614328e-12,1.54395536355878e-08,1.5437226608128185e-08,26.770030023115805
47,26.7700300231157,26.770030038565046,-1.0302869668521453e-13,1.5449241885789888e-08,1.5449344914486574e-08,26.770030023115805
48,26.770030023115623,26.770030038550672,-1.8118839761882555e-13,1.543486760624546e-08,1.543504879464308e-08,26.770030023115805
49,26.770030023115783,26.770030038554104,-2.1316282072803006e-14,1.5438299527659183e-08,1.5438320843941256e-08,26.770030023115805
50,26.770030023115805,26.770030038560698,0.0,1.5444893364247037e-08,1.5444893364247037e-08,26.770030023115805
