basis_source,inner_cycles,pre_sweeps,outer,nonlinear_objective,e_star_norm,proj_rel,num_groups,coarse_dim
joint_covariance,1,50,0,812.7548653692855,160.9546229766807,0.16992428373989524,3,12
joint_covariance,1,50,1,70.01378668884301,24.44899447271764,0.1755846218604096,3,12
joint_covariance,1,50,2,26.79651989475793,3.252796431600974,0.05929077235099693,3,12
joint_covariance,1,50,3,26.77809526675101,0.5295390370862135,0.24442706116159696,3,12
joint_covariance,1,50,5,26.778168399028495,1.1160249804459899,0.12388862982195302,3,12
joint_covariance,1,50,10,26.77823506146275,1.452947399046666,0.09716119063462927,3,12
joint_covariance,1,50,20,26.77823609906259,1.4575855556688175,0.09688099969141774,3,12
message_conditioned_information,1,50,0,812.7548653692855,160.9546229766807,0.17213296893322103,3,12
message_conditioned_information,1,50,1,63.8599226743495,33.871827690717915,0.11662894039108766,3,12
message_conditioned_information,1,50,2,26.81861366575778,15.914171580251887,0.023322466794457358,3,12
message_conditioned_information,1,50,3,26.78744531324363,10.010862744765191,0.02540928801759834,3,12
message_conditioned_information,1,50,5,26.78216877738654,5.16841190817474,0.036598625082136654,3,12
message_conditioned_information,1,50,10,26.780956871241393,3.242512437532444,0.05358424906661532,3,12
message_conditioned_information,1,50,20,26.780909025866425,3.145126141142697,0.05506698575465433,3,12
joint_covariance,2,50,0,812.7548653692855,160.9546229766807,0.16992428373989524,3,12
joint_covariance,2,50,1,84.76712595515124,21.54846343481743,0.2268876577675306,3,12
joint_covariance,2,50,2,26.776124955642864,1.0344762687922837,0.10166419130513445,3,12
joint_covariance,2,50,3,26.770216740565765,0.33493675172883114,0.13035749803310392,3,12
joint_covariance,2,50,5,26.770216105558767,0.30524668845231656,0.1456140574710991,3,12
joint_covariance,2,50,10,26.770216109084497,0.30595843678251194,0.14527866194262576,3,12
joint_covariance,2,50,20,26.770216109659803,0.30524667131221933,0.14562032497619176,3,12
message_conditioned_information,2,50,0,812.7548653692855,160.9546229766807,0.17213296893322103,3,12
message_conditioned_information,2,50,1,73.39765622693645,18.617958018575475,0.23445557013079404,3,12
message_conditioned_information,2,50,2,26.785303121409164,2.9699057083772726,0.0455596005967885,3,12
message_conditioned_information,2,50,3,26.770439039660495,2.388038342330174,0.024003754769733352,3,12
message_conditioned_information,2,50,5,26.770389919400397,2.226097939126203,0.024500934880294402,3,12
message_conditioned_information,2,50,10,26.770386879575952,2.2144002712938935,0.0245482843933623,3,12
message_conditioned_information,2,50,20,26.770386879539664,2.2145940928664474,0.024546408125292494,3,12
