followup_c,followup_k,beta,post_objective,x_rel_to_direct,objective_improvement_vs_geom,candidate_e_rel_to_exact,candidate_linear_residual
5,200,1.0,120.09030344903528,0.006620653796419249,11498.96270796869,7.291981979496081,14977350.535744507
5,200,0.8,688.8310678177179,0.00516506785834796,10930.221943600007,7.291981979496081,14977350.535744507
5,200,0.5,3187.383907909306,0.0029944954695703373,8431.669103508419,7.291981979496081,14977350.535744507
5,200,0.3,5928.927351513899,0.0015835474507763204,5690.125659903826,7.291981979496081,14977350.535744507
5,200,0.2,7617.051156642126,0.0009393142429857861,4002.001854775599,7.291981979496081,14977350.535744507
5,200,0.1,9514.354678589994,0.000571478697516881,2104.698332827731,7.291981979496081,14977350.535744507
5,200,0.05,10540.890851731114,0.0006706876103227824,1078.1621596866116,7.291981979496081,14977350.535744507
5,200,0.02,11181.607264687931,0.0008075350483790922,437.44574672979434,7.291981979496081,14977350.535744507
5,200,0.01,11399.301176490393,0.0008607757819317694,219.7518349273323,7.291981979496081,14977350.535744507
5,200,0.005,11508.919964653416,0.0008884576233298251,110.13304676430926,7.291981979496081,14977350.535744507
4,200,1.0,219.6908751426997,0.006773944879880507,11399.362136275025,7.449790652319171,32363242.611971583
4,200,0.8,984.0392762138439,0.0052610973078556144,10635.013735203882,7.449790652319171,32363242.611971583
4,200,0.5,3541.86412958135,0.0029985787235445203,8077.188881836375,7.449790652319171,32363242.611971583
4,200,0.3,6196.811836601332,0.0015105609757228341,5422.241174816393,7.449790652319171,32363242.611971583
4,200,0.2,7811.487596203787,0.0008072109349666046,3807.5654152139386,7.449790652319171,32363242.611971583
4,200,0.1,9618.647123028253,0.00041369341628981547,2000.4058883894722,7.449790652319171,32363242.611971583
4,200,0.05,10594.646587425632,0.0006017290465974526,1024.4064239920936,7.449790652319171,32363242.611971583
4,200,0.02,11203.475500954963,0.0007839707622825733,415.5775104627628,7.449790652319171,32363242.611971583
4,200,0.01,11410.294590505222,0.0008495779831466024,208.75842091250342,7.449790652319171,32363242.611971583
4,200,0.005,11514.43133682601,0.0008829952648412197,104.62167459171542,7.449790652319171,32363242.611971583
2,300,1.0,121.81052154956147,0.00911213339053684,11497.242489868164,10.022591388270389,13344976.422051731
2,300,0.8,452.97279161142677,0.007135577017400092,11166.0802198063,10.022591388270389,13344976.422051731
2,300,0.5,2788.7474825607756,0.00417626807678217,8830.30552885695,10.022591388270389,13344976.422051731
2,300,0.3,5577.778233959065,0.0022185999790736923,6041.2747774586605,10.022591388270389,13344976.422051731
2,300,0.2,7343.342430890461,0.0012657134353882464,4275.710580527264,10.022591388270389,13344976.422051731
2,300,0.1,9356.935266428754,0.0004913781060254618,2262.117744988971,10.022591388270389,13344976.422051731
2,300,0.05,10456.89753333954,0.0005440637419344476,1162.1554780781862,10.022591388270389,13344976.422051731
2,300,0.02,11146.723670183554,0.0007509237916937405,472.3293412341718,10.022591388270389,13344976.422051731
