outer,carry_message_eta,carry_message_lam,carry_coarse_state,settle_sweeps,coarse_settle_sweeps,freeze_basis_from_outer0,nonlinear_objective,mean_pose_log_error,rms_translation_error,rms_angle_error,xy_rel_to_direct,inner_cycles,pre_sweeps,e_hat_norm,e_star_norm,e_rel_to_exact,linear_residual_exact,linear_residual_approx,next_pose_gap_to_exact,next_objective_gap_to_exact,num_groups,coarse_dim
0,True,True,False,0,0,False,812.7548653692855,28.864061942407687,35.21772553446426,0.4957170624640948,0.13766160246633355,,,,,,,,,,,
1,True,True,False,0,0,False,98.2961574503025,21.490163812268214,24.245838453954327,0.20228253535415147,0.030133091831614424,2,10,134.51849552890738,160.9546229766807,0.19043007430678516,1.520187911534838e-12,178.09818374079583,2.9999656047549648,12.597652747487388,3,12
2,True,True,False,0,0,False,46.53411694741501,21.722180237743352,24.466847173156804,0.17194492268438424,0.014471838479007525,2,10,23.48647643776743,34.29867220817027,0.4691741878854179,5.99791248473011e-13,117.85089425654735,1.7952475495118758,19.636879048536365,3,12
3,True,True,False,0,0,False,28.587475733017254,22.903475395060717,25.576668969368054,0.15526593674380793,0.017030171907975022,2,10,14.270612502604592,16.572557543704942,1.176657963198573,1.1327695179844863e-13,40.86957612546229,2.2634994659113596,1.8127340990086402,3,12
4,True,True,False,0,0,False,27.522457854587834,24.166002899296398,26.757052850253,0.14486180077619004,0.023929830245893367,2,10,12.308642290538133,19.56651940971992,1.410757746440914,1.4010170625620186e-13,21.71547103143102,3.244788376614838,0.7520912358855654,3,12
5,True,True,False,0,0,False,27.282066987830373,25.303559825892854,27.927865179384465,0.14271672582936928,0.030919357096481557,2,10,10.329362032076853,27.571201427726194,1.2944653939523088,2.213608358921256e-13,10.227731380246647,4.196929658641372,0.5107337599236104,3,12
6,True,True,False,0,0,False,27.414668629970535,26.404186490705765,29.117274852288723,0.1479968834264145,0.03763355100545991,2,10,10.020690181893372,35.63747600298495,1.2190362272966273,3.6381191346336374e-13,15.263309928673358,5.120008708387991,0.6415098654616145,3,12
7,True,True,False,0,0,False,27.142429869212677,27.384727848957937,30.270596877995775,0.15977387812777955,0.04392619664614642,2,10,10.121807981485375,43.421309108278095,1.168391829053707,3.570475100681733e-13,4.233858346933953,5.956736130625561,0.3681625167002984,3,12
8,True,True,False,0,0,False,27.147460225602458,28.31667186033259,31.413545540483224,0.17611200131643323,0.050501731807210876,2,10,10.622279073933377,50.718271410537525,1.1504190554968268,3.514035777310255e-13,9.536883820555937,6.774057299916685,0.37365038383096305,3,12
9,True,True,False,0,0,False,27.031466961064087,29.18912541910356,32.52651710210023,0.19456864665563378,0.057399426830044474,2,10,10.740649800938929,58.27588217838987,1.1370698752230324,3.1728391772868946e-13,1.6575064374905764,7.559171405016525,0.2583177633636815,3,12
10,True,True,False,0,0,False,27.092535745537422,30.04046128371992,33.60596655631877,0.2125643474728961,0.06455321203184815,2,10,10.219001268032159,66.08708732223656,1.1251676123618888,4.581331116620591e-13,3.941504653490408,8.344761497562164,0.31927871823038245,3,12
