base_label,c,k,cycle,cycle_start_linear_residual,pre_linear_residual,post_linear_residual,pre_residual_ratio_vs_cycle_start,post_residual_ratio_vs_cycle_start,cycle_start_objective,pre_objective,post_objective,delta_z_norm,delta_e_norm,e_post_norm,e_rel_to_exact
intel_g2o_adaptive_rule_bridge_v3_message_conditioned_information_outer20_trajectories_pose_history_completed_outer15,2,100,1,32814108.191322297,46762624987.02368,46762633110.46484,1425.076821054368,1425.077068613775,214.62164512027536,223885767.66489416,208722745.10040048,227.00575055139015,227.00575055139015,433.41075246450214,63.41639137478516
intel_g2o_adaptive_rule_bridge_v3_message_conditioned_information_outer20_trajectories_pose_history_completed_outer15,2,100,2,46762633110.46484,28181872761.479984,28181877425.383766,0.6026579533044572,0.6026580530401536,208722745.10040048,184011047.87795803,183305019.8454076,111.97130061819928,111.9713006181993,215.58293525784765,32.16947980776173
intel_g2o_adaptive_rule_bridge_v3_message_conditioned_information_outer20_trajectories_pose_history_completed_outer15,2,200,1,32814108.191322297,43751300215.05211,43751305569.503944,1333.3076114688424,1333.307774644139,214.62164512027536,45589378.29924406,51828784.676322594,233.64441415926672,233.6444141592667,416.62725853292676,61.11414549966131
intel_g2o_adaptive_rule_bridge_v3_message_conditioned_information_outer20_trajectories_pose_history_completed_outer15,2,200,2,43751305569.503944,11878963816.480614,11878965548.548965,0.2715110706264416,0.271511110215394,51828784.676322594,35214913.381051816,36747640.27221201,72.37902405132661,72.37902405132661,276.57472126661116,41.164581632992885
intel_g2o_adaptive_rule_bridge_v3_message_conditioned_information_outer20_trajectories_pose_history_completed_outer15,2,300,1,32814108.191322297,28738401705.068882,28738404831.613052,875.794080323925,875.7941756044107,214.62164512027536,4285262.917484548,5010083.295629155,286.20849201939234,286.2084920193923,362.5675674580413,53.36452746131835
intel_g2o_adaptive_rule_bridge_v3_message_conditioned_information_outer20_trajectories_pose_history_completed_outer15,2,300,2,28738404831.613052,5751030364.940229,5751031063.631274,0.20011654782641014,0.20011657213851267,5010083.295629155,16575770.899455931,17366944.105915777,175.78639352531602,175.78639352531602,290.55220489747194,43.209814428694116
intel_g2o_adaptive_rule_bridge_v3_message_conditioned_information_outer20_trajectories_pose_history_completed_outer15,3,50,1,32814108.191322297,42214313721.16701,42214288890.46858,1286.4684139833062,1286.4676572752987,214.62164512027536,17733500106.7021,7121488838.134207,359.087131215427,359.0871312154271,428.844555066103,62.590219912829454
intel_g2o_adaptive_rule_bridge_v3_message_conditioned_information_outer20_trajectories_pose_history_completed_outer15,3,50,2,42214288890.46858,42073680710.46476,42073691229.01357,0.9966691804197235,0.9966694295900658,7121488838.134207,361133805.4127624,358872409.57408893,228.4505949618004,228.45059496180048,230.43535091609638,33.64953771941773
intel_g2o_adaptive_rule_bridge_v3_message_conditioned_information_outer20_trajectories_pose_history_completed_outer15,3,50,3,42073691229.01357,32627566063.011547,32627569546.015583,0.7754861793659769,0.7754862621493965,358872409.57408893,104417115.75259404,111078938.96033637,165.57868868996633,165.57868868996636,118.1660660297496,17.534180143339768
intel_g2o_adaptive_rule_bridge_v3_message_conditioned_information_outer20_trajectories_pose_history_completed_outer15,3,100,1,32814108.191322297,46762624987.02368,46762633110.46484,1425.076821054368,1425.077068613775,214.62164512027536,223885767.66489416,208722745.10040048,227.00575055139015,227.00575055139015,433.41075246450214,63.41639137478516
intel_g2o_adaptive_rule_bridge_v3_message_conditioned_information_outer20_trajectories_pose_history_completed_outer15,3,100,2,46762633110.46484,28181872761.479984,28181877425.383766,0.6026579533044572,0.6026580530401536,208722745.10040048,184011047.87795803,183305019.8454076,111.97130061819928,111.9713006181993,215.58293525784765,32.16947980776173
intel_g2o_adaptive_rule_bridge_v3_message_conditioned_information_outer20_trajectories_pose_history_completed_outer15,3,100,3,28181877425.383766,13350592111.512945,13350593988.429298,0.47372969195756637,0.47372975855768407,183305019.8454076,15004805.549922846,18272366.051349774,121.36481817324868,121.36481817324871,185.11188241517394,27.8545089393635
intel_g2o_adaptive_rule_bridge_v3_message_conditioned_information_outer20_trajectories_pose_history_completed_outer15,3,200,1,32814108.191322297,43751300215.05211,43751305569.503944,1333.3076114688424,1333.307774644139,214.62164512027536,45589378.29924406,51828784.676322594,233.64441415926672,233.6444141592667,416.62725853292676,61.11414549966131
intel_g2o_adaptive_rule_bridge_v3_message_conditioned_information_outer20_trajectories_pose_history_completed_outer15,3,200,2,43751305569.503944,11878963816.480614,11878965548.548965,0.2715110706264416,0.271511110215394,51828784.676322594,35214913.381051816,36747640.27221201,72.37902405132661,72.37902405132661,276.57472126661116,41.164581632992885
intel_g2o_adaptive_rule_bridge_v3_message_conditioned_information_outer20_trajectories_pose_history_completed_outer15,3,200,3,11878965548.548965,1547309963.2603672,1547310224.3117876,0.13025628847365195,0.1302563104495908,36747640.27221201,140354.86547876569,48745.78676663038,119.94659927365934,119.94659927365934,238.48959036205207,35.64412642189038
intel_g2o_adaptive_rule_bridge_v3_message_conditioned_information_outer20_trajectories_pose_history_completed_outer15,4,100,1,32814108.191322297,46762624987.02368,46762633110.46484,1425.076821054368,1425.077068613775,214.62164512027536,223885767.66489416,208722745.10040048,227.00575055139015,227.00575055139015,433.41075246450214,63.41639137478516
intel_g2o_adaptive_rule_bridge_v3_message_conditioned_information_outer20_trajectories_pose_history_completed_outer15,4,100,2,46762633110.46484,28181872761.479984,28181877425.383766,0.6026579533044572,0.6026580530401536,208722745.10040048,184011047.87795803,183305019.8454076,111.97130061819928,111.9713006181993,215.58293525784765,32.16947980776173
