outer,nonlinear_objective,inner_cycles,pre_sweeps,basis_source,e_hat_norm,e_star_norm,e_rel_to_exact,linear_residual_exact,linear_residual_approx,next_pose_gap_to_exact,next_objective_gap_to_exact,num_groups,coarse_dim,exact_next_objective
0,3350168.410825497,,,,,,,,,,,,,
1,6668936365.000956,10,50,joint_information,451.09088784599913,699.3488142897845,0.518332136129654,0.001431575703154367,316665011.0770295,7.649018053877242,5766783042.947083,61,244,902153322.0538718
2,1953082.8177251378,10,50,joint_information,87.64315263122388,297.5300800453162,0.8409377463915224,0.0012848921834844275,882247753.4278932,6.713587054965184,-1021187402.9357834,61,244,1023140485.7535086
3,137170.26912179682,10,50,joint_information,11.140722631141701,250.71983749721056,0.9750916144531032,0.0008146986504054954,1066424950.2016008,6.636897129951693,-367862.4113814701,61,244,505032.6805032669
4,76888.45530224401,10,50,joint_information,17.35250158138621,245.2444403793142,0.9449168591299025,0.0018300720962014323,890703006.864252,6.2384301946286325,-2946757.028097157,61,244,3023645.483399401
5,63375.88976158145,10,50,joint_information,12.744234852999776,229.28705193514773,0.95796003394301,0.0029861210390158856,817731752.7877253,5.92514625557867,-2173871.9328572885,61,244,2237247.82261887
6,64251.704289591995,10,50,joint_information,9.90614522438957,218.2172052635525,0.9609363340559318,0.002019717407225547,831103881.1661303,5.681629998660482,-1823160.9989797943,61,244,1887412.7032693864
7,43163.58166693852,10,50,joint_information,10.398931803808843,209.6540706307294,0.9712677839830053,0.0003331508003962281,664872238.2704717,5.469051602895472,-1665049.575399711,61,244,1708213.1570666495
8,42017.194769806854,10,50,joint_information,10.543998910107863,201.75750034817486,0.9697469677188354,0.0005930625176865364,672902185.3791028,5.242260044580872,-1262062.8305547517,61,244,1304080.0253245586
9,25732.524042141515,10,50,joint_information,16.647889699283912,194.92061558625053,0.9565558832079686,0.0005963862929454297,504886074.5314662,4.934744451096283,-1131229.6864482516,61,244,1156962.2104903932
10,27402.408891795978,10,50,joint_information,24.37920845503884,184.5934946329103,0.9473151154057459,0.0012180203915872604,494248527.30011994,4.546138447298339,-804972.3998334865,61,244,832374.8087252825
11,16412.923219548968,10,50,joint_information,8.065805256170043,172.29594651766553,0.9717167751975668,0.0007881362413354547,412458359.52906364,4.380002757145825,-394231.38760155335,61,244,410644.3108211023
12,9165.269876508757,10,50,joint_information,8.573077412157234,167.34716402294947,1.0148889192951256,0.00036766016678565876,312820948.7463129,4.405196077701656,-341431.5106160782,61,244,350596.78049258696
13,8840.894032504479,10,50,joint_information,7.625742533169293,169.06328342303615,0.9816575646975394,0.0003830167224307963,298609272.5338062,4.286855933577166,-283123.41674142575,61,244,291964.3107739302
14,10139.336512617629,10,50,joint_information,4.644830541718025,165.44152977136326,0.9757998791586238,0.0006048077848334494,328890409.9073071,4.1817778350888055,-208111.2856212362,61,244,218250.62213385382
15,4080.6178972056823,10,50,joint_information,5.244925523678107,161.6601226777406,0.9927319762264399,0.00023015743823792507,204584564.07182786,4.127374691099523,-196515.48522807588,61,244,200596.10312528157
16,4891.22747963716,10,50,joint_information,7.311392583811552,160.00954232257249,0.9860606161088271,0.00040674749236006667,223781436.26542133,4.037660496675647,-156478.60296650723,61,244,161369.8304461444
17,3393.863145260491,10,50,joint_information,5.997435585182707,157.3925678097204,0.9997658781882783,6.71091579713268e-05,184630310.024024,4.014482905396852,-120597.84370252474,61,244,123991.70684778523
18,5470.62639660928,10,50,joint_information,15.483961608260813,156.830066819856,0.9112102489359053,0.00010988507197017558,216838929.1466206,3.641226466582852,-85718.37407516371,61,244,91189.00047177299
19,4404.037773098206,10,50,joint_information,5.303982011550503,143.03708337674914,1.0006889637250374,0.00020750604821819207,211253739.92656752,3.6677240026727773,-52962.746320830614,61,244,57366.78409392882
20,3174.9650943433307,10,50,joint_information,11.707438026229253,142.98422871241905,1.0194821517132957,6.234038982820806e-05,183678046.03849527,3.6962014794559352,-64268.656368195916,61,244,67443.62146253925
