inner_cycle,e_rel_to_exact,pre_linear_residual_norm,post_linear_residual_norm,pre_objective,post_objective,objective_gap_to_exact_after_cycle,e_norm,pre_e_norm,delta_z_norm,delta_e_raw_norm,delta_e_norm,coarse_damping,outer,inner_cycles,pre_sweeps,basis_source
1,0.6818752984682191,41432138697.646614,41432142618.612366,6884077287.544553,2888435818.2979717,1986282496.2441,463.9033438582492,435.81115241351586,132.46942095957817,132.4694209595782,132.4694209595782,1.0,1,2,100,message_conditioned_information
2,0.6108125761251499,4009240840.102026,4009241685.8645372,17643077.599540565,981232273.1047337,79078951.05086195,480.99185034218,554.078235436409,190.62611916694698,190.626119166947,190.626119166947,1.0,1,2,100,message_conditioned_information
1,0.7228405254196982,1616395655.1144822,1616395559.421006,89892651.30095102,63145076.16238826,-1329850374.4322658,161.33007507360242,139.23227290637192,71.29874584363759,71.29874584363759,71.29874584363759,1.0,2,2,100,message_conditioned_information
2,0.5789764155739757,1121185488.486729,1121185571.227092,86441004.47273812,129530001.52188867,-1263465449.0727654,199.08794269373183,229.22111999588907,48.2531333092102,48.2531333092102,48.2531333092102,1.0,2,2,100,message_conditioned_information
1,1.0605394406772164,4825649628.277668,4825650342.45728,2037156.799047638,2117582.190473002,-3839134.7371461014,33.083845291642504,49.56906145995941,18.783404927684675,18.783404927684675,18.783404927684675,1.0,3,2,100,message_conditioned_information
2,0.9763413584205914,2368185765.9885306,2368186138.4149146,391229.8025487975,517315.81603946764,-5439401.111579636,13.606083163155674,13.802043703732512,5.515079253632292,5.515079253632292,5.515079253632292,1.0,3,2,100,message_conditioned_information
1,0.9560456454854654,389444784.8677841,389445111.626246,13738.504303429007,11006.912416608146,-186652.85267411673,9.65596132357713,6.618375673183054,6.355955843178021,6.355955843178021,6.355955843178021,1.0,4,2,100,message_conditioned_information
2,0.8769478203464157,274964949.3729496,274964983.2259827,3790.7024663828233,3011.7767155044144,-194647.98837522048,22.219132966651664,17.5771128955162,6.006243693138447,6.006243693138445,6.006243693138445,1.0,4,2,100,message_conditioned_information
1,0.9392396298307909,442796884.6755984,442796854.0019028,18056.5785989628,17982.908623291085,-4331.888403555731,9.189868629369998,3.2041596916710517,8.773967760725371,8.773967760725373,8.773967760725373,1.0,5,2,100,message_conditioned_information
2,0.8504073062891111,137831151.59637773,137831182.92837065,1921.7799274151869,2030.403433760469,-20284.393593086348,22.28139900565776,21.389053361577304,4.159554736917577,4.159554736917577,4.159554736917577,1.0,5,2,100,message_conditioned_information
1,0.9592757615441957,295985531.83920884,295985686.5519146,8397.360051086747,8082.434396816745,-5806.277767605456,5.343403257987655,2.598450322249395,6.367720596889163,6.367720596889163,6.367720596889163,1.0,6,2,100,message_conditioned_information
2,0.8601350380945746,222849263.0819954,222849302.84026814,4821.614691023185,4934.336164513685,-8954.375999908516,17.72779080800103,14.126166406160783,3.8421785222040206,3.8421785222040197,3.8421785222040197,1.0,6,2,100,message_conditioned_information
1,0.9692530356428102,1362235968.62552,1362235699.3204036,174122.74768061013,174287.12346076217,166036.13612099498,3.4960335779209246,3.217547935622221,3.9697778126777945,3.969777812677795,3.969777812677795,1.0,7,2,100,message_conditioned_information
2,0.8679025489308854,60037979.40704134,60037993.89423333,549.4824940418335,584.4568909346754,-7666.530448832517,14.412805924829803,8.129401659900273,7.322213929818513,7.322213929818513,7.322213929818513,1.0,7,2,100,message_conditioned_information
1,0.9239915883127502,547384505.0780333,547384595.8803588,27950.227573760963,27468.560920892207,24189.333423610522,7.2785414544401705,2.3455981397152383,7.113348449563193,7.113348449563191,7.113348449563191,1.0,8,2,100,message_conditioned_information
2,0.8148060139869182,200328599.36673817,200328638.02298024,3644.8692176653317,3799.213392713726,519.9858954320412,17.489770938642078,17.143275217637072,3.5257579162338466,3.5257579162338466,3.5257579162338466,1.0,8,2,100,message_conditioned_information
1,0.9150178818700828,79015132.33706523,79015231.0983249,924.6212327813275,887.5594745575663,-1309.2169553370168,6.656997044728868,2.3629950028596833,5.518790885675047,5.518790885675048,5.518790885675048,1.0,9,2,100,message_conditioned_information
