state_label,start_objective,start_x_rel,c,k,full_step_objective,full_step_x_rel,follow_exact_objective,follow_exact_x_rel,candidate_e_rel_to_exact,candidate_linear_residual
formal_v4_completed_outer20,108.46591486473073,0.005777094648151568,5,50,753.4166549133437,0.004080902934455433,107.9202501805323,1.5744578862997002e-06,0.7065147574456491,80973726.70819315
formal_v4_completed_outer20,108.46591486473073,0.005777094648151568,5,200,108.4593850056221,0.0036046274857293114,107.95666659540983,1.9686601219397144e-06,0.624332031570749,1580527.2090340615
formal_v4_completed_outer20,108.46591486473073,0.005777094648151568,4,200,109.20749378696809,0.003905836125015904,107.92676877370792,1.6841925060452943e-06,0.6759047032051845,3523338.169486522
formal_v4_completed_outer20,108.46591486473073,0.005777094648151568,2,300,107.99291674375282,0.004954371645435848,107.92439975101429,1.575242745712393e-06,0.8574986495855623,658744.2053912858
formal_v4_completed_outer25,108.00607804663065,0.0043628693921126775,5,50,118.59676011374297,0.004777673515936479,107.92326131620874,3.836929131073668e-06,1.095041722953594,9334326.052549317
formal_v4_completed_outer25,108.00607804663065,0.0043628693921126775,5,200,190.80008367236405,0.005863164924686445,107.99599559666052,4.176497878462666e-06,1.344446000791787,29957556.0043788
formal_v4_completed_outer25,108.00607804663065,0.0043628693921126775,4,200,143.02063176638134,0.0069346013175933694,107.9241390073351,4.211043335003242e-06,1.58875072151534,19679914.783988483
formal_v4_completed_outer25,108.00607804663065,0.0043628693921126775,2,300,146.67979446183566,0.008817083320021568,107.92058626224988,3.8002253458366907e-06,2.0203618029021273,20802568.322384547
formal_v4_completed_outer30,107.96751213439987,0.004417026140248869,5,50,22815.782957086034,0.006382145327115221,107.95596331881323,1.5050707298569634e-05,1.4453999890263758,491464987.6155563
formal_v4_completed_outer30,107.96751213439987,0.004417026140248869,5,200,118.97777458256242,0.003057417220695355,108.30850528884373,1.7653330338405798e-06,0.6925345518637703,11278970.3618871
formal_v4_completed_outer30,107.96751213439987,0.004417026140248869,4,200,196.65870495390516,0.001388076797068192,107.93960484148141,7.387932914417412e-07,0.3138849304928168,32586028.54789096
formal_v4_completed_outer30,107.96751213439987,0.004417026140248869,2,300,169.4019765463957,0.0031770903829052236,107.95095265821658,1.8065474345939561e-06,0.7190808765685862,25351033.961094845
