outer,nonlinear_objective,inner_cycles,pre_sweeps,basis_source,e_hat_norm,e_star_norm,e_rel_to_exact,linear_residual_exact,linear_residual_approx,next_pose_gap_to_exact,next_objective_gap_to_exact,num_groups,coarse_dim,exact_next_objective
0,3350168.410825497,,,,,,,,,,,,,
1,6756598516.095588,5,50,joint_information,445.8792824230522,699.3488142897845,0.5319491371688586,0.001431575703154367,4462972849.255477,7.778663178366981,5854445194.041716,61,244,902153322.0538718
2,202772423.47204402,5,50,joint_information,124.66410908710883,304.95479893994235,0.867042684354772,0.0010223531983437264,11213240749.694265,6.940793869366036,-730279566.1909192,61,244,933051989.6629632
3,126392.37010133988,5,50,joint_information,34.85115266640128,244.70159502322431,0.9424187206572162,0.002108412418457591,2946872206.781607,6.529429979786016,-710215.8975343854,61,244,836608.2676357253
4,41658.97508149749,5,50,joint_information,28.39628070125386,238.83967825114047,0.9774967099194799,0.001562615396280878,614436557.3661256,6.499604017140954,-2139678.961604228,61,244,2181337.936685725
5,34869.09163754419,5,50,joint_information,9.66413416153111,240.03882817940465,0.9713985419457991,0.002189400232056093,579428972.1079057,6.421016607724918,-3193777.932468228,61,244,3228647.0241057724
6,60108.65427185666,5,50,joint_information,9.124932117397815,233.95103263022378,0.9736680322992208,0.001705694426767011,799036853.69667,6.253243739720603,-2085031.8785838329,61,244,2145140.5328556895
7,18053.34618353141,5,50,joint_information,10.775090087916443,227.32342864258553,0.9694643045758844,0.0007729827494451046,439904321.0127913,6.03151759902045,-1901915.3639704469,61,244,1919968.7101539783
8,57617.395335431,5,50,joint_information,6.941153275441795,219.23701087383895,0.9764028202914365,0.001144480897459136,780722455.0250096,5.873209725279246,-1677673.2455191286,61,244,1735290.6408545596
9,54185.65395973122,5,50,joint_information,6.651140642303209,214.18132000535394,0.9774561607040249,0.001667874138214846,759472286.3306841,5.732659879918577,-1411114.1745004044,61,244,1465299.8284601355
10,294089.46059574175,5,50,joint_information,30.093525527169138,209.1007783573257,0.983546705146717,0.0008616672949310325,1917661594.5199535,5.7353260597851365,-1062544.3468551286,61,244,1356633.8074508703
11,211398.66917181763,5,50,joint_information,10.619747851315205,210.5340771912601,0.9782550357275162,0.002940673238014564,1474395412.3309987,5.62629030898544,-2965104.451937687,61,244,3176503.1211095047
12,116997.17473485615,5,50,joint_information,7.383526456257861,202.45071857114954,0.9790543709889519,0.003062613640072289,1108499213.3285892,5.428543371028715,-1207450.172541265,61,244,1324447.3472761211
13,204029.70386081212,5,50,joint_information,8.141160568307786,196.57185098458413,0.9889444832458103,0.0013827544415306917,1487335793.701277,5.3693382131214005,-750521.4272642806,61,244,954551.1311250927
14,63073.85048693289,5,50,joint_information,3.9086837484911063,194.74413770951656,0.9890576190168224,0.0009034535301587954,831723793.8132846,5.303436149347312,-421987.0765133919,61,244,485060.9270003248
15,9750950.378651291,5,50,joint_information,119.3301714264286,192.06843527829506,1.3323827512505737,0.0016986264289558567,11051817586.058203,7.2902389019186185,9004748.107063996,61,244,746202.2715872955
16,1373836.8432446034,5,50,joint_information,33.70828433540297,274.2207062254112,1.0008934440330086,0.002732274937043756,3803187240.095998,7.412253868457309,949101.818722008,61,244,424735.0245225954
17,551871.1878536149,5,50,joint_information,10.26241526357011,262.22869795520194,1.0058293239228149,0.002966329730432279,2413278871.565299,7.2376854500423,-272200.18076661543,61,244,824071.3686202304
18,142103.20631693208,5,50,joint_information,23.857313033562495,260.3119315808287,0.9189025572240517,0.0014126245922440085,1164240739.2070518,6.632320771226824,-1689108.8892361075,61,244,1831212.0955530396
19,111690.24550120806,5,50,joint_information,10.085684700072063,238.22372760065622,0.9650646515879618,0.0034165417146071312,1101106354.5388417,6.361956854454916,-859907.327834683,61,244,971597.573335891
20,132081.41280023978,5,50,joint_information,11.836250162153718,228.5201009059094,0.957541426144217,0.0012330114481656055,1155155688.2170222,6.0703461873163045,-994391.8244860828,61,244,1126473.2372863225
