inner_cycle,e_rel_to_exact,pre_linear_residual_norm,post_linear_residual_norm,pre_objective,post_objective,objective_gap_to_exact_after_cycle,e_norm,pre_e_norm,delta_z_norm,delta_e_raw_norm,delta_e_norm,coarse_damping,outer,inner_cycles,pre_sweeps,basis_source
1,0.6566090643926272,41432138697.646614,41432141818.587746,6884077287.544553,3545332742.998819,2643179420.9449472,455.34999557438533,435.81115241351586,132.46942095957817,132.4694209595782,105.97553676766258,0.8,1,2,100,message_conditioned_information
2,0.6630042087228118,4874204713.161685,4874205454.119488,326306053.1242013,964476406.9017773,62323084.84790552,483.7298343896094,518.659658006419,117.37607789113767,117.37607789113765,93.90086231291014,0.8,1,2,100,message_conditioned_information
1,0.34838315091463956,24697368884.192856,24697370269.13888,164600024.9008737,738156035.6488314,-1215506241.8463845,327.1478494616568,282.11258795095597,121.47260817300732,121.47260817300733,97.17808653840588,0.8,2,2,100,message_conditioned_information
2,0.10558665844925355,2557659843.089532,2557659770.0847244,5155714902.900213,2112519381.1172597,158857103.62204385,364.8674647900953,412.3819663409274,95.98768322654963,95.98768322654963,76.79014658123972,0.8,2,2,100,message_conditioned_information
1,0.531619230966718,601065763.1696655,601066005.1759626,116442.36287315807,612015.7903991045,225341.48731875874,50.853743217743926,40.506402886294275,22.016608010404397,22.016608010404397,17.61328640832352,0.8,3,2,100,message_conditioned_information
2,0.5365320167343797,402381855.6622804,402381940.46311414,1622485.3546169917,806821.2460834116,420146.9430030659,59.023114082396184,72.35916112749301,23.320104267950757,23.320104267950754,18.656083414360605,0.8,3,2,100,message_conditioned_information
1,1.1033677551456025,595368017.3583888,595368127.4210976,83567.81724925613,75852.92687423603,63879.35244384807,6.558287995987889,8.770328791937699,6.8159172173948,6.8159172173948,5.45273377391584,0.8,4,2,100,message_conditioned_information
2,1.076842306958502,99191378.33955766,99191389.36958085,10418.533240445939,9605.527900704883,-2368.046529683079,5.229657020936006,9.615492753114477,7.612833687553587,7.612833687553587,6.09026695004287,0.8,4,2,100,message_conditioned_information
1,0.8938734200331622,1560214800.871277,1560215066.0971797,225919.37546618294,225779.57646401535,225433.2492659882,4.019271212325412,7.286751872089747,10.45610124090097,10.45610124090097,8.364880992720776,0.8,5,2,100,message_conditioned_information
2,0.7019222395424336,433531453.7809697,433531510.4066871,17218.397117625955,17671.445507759887,17325.11830973274,10.282618934908276,14.403982842765148,6.139686076265824,6.139686076265824,4.91174886101266,0.8,5,2,100,message_conditioned_information
1,0.8057130499164609,1808447667.8976686,1808447749.5307202,319500.590424947,318555.7423553917,318382.20614887663,5.980138168994876,6.31840804957879,2.1141591900004912,2.1141591900004912,1.6913273520003929,0.8,6,2,100,message_conditioned_information
2,0.7252368508197925,18667306.249566752,18667292.17284105,139.68559476368387,135.60617197227734,-37.93003454274802,6.5146548488444695,6.100867737338826,0.6458987458758713,0.6458987458758714,0.5167189967006971,0.8,6,2,100,message_conditioned_information
1,1.192538863895861,412980383.3978257,412980344.4201957,15491.706875191636,15622.32532854762,15432.682646749192,3.6252127691202345,3.883198714389768,1.6830444189387235,1.6830444189387237,1.346435535150979,0.8,7,2,100,message_conditioned_information
2,1.1316687859638859,111578503.64529316,111578514.51237367,1294.4426212999365,1273.7656531572202,1084.122971358792,2.365531044457658,4.112605775244219,2.3724218101074945,2.372421810107494,1.8979374480859956,0.8,7,2,100,message_conditioned_information
1,0.7955190185455969,1188361261.528269,1188360328.8654478,133222.13117400545,136146.6042160847,136032.26152425408,5.5170586334764256,6.717433433216155,6.979117381243482,6.979117381243482,5.583293904994786,0.8,8,2,100,message_conditioned_information
2,0.6183768470199135,185105107.24349755,185105134.97741348,3216.053292756848,3270.0649381163007,3155.722246285665,7.388358025535995,10.946875498371126,5.27263778521512,5.27263778521512,4.218110228172096,0.8,8,2,100,message_conditioned_information
1,0.6773107776809545,445221671.3291056,445221677.5667151,18363.91103422005,18250.803173121498,18140.230348417346,4.798783365675884,5.221569797930531,6.1387613567582155,6.138761356758215,4.911009085406572,0.8,9,2,100,message_conditioned_information
2,0.4656939096714701,33808447.379297785,33808436.92074202,240.4563178554393,233.72152883533371,123.14870413118254,6.77275885923653,10.055832695916697,5.065562200401163,5.065562200401163,4.052449760320931,0.8,9,2,100,message_conditioned_information
1,1.0699565193894955,255600584.47166365,255600498.1256243,6414.475134276209,6291.598151524699,6180.864552092845,1.9189675597353606,1.875690577532177,2.1411170438963163,2.1411170438963163,1.7128936351170534,0.8,10,2,100,message_conditioned_information
2,1.040785548103496,58495002.40072272,58495012.86024307,438.0855072656817,431.49148827572355,320.75788884387003,2.475043269334276,3.6374256473187034,1.6067657898046466,1.6067657898046463,1.2854126318437171,0.8,10,2,100,message_conditioned_information
1,0.8683190780897394,28344219212.125275,28344212042.647854,83130782.42481823,83291101.81368281,83290993.72691634,4.304266651804907,4.7264855146233735,3.827735740700609,3.827735740700609,3.062188592560487,0.8,11,2,100,message_conditioned_information
2,0.4115341966604581,122484516.05645616,122484526.26849288,1523.2942340246375,1536.7610040242323,1428.6742375627587,3.6049176319473,5.854899616737934,3.5045395731140534,3.504539573114053,2.8036316584912435,0.8,11,2,100,message_conditioned_information
1,1.5478318557958342,561939709.4482136,561939989.0290974,30694.494650794433,30396.27960833721,30288.291012702677,3.9924943355020797,4.593052662376398,2.350425498772613,2.350425498772613,1.8803403990180902,0.8,12,2,100,message_conditioned_information
