outer,nonlinear_objective,xy_rel_to_direct
0,3350168.410825497,1.2312708232912002
1,287803223.498273,0.47907225565675576
2,42986919.182428464,0.19848856674780613
3,689163.3472682785,0.10989479007352371
4,3881.368055222334,0.054267520718998895
5,993.2402558999738,0.028788606348662513
6,45179611.22799534,0.18224531177021702
7,660752.6489973029,0.16739906258703197
8,47642.43752276659,0.1255967060467775
9,115.63266794843574,0.06771834998429137
10,994.7160699360128,0.033782095771653156
11,676.6739324729089,0.018498824204737994
12,3173.947995313253,0.0059982884531490695
13,1097.6089851411805,0.0025213204628257687
14,932.8690695468396,0.000801284927019109
15,20293.357431235145,0.029937151912374636
16,19397.25550131308,0.019826569913628824
17,190228.2407711188,0.04453722802549785
18,56412.33143594062,0.035683693625258237
19,3428.626416579791,0.024977722496048977
20,3411.8632445712124,0.01739938483657486
