base_label,start_objective,start_x_rel_to_direct,exact_after_objective,exact_after_x_rel_to_direct,c,k,ck_cost,beta,post_objective,objective_improvement,x_rel_to_direct,x_rel_improvement,linear_residual_approx,e_rel_to_exact,raw_full_step_objective,last_cycle_pre_residual_ratio,last_cycle_post_residual_ratio
intel_g2o_adaptive_rule_bridge_v3_message_conditioned_information_outer20_trajectories_pose_history_completed_outer17,148.2410176631039,0.013535663721216151,107.98996690976533,4.435640420207762e-06,2,100,200,1.0,498.74859041662944,-350.50757275352555,0.016724825783649117,-0.0031891620624329656,63876174.273697115,1.235577402259882,498.74859041662944,0.10106573723620926,0.10106574032010124
intel_g2o_adaptive_rule_bridge_v3_message_conditioned_information_outer20_trajectories_pose_history_completed_outer17,148.2410176631039,0.013535663721216151,107.98996690976533,4.435640420207762e-06,2,100,200,0.8,392.1252574366199,-243.88423977351601,0.016073734661353457,-0.0025380709401373065,63876174.273697115,1.235577402259882,498.74859041662944,0.10106573723620926,0.10106574032010124
intel_g2o_adaptive_rule_bridge_v3_message_conditioned_information_outer20_trajectories_pose_history_completed_outer17,148.2410176631039,0.013535663721216151,107.98996690976533,4.435640420207762e-06,2,100,200,0.5,266.9500963747934,-118.70907871168953,0.01510821087205995,-0.0015725471508437998,63876174.273697115,1.235577402259882,498.74859041662944,0.10106573723620926,0.10106574032010124
intel_g2o_adaptive_rule_bridge_v3_message_conditioned_information_outer20_trajectories_pose_history_completed_outer17,148.2410176631039,0.013535663721216151,107.98996690976533,4.435640420207762e-06,2,100,200,0.3,206.1857115841231,-57.94469392101922,0.014473090387173258,-0.000937426665957107,63876174.273697115,1.235577402259882,498.74859041662944,0.10106573723620926,0.10106574032010124
intel_g2o_adaptive_rule_bridge_v3_message_conditioned_information_outer20_trajectories_pose_history_completed_outer17,148.2410176631039,0.013535663721216151,107.98996690976533,4.435640420207762e-06,2,100,200,0.2,182.48496036037682,-34.24394269727293,0.014158445405357628,-0.0006227816841414772,63876174.273697115,1.235577402259882,498.74859041662944,0.10106573723620926,0.10106574032010124
intel_g2o_adaptive_rule_bridge_v3_message_conditioned_information_outer20_trajectories_pose_history_completed_outer17,148.2410176631039,0.013535663721216151,107.98996690976533,4.435640420207762e-06,2,100,200,0.1,163.18369045988942,-14.94267279678553,0.013845920885917134,-0.0003102571647009833,63876174.273697115,1.235577402259882,498.74859041662944,0.10106573723620926,0.10106574032010124
intel_g2o_adaptive_rule_bridge_v3_message_conditioned_information_outer20_trajectories_pose_history_completed_outer17,148.2410176631039,0.013535663721216151,107.98996690976533,4.435640420207762e-06,2,100,200,0.05,155.17007764274555,-6.929059979641664,0.013690499222626065,-0.00015483550140991433,63876174.273697115,1.235577402259882,498.74859041662944,0.10106573723620926,0.10106574032010124
intel_g2o_adaptive_rule_bridge_v3_message_conditioned_information_outer20_trajectories_pose_history_completed_outer17,148.2410176631039,0.013535663721216151,107.98996690976533,4.435640420207762e-06,2,100,200,0.02,150.88282083857635,-2.641803175472461,0.013597526299019119,-6.1862577802968e-05,63876174.273697115,1.235577402259882,498.74859041662944,0.10106573723620926,0.10106574032010124
intel_g2o_adaptive_rule_bridge_v3_message_conditioned_information_outer20_trajectories_pose_history_completed_outer17,148.2410176631039,0.013535663721216151,107.98996690976533,4.435640420207762e-06,2,100,200,0.01,149.5403095491086,-1.2992918860047098,0.013566582964033277,-3.091924281712656e-05,63876174.273697115,1.235577402259882,498.74859041662944,0.10106573723620926,0.10106574032010124
intel_g2o_adaptive_rule_bridge_v3_message_conditioned_information_outer20_trajectories_pose_history_completed_outer17,148.2410176631039,0.013535663721216151,107.98996690976533,4.435640420207762e-06,2,100,200,0.005,148.88526371897586,-0.6442460558719745,0.013551120320792837,-1.5456599576685673e-05,63876174.273697115,1.235577402259882,498.74859041662944,0.10106573723620926,0.10106574032010124
intel_g2o_adaptive_rule_bridge_v3_message_conditioned_information_outer20_trajectories_pose_history_completed_outer17,148.2410176631039,0.013535663721216151,107.98996690976533,4.435640420207762e-06,2,100,200,0.002,148.49742043796778,-0.2564027748638864,0.01354184563448243,-6.1819132662795095e-06,63876174.273697115,1.235577402259882,498.74859041662944,0.10106573723620926,0.10106574032010124
intel_g2o_adaptive_rule_bridge_v3_message_conditioned_information_outer20_trajectories_pose_history_completed_outer17,148.2410176631039,0.013535663721216151,107.98996690976533,4.435640420207762e-06,2,100,200,0.001,148.36900313575975,-0.12798547265586535,0.013538754556644623,-3.0908354284719247e-06,63876174.273697115,1.235577402259882,498.74859041662944,0.10106573723620926,0.10106574032010124
intel_g2o_adaptive_rule_bridge_v3_message_conditioned_information_outer20_trajectories_pose_history_completed_outer17,148.2410176631039,0.013535663721216151,107.98996690976533,4.435640420207762e-06,2,200,400,1.0,324.71133746271784,-176.47031979961395,0.015642344438964468,-0.002106680717748317,48100525.99081433,1.1556569260800478,324.71133746271784,0.21602102536378862,0.2160210445436239
