outer,carry_message_eta,carry_message_lam,carry_coarse_state,settle_sweeps,coarse_settle_sweeps,freeze_basis_from_outer0,nonlinear_objective,mean_pose_log_error,rms_translation_error,rms_angle_error,xy_rel_to_direct,inner_cycles,pre_sweeps,e_hat_norm,e_star_norm,e_rel_to_exact,linear_residual_exact,linear_residual_approx,next_pose_gap_to_exact,next_objective_gap_to_exact,num_groups,coarse_dim
0,False,True,False,0,0,False,812.7548653692855,28.864061942407687,35.21772553446426,0.4957170624640948,0.13766160246633355,,,,,,,,,,,
1,False,True,False,0,0,False,98.2961574503025,21.490163812268214,24.245838453954327,0.20228253535415147,0.030133091831614424,2,10,134.51849552890738,160.9546229766807,0.19043007430678516,1.520187911534838e-12,178.09818374079583,2.9999656047549648,12.597652747487388,3,12
2,False,True,False,0,0,False,29.51401116939337,21.81740933071836,24.406042125395683,0.15495162294696377,0.00665778114161249,2,10,41.20205067848966,34.29867220817027,0.2393475948661639,5.99791248473011e-13,56.04742052785479,0.9247828363967348,2.6167732705147273,3,12
3,False,True,False,0,0,False,26.834033674990536,21.81109401469914,24.38929224510214,0.15734985235026439,0.0067504401808372114,2,10,2.7883291155054337,7.714234596619798,1.0145043826070543,5.796986843402735e-14,7.965730969119168,0.8770626415602434,0.06376880000984997,3,12
4,False,True,False,0,0,False,26.794523439979827,21.812882966734467,24.394172775190487,0.1576046995783348,0.006836929339405104,2,10,0.25958637483229613,7.810317469952117,1.0128067347517913,4.448291754462087e-14,4.717309388159766,0.8852148891746651,0.02449119287327406,3,12
5,False,True,False,0,0,False,26.797657226325825,21.81482406935269,24.39879792927572,0.15789886331560662,0.006930027965698333,2,10,0.16689487405682074,7.912712823633324,1.013613563599473,4.413968476087004e-14,5.042250694945572,0.8984704934890426,0.027625271840488352,3,12
6,False,True,False,0,0,False,26.79714076580183,21.81616894023827,24.40268704392591,0.15813135354623398,0.007019716959979188,2,10,0.14596184304407858,8.019432243659582,1.0129403437557427,5.825848310758367e-14,4.935488762562382,0.9105989181929346,0.027108555261683875,3,12
7,False,True,False,0,0,False,26.797675254831162,21.817669822779592,24.406214057071526,0.15832715352955515,0.00710717193559138,2,10,0.13110649906623198,8.123342787949795,1.012456204018961,4.9916892909312886e-14,4.9520260266881175,0.9224870792755632,0.027642765757679655,3,12
8,False,True,False,0,0,False,26.798012776703303,21.819216348731537,24.40940333519184,0.15848760140539778,0.007192729476985759,2,10,0.12032009813577332,8.2246149986133,1.0120355135553005,4.550871903006722e-14,4.950221954368588,0.9340626884465923,0.027980013242277835,3,12
9,False,True,False,0,0,False,26.79835448628723,21.82082423444522,24.41230803310185,0.1586184102980437,0.007276305603172604,2,10,0.1113542366310872,8.32343892292056,1.0116168802706946,4.3118728172634995e-14,4.952893220903115,0.9452772583446749,0.028321462791573992,3,12
10,False,True,False,0,0,False,26.79865600874678,21.822481480051266,24.41496660029432,0.158723547150731,0.007358053364631064,2,10,0.10433319874199988,8.420822797716589,1.0112308758971862,4.920992933183776e-14,4.954812021367941,0.9562784884601228,0.02862273711591712,3,12
