experiment,cycle,k_used,relative_state_error,algebraic_residual,fixed_residual_norm,e_rel_to_exact,pre_residual_ratio
fixed_k_2,0,0,0.03499792225302882,207.4875331380065,207.4875331380065,1.0,1.0
fixed_k_2,1,2,0.016500739706496768,50.60633626981155,50.606336269811514,0.47147769479477003,1.0
fixed_k_2,2,2,0.004850640139679164,47.49565301160717,47.49565301160713,0.13859794603319006,1.0
fixed_k_2,3,2,0.007291887439809748,35.853864384188064,35.853864384188086,0.2083520097899927,1.0
fixed_k_2,4,2,0.0048310331541842255,24.261511479692608,24.26151147969275,0.13803771319040853,1.0
fixed_k_2,5,2,0.005453224464234151,24.18428692749925,24.18428692749905,0.15581566313413509,1.0
fixed_k_2,6,2,0.008082510928571174,23.452383050245913,23.452383050245817,0.23094259339373113,1.0
fixed_k_2,7,2,0.0038242586129504847,20.9739202458178,20.973920245817773,0.10927101858360382,1.0
fixed_k_2,8,2,0.004724964830573465,23.148354525877593,23.148354525877785,0.13500700974443458,1.0
fixed_k_2,9,2,0.005975143492216056,20.385386411621667,20.385386411621575,0.17072852065566196,1.0
fixed_k_2,10,2,0.0035655481928338274,14.706702017915742,14.706702017915807,0.1018788534654833,1.0
fixed_k_2,11,2,0.0033776750716213474,19.42800995068179,19.42800995068177,0.09651073132725099,1.0
fixed_k_2,12,2,0.0032333881870031684,15.33390905695064,15.333909056950812,0.09238800417045055,1.0
fixed_k_2,13,2,0.005759716038830913,15.138659099470807,15.13865909947095,0.16457308514690752,1.0
fixed_k_2,14,2,0.0031979265544504476,14.336194205693447,14.336194205693461,0.09137475451779963,1.0
fixed_k_2,15,2,0.002099505551369556,15.069740412626293,15.069740412626171,0.05998943411959408,1.0
fixed_k_2,16,2,0.0017810917208681508,12.347261094094506,12.347261094094586,0.05089135600527328,1.0
fixed_k_2,17,2,0.0015883427521876257,11.454859345543667,11.454859345543465,0.04538391566947518,1.0
fixed_k_2,18,2,0.001877134078582735,10.165772227605027,10.165772227605073,0.053635586277221335,1.0
fixed_k_2,19,2,0.0010214722507513858,7.772498643247925,7.7724986432478325,0.029186654093952123,1.0
fixed_k_2,20,2,0.0014384169196785096,8.510682227984447,8.510682227984704,0.04110006615088821,1.0
fixed_k_2,21,2,0.0008820756852978374,7.9901671179128355,7.990167117913049,0.025203658633699663,1.0
fixed_k_2,22,2,0.0023155132635447307,6.680235310003516,6.680235310003619,0.06616144943898238,1.0
fixed_k_2,23,2,0.001146887036481331,8.454593110084927,8.454593110084863,0.03277014641476483,1.0
fixed_k_2,24,2,0.0016258076268873703,15.887326146987293,15.887326146987219,0.046454404209960484,1.0
fixed_k_2,25,2,0.0024196553427241196,17.185327540785668,17.185327540785753,0.0691371140633129,1.0
fixed_k_2,26,2,0.0022567597069050784,17.04691031662614,17.04691031662606,0.06448267672986593,1.0
fixed_k_2,27,2,0.002107831526668053,23.46494959320505,23.46494959320515,0.06022733325200926,1.0
fixed_k_2,28,2,0.002978248793346218,30.239501288630468,30.239501288630436,0.08509787443581242,1.0
fixed_k_2,29,2,0.002951246020473496,31.042532507606662,31.0425325076065,0.0843263208341705,1.0
fixed_k_2,30,2,0.0025241075173215027,30.75783099062231,30.757830990622335,0.07212163908166001,1.0
fixed_k_2,31,2,0.002565341868002603,38.692050494285134,38.69205049428516,0.07329983332905927,1.0
fixed_k_2,32,2,0.003562141118962658,41.928589708175195,41.92858970817539,0.10178150271829597,1.0
fixed_k_2,33,2,0.00323026558006361,34.991908672098745,34.991908672098646,0.09229878153238985,1.0
fixed_k_2,34,2,0.0027558688241068087,37.30149774689907,37.30149774689916,0.07874378382255588,1.0
