outer,nonlinear_objective,inner_cycles,pre_sweeps,basis_source,coarse_damping,coarse_damping_mode,e_hat_norm,e_star_norm,e_rel_to_exact,linear_residual_exact,linear_residual_approx,next_pose_gap_to_exact,next_objective_gap_to_exact,num_groups,coarse_dim,exact_next_objective
0,3350168.410825497,,,,,,,,,,,,,,,
1,36602884.34070137,3,100,message_conditioned_information,1.0,line_search,552.5666301812636,699.3488142897845,0.8510053884939073,0.001431575703154367,868788619.8878673,12.36894955953951,-865550437.7131704,61,244,902153322.0538718
2,33758551.578891926,3,100,message_conditioned_information,1.0,line_search,284.5421371206492,519.6417690633635,0.7536354190708768,0.0006173432882314809,2762669653.7260537,9.043038123203116,-8528596077.749121,61,244,8562354629.328012
3,2692390.099425522,3,100,message_conditioned_information,1.0,line_search,49.370606320552334,310.93077301364787,0.8527375414250592,0.00023879166365644368,185404172.70064694,6.900058432851325,-97779469.22667184,61,244,100471859.32609737
4,49985.4662517085,3,100,message_conditioned_information,1.0,line_search,167.9052468231466,266.2199783863592,0.4123259111905429,0.0013133157363549306,1057376109.2339171,2.9725573390125954,-211577.92427954858,61,244,261563.3905312571
5,2823.9514285161376,3,100,message_conditioned_information,1.0,line_search,3.642509299511335,117.64801433799518,0.9932270845339846,0.0002679635342311936,174978865.19629446,2.985212618224288,-52280.26499700085,61,244,55104.216425516985
6,26033.355170790113,3,100,message_conditioned_information,1.0,line_search,28.534974370803425,116.20088437964606,0.9039042483906413,0.00021045158697986262,476123417.74577403,2.611609365442793,17111.57476153429,61,244,8921.780409255822
7,6317.483767807367,3,100,message_conditioned_information,1.0,line_search,41.2198845005622,103.61310964815179,1.0970968786231916,0.00010544809949812289,258452638.75658923,2.914142484449709,5917.193314656021,61,244,400.2904531513461
8,8098.7986856617335,3,100,message_conditioned_information,1.0,line_search,90.71122305311022,111.9486360096169,0.22405614772489463,0.00032815581001126125,734893010.8441274,0.6586390851050687,-2099.448521803519,61,244,10198.247207465252
9,1196.1628379666035,3,100,message_conditioned_information,1.0,line_search,5.038951406753972,25.865725766633673,1.1619596540530726,3.065047095416303e-05,139769738.82097083,0.7605648319048571,-3142.712402256445,61,244,4338.875240223048
10,2790.341006642277,3,100,message_conditioned_information,1.0,line_search,5.82479998573032,29.988133771523426,0.9852566395555653,5.1812189623523146e-05,172069369.88363546,0.7594760745628873,2659.083457423067,61,244,131.2575492192099
11,8922.856552601748,3,100,message_conditioned_information,1.0,line_search,4.372052679556618,29.49415683059137,1.0095548003638506,4.277785849223891e-05,308675865.1238346,0.7539497012506551,8811.19741073999,61,244,111.6591418617586
12,750.780820462938,3,100,message_conditioned_information,1.0,line_search,21.867492511167974,29.908712168795198,0.6569562863647654,1.5251852175255473e-05,104958934.77791637,0.5177294353118692,627.7843131136997,61,244,122.99650734923836
13,437.0255459859292,3,100,message_conditioned_information,1.0,line_search,2.617153008215471,19.82815870765939,1.0921053418899331,5.182125260313435e-05,57418609.45294645,0.5633520702155801,271.18072689528594,61,244,165.84481909064326
14,644.5564334630437,3,100,message_conditioned_information,1.0,line_search,7.384733920044985,21.695718329416206,1.0277312561267742,8.26159792515428e-05,76433577.70281619,0.5798083347305131,373.07938240476926,61,244,271.47705105827447
15,108.59561772246923,3,100,message_conditioned_information,1.0,line_search,7.886364820444493,22.186155442484836,1.0641419455529568,5.753991008891012e-05,6284996.9426375395,0.6001295540362791,-117.51483620186349,61,244,226.11045392433272
16,5750.985211743094,3,100,message_conditioned_information,1.0,line_search,4.898601611528497,23.528551260601052,1.0968135237497505,7.665449220765297e-06,244813795.03167373,0.6551382279556678,5494.941428815094,61,244,256.04378292799976
17,38612.56767549684,3,100,message_conditioned_information,1.0,line_search,23.646740667186275,25.687222086352815,0.14587991172804138,2.276955588088534e-05,687806917.1119001,0.0942797542141838,38394.29186432394,61,244,218.27581117289847
18,485.40961336426705,3,100,message_conditioned_information,1.0,line_search,3.654926413967148,3.7553777536101203,1.3085129351185056,1.631512458113479e-05,63147815.31618314,0.1267224753053775,375.0132985538967,61,244,110.3963148103704
19,240736.05731023377,3,100,message_conditioned_information,1.0,line_search,70.63584074587574,4.871529334666472,13.66034518722847,5.170839372766188e-06,1581788568.8843415,1.8662397420097683,240627.33431409247,61,244,108.72299614130587
20,301824.37416850514,3,100,message_conditioned_information,1.0,line_search,20.809945055655042,66.43830302661175,1.3065866830845232,0.0011217491669587986,1805481518.3999119,2.4474596268465683,301663.70794005704,61,244,160.66622844811465
