base_label,start_objective,start_x_rel_to_direct,exact_after_objective,exact_after_x_rel_to_direct,c,k,ck_cost,beta1_objective,beta1_x_rel_to_direct,beta1_objective_improvement,beta1_x_rel_improvement,best_objective_beta,best_objective,best_objective_x_rel_to_direct,best_x_rel_beta,best_x_rel_to_direct,best_x_rel_objective,linear_residual_approx,e_rel_to_exact,raw_full_step_objective,last_cycle_pre_residual_ratio,last_cycle_post_residual_ratio,exact_step_norm,approx_step_norm
fixed_path_completed_outer19,109.57278813537108,0.00625139975406041,107.94250827356883,2.675390797332292e-06,1,20,20,36915134507.469955,1.3892508507241925,-36915134397.89717,-1.3829994509701322,0.001,3383.434587887981,0.0059090077010103634,0.002,0.005905635300347626,13399.377830197212,130787093123.51984,229.152800567776,36915134507.469955,33102.041304972074,33097.43500171852,3.2404989191949714,743.683077571462
fixed_path_completed_outer19,109.57278813537108,0.00625139975406041,107.94250827356883,2.675390797332292e-06,1,50,50,72058390.84775712,0.007288931470254325,-72058281.27496898,-0.0010375317161939153,0.001,201.4172009669646,0.00624954084168298,0.3,0.005954543479546711,6489112.085039561,26875778396.374516,1.1655299419401182,72058390.84775712,6801.277848364997,6801.277613491292,3.2404989191949714,3.171336431694074
fixed_path_completed_outer19,109.57278813537108,0.00625139975406041,107.94250827356883,2.675390797332292e-06,1,100,100,51554.31291426347,0.004981724568435644,-51444.7401261281,0.001269675185624766,0.001,110.16295841496452,0.006249670477878757,1.0,0.004981724568435644,51554.31291426347,744554228.2003053,0.7970837883277946,51554.31291426347,188.41947928794949,188.41947308853148,3.2404989191949714,1.4051637117131575
fixed_path_completed_outer19,109.57278813537108,0.00625139975406041,107.94250827356883,2.675390797332292e-06,1,200,200,3990.868006916707,0.004694505067623691,-3881.295218781336,0.0015568946864367187,0.02,108.13136774888453,0.006214666474471631,1.0,0.004694505067623691,3990.868006916707,204457628.48620704,0.7515444131695126,3990.868006916707,51.74074918724416,51.74075597074966,3.2404989191949714,1.264797496435104
fixed_path_completed_outer19,109.57278813537108,0.00625139975406041,107.94250827356883,2.675390797332292e-06,1,300,300,1404.3953860991433,0.004546232406473184,-1294.822597963772,0.001705167347587226,0.02,108.33618299177073,0.0062138343744517375,1.0,0.004546232406473184,1404.3953860991433,118251033.77478981,0.727765000825321,1404.3953860991433,29.925012354937103,29.925016381783134,3.2404989191949714,1.1691593099970645
fixed_path_completed_outer19,109.57278813537108,0.00625139975406041,107.94250827356883,2.675390797332292e-06,2,20,40,3168665827058.7734,1.2071066443988545,-3168665826949.2007,-1.2008552446447942,0.001,316795.3450010263,0.005963424068420985,0.001,0.005963424068420985,316795.3450010263,1670248296215.0386,270.38194500821425,3168665827058.7734,12.770731545148264,12.770742558194168,3.2404989191949714,877.1326577574704
fixed_path_completed_outer19,109.57278813537108,0.00625139975406041,107.94250827356883,2.675390797332292e-06,2,50,100,32349.578528656097,0.0038813396032894402,-32240.005740520726,0.0023700601507709697,0.005,108.22233507685068,0.006232654017387914,1.0,0.0038813396032894402,32349.578528656097,586103929.2269136,0.6205512307521693,32349.578528656097,0.02180787963044442,0.02180788666221395,3.2404989191949714,2.4796219823288257
fixed_path_completed_outer19,109.57278813537108,0.00625139975406041,107.94250827356883,2.675390797332292e-06,2,100,200,445.02810903111896,0.004492448768273467,-335.4553208957479,0.001758950985786943,0.05,108.11991691725973,0.006156837962608283,1.0,0.004492448768273467,445.02810903111896,59380387.86054465,0.7186695642624904,445.02810903111896,0.07975293144914106,0.07975293888811241,3.2404989191949714,1.1360260940945097
fixed_path_completed_outer19,109.57278813537108,0.00625139975406041,107.94250827356883,2.675390797332292e-06,2,200,400,147.35916881462165,0.004351667173287004,-37.78638067925057,0.0018997325807734063,0.2,108.07001588283026,0.005864552667612526,1.0,0.004351667173287004,147.35916881462165,20056293.17972275,0.6962028105372802,147.35916881462165,0.09809510210584586,0.09809510815623967,3.2404989191949714,1.0510249532728726
fixed_path_completed_outer19,109.57278813537108,0.00625139975406041,107.94250827356883,2.675390797332292e-06,2,300,600,109.64756343883562,0.004220803066981857,-0.0747753034645342,0.002030596687078553,0.5,107.9379156604909,0.005228904192369535,1.0,0.004220803066981857,109.64756343883562,3713005.263669911,0.6751891055916381,109.64756343883562,0.03139934602139663,0.03139934717815122,3.2404989191949714,1.0901166063749417
fixed_path_completed_outer19,109.57278813537108,0.00625139975406041,107.94250827356883,2.675390797332292e-06,3,20,60,332856803233.4822,0.6029766179874845,-332856803123.90936,-0.5967252182334241,0.001,466300.3761700951,0.0063016574003156925,0.001,0.0063016574003156925,466300.3761700951,2222987506127.208,104.05428131358845,332856803233.4822,1.3309326103181032,1.3309323596765437,3.2404989191949714,337.07618000840716
fixed_path_completed_outer19,109.57278813537108,0.00625139975406041,107.94250827356883,2.675390797332292e-06,3,50,150,4190.527196160332,0.0023427124269782868,-4080.954408024961,0.003908687327082123,0.02,108.15959815300158,0.006165120207194133,1.0,0.0023427124269782868,4190.527196160332,204895852.46383625,0.37510072563074914,4190.527196160332,0.3495895637677523,0.34958962437617375,3.2404989191949714,2.3384060210811226
fixed_path_completed_outer19,109.57278813537108,0.00625139975406041,107.94250827356883,2.675390797332292e-06,3,100,300,574.5135166719876,0.0036245591129877974,-464.9407285366166,0.0026268406410726126,0.05,108.13430270967389,0.006118831222904468,1.0,0.0036245591129877974,574.5135166719876,71042918.14900951,0.5798520546323009,574.5135166719876,1.1964035093919188,1.1964037405052728,3.2404989191949714,1.3922445535957235
fixed_path_completed_outer19,109.57278813537108,0.00625139975406041,107.94250827356883,2.675390797332292e-06,3,200,600,121.09495808400055,0.0036249023858534297,-11.522169948629468,0.0026264973682069803,0.3,108.1428722577301,0.005460993845510904,1.0,0.0036249023858534297,121.09495808400055,12112629.929538434,0.5797969516992201,121.09495808400055,0.6039315214752461,0.6039316348738115,3.2404989191949714,1.3742068453249399
fixed_path_completed_outer19,109.57278813537108,0.00625139975406041,107.94250827356883,2.675390797332292e-06,3,300,900,112.01888005178795,0.003522726884707914,-2.4460919164168615,0.002728672869352496,0.001,109.57425761610948,0.006248658495475469,1.0,0.003522726884707914,112.01888005178795,6331853.522380013,0.5634695516521084,112.01888005178795,1.7053180351750776,1.705317680083666,3.2404989191949714,1.429439082398311
fixed_path_completed_outer19,109.57278813537108,0.00625139975406041,107.94250827356883,2.675390797332292e-06,4,20,80,68479882020.73273,0.42498967590901215,-68479881911.15994,-0.41873827615495174,0.001,68543.49009807031,0.006348265108642005,0.001,0.006348265108642005,68543.49009807031,832613614279.5422,68.43788647385291,68479882020.73273,0.3745472691562181,0.3745471407214903,3.2404989191949714,221.1120720074819
fixed_path_completed_outer19,109.57278813537108,0.00625139975406041,107.94250827356883,2.675390797332292e-06,4,50,200,1070.4687088447185,0.0038636846387249944,-960.8959207093475,0.0023877151153354156,0.001,109.63587680204394,0.006248910115105389,1.0,0.0038636846387249944,1070.4687088447185,88632545.6833676,0.6181637103843574,1070.4687088447185,0.43257347824579695,0.4325736446959612,3.2404989191949714,1.3684457372056957
fixed_path_completed_outer19,109.57278813537108,0.00625139975406041,107.94250827356883,2.675390797332292e-06,4,100,400,311.817789232585,0.004076260751828882,-202.24500109721396,0.002175139002231528,0.001,109.60369458427087,0.00624916779036338,1.0,0.004076260751828882,311.817789232585,47537492.276566766,0.6522209261595562,311.817789232585,0.6691374816687776,0.669137663755012,3.2404989191949714,1.2085057910215706
