outer,r4_proj_rel,r4_coarse_rel,r4_proj_a_rel,r4_coarse_a_rel,r4_proj_obj_gap,r4_coarse_obj_gap,r4_coarse_dim,r4_compression_ratio,r6_proj_rel,r6_coarse_rel,r6_proj_a_rel,r6_coarse_a_rel,r6_proj_obj_gap,r6_coarse_obj_gap,r6_coarse_dim,r6_compression_ratio
0,0.586915747077848,0.8104987990729852,1.001701694681446,0.9813505150302302,1061434871.3990582,807691047.2482148,244,0.06623235613463627,0.5359198000308685,0.7810422238986313,1.0010404279890794,0.9744963878695521,5399517659.143797,7704710997.072476,366,0.0993485342019544
1,0.7130529600040239,0.9580730565758865,1.0000000103748408,0.9999997107919206,898024422.1375084,898555172.2957257,244,0.06623235613463627,0.6558505647981278,0.9454992323070976,0.9999999852835579,0.9999995281199819,898553447.1854193,900835460.1923589,366,0.0993485342019544
2,0.6707492690171478,0.9661412919383741,1.0000000911888889,0.9999999745888186,4712586.821592873,4712581.783153974,244,0.06623235613463627,0.6197139276273629,0.962401687507245,1.000000124576345,0.9999999582879637,4712576.977305066,4712585.443380088,366,0.0993485342019544
3,0.5262975195098247,0.8784829577706593,1.0000796379282868,0.9999827429152098,1.2138856618378782,1.2136444562850244,244,0.06623235613463627,0.47623937612838174,0.8746535579614394,1.0001029312399232,0.9999803887806308,1.213943036460094,1.2136387467076872,366,0.0993485342019544
4,0.5943886813559885,0.8715656261360653,1.178534193584064,0.9452726691174492,1.7372683203120687e-07,1.1213938932996825e-07,244,0.06623235613463627,0.4910776520377916,0.8400822162257457,1.2298930720643058,0.9133308978205715,1.8921423361462075e-07,1.0479784862127417e-07,366,0.0993485342019544
5,0.4919659400269811,0.7865989247821658,1.1341103657759093,0.5820362452813167,3.5571190437622136e-10,6.447464784287149e-11,244,0.06623235613463627,0.4459840069432043,0.7858668948080647,1.2585085935813332,0.5699781380229547,4.531699460130767e-10,1.6268586477963254e-10,366,0.0993485342019544
7,0.6577570973690323,1.000142566766115,67.83425487092994,0.9969236979293997,-2.3376856006507296e-11,-7.426592674164567e-11,244,0.06623235613463627,0.6026235313347187,1.0001313838770338,80.24062578181936,0.9966051729356287,1.7138290786533616e-11,-3.453237695794087e-12,366,0.0993485342019544
