outer,nonlinear_objective,inner_cycles,pre_sweeps,basis_source,coarse_damping,e_hat_norm,e_star_norm,e_rel_to_exact,linear_residual_exact,linear_residual_approx,next_pose_gap_to_exact,next_objective_gap_to_exact,num_groups,coarse_dim,exact_next_objective
0,3350168.410825497,,,,,,,,,,,,,,
1,1355087887.3609602,3,100,message_conditioned_information,0.5,476.09850516720746,699.3488142897845,0.6524900097102602,0.001431575703154367,1672458401.755669,9.166803312913057,452934565.3070885,61,244,902153322.0538718
2,126588511.54675655,3,100,message_conditioned_information,0.5,179.01166108033894,382.77202830861097,1.0525772582555784,9.70238554384041e-05,1107008582.2938967,9.401086890030086,-1198687863.9748104,61,244,1325276375.5215669
3,6190.162249359473,3,100,message_conditioned_information,0.5,34.99327703942112,350.1767519802767,0.9100097770361231,0.0002372397226978202,573000290.0608158,8.06934648079186,-22286387.038383108,61,244,22292577.200632468
4,13430.30453879081,3,100,message_conditioned_information,0.5,27.73704011839325,316.49875129560405,0.9124239196071086,0.00011895504336359573,404557137.30389875,7.358919051804621,-222765.6161540384,61,244,236195.9206928292
5,10552.920354648575,3,100,message_conditioned_information,0.5,26.015179420804177,288.6378844537405,0.9098911574256171,0.00013108438552707514,323850500.6199662,6.694617622663295,-271137.19219342485,61,244,281690.1125480734
6,32727.174614785272,3,100,message_conditioned_information,0.5,19.643688956025827,262.5378449127793,0.9254449421902943,9.850695982761692e-05,571131556.5963879,6.194009411433818,-165441.14214124673,61,244,198168.316756032
7,1154.177706860776,3,100,message_conditioned_information,0.5,23.02547477397066,243.24696784799804,0.905708145544764,0.0002002419627777739,116321159.72260956,5.609142041614745,-111343.14272606063,61,244,112497.3204329214
8,7696.824412027288,3,100,message_conditioned_information,0.5,23.611064837421498,219.73634608924573,0.8926659723283246,0.00026724834773912524,260864699.7383838,4.9997434720620815,-102586.36083784189,61,244,110283.18524986917
9,4719.7459346477335,3,100,message_conditioned_information,0.5,22.84553113842659,196.19018748774516,0.8835681888976817,5.971872555591973e-05,219722870.7999944,4.4181467658344085,-50933.9513647878,61,244,55653.69729943553
10,650.141620267876,3,100,message_conditioned_information,0.5,20.842382703053858,173.27903243872896,0.8797370186068417,0.00015780679527939467,73651658.33165161,3.885227160140297,-39831.54354415438,61,244,40481.685164422255
11,997.1636849345896,3,100,message_conditioned_information,0.5,17.01541623347161,152.2953307034946,0.8882824576636565,0.0001231228865437942,86103967.15905558,3.448243793997221,-28024.02647621045,61,244,29021.190161145038
12,4075.8615566526446,3,100,message_conditioned_information,0.5,19.158462238139535,135.17630385130101,0.8585792075348108,0.00016200187049981746,201235725.26667735,2.9599978121815065,-11521.399912794579,61,244,15597.261469447223
13,7266.902724170374,3,100,message_conditioned_information,0.5,14.15188832104347,116.1631449224281,0.8784619021206885,0.00011070146765987352,271912972.8009117,2.6008487750158733,-1965.8563129061686,61,244,9232.759037076543
14,6401.425275484597,3,100,message_conditioned_information,0.5,16.568281641190403,102.09019199100642,0.8377870503080954,8.347606000602784e-05,243717592.08683527,2.1761749849818712,1239.3239782548535,61,244,5162.101297229743
15,2081.948292478531,3,100,message_conditioned_information,0.5,12.461509543387379,85.39322849664502,0.8542201648716885,1.7387521162386848e-05,151195670.15469033,1.8581763666787354,816.8965887791901,61,244,1265.051703699341
16,6536.035130670734,3,100,message_conditioned_information,0.5,6.588823202064562,72.94923101614259,0.9106387012426449,3.258656937440508e-05,262198035.5351912,1.6923088134207624,5066.96817583885,61,244,1469.0669548318847
17,578.1254066112587,3,100,message_conditioned_information,0.5,11.897401955583891,66.47337497125011,0.821717497980778,6.763105924926754e-05,68781709.60145517,1.390466592247311,-416.7244791872613,61,244,994.84988579852
18,1787.7504815184257,3,100,message_conditioned_information,0.5,9.44203768127057,54.503738579371266,0.8270352941906991,1.3901373065516738e-05,131986799.07952961,1.1482969040443998,1260.4655256569508,61,244,527.2849558614747
19,6076.84022990067,3,100,message_conditioned_information,0.5,1.9085222893284999,45.0782478010839,0.9675204636208723,3.814189533807502e-05,254512460.28515568,1.114155676568634,5799.262611076046,61,244,277.5776188246243
20,3007.9568435846127,3,100,message_conditioned_information,0.5,6.189899354108051,43.679033177241934,0.8634876286532794,2.1004545547502837e-05,166192499.61016962,0.9583215347342509,2356.332321610516,61,244,651.6245219740966
