k,final_cycle,final_relerr,final_residual,final_fixed_residual_norm,best_relerr,best_cycle,diverged,cycle1_pre_ratio,cycle1_lam_delta,cycle1_e_step,cycle2_pre_ratio,cycle2_lam_delta,cycle2_e_step
1,100,30.796170117598358,64544.02937656493,64544.02937656493,0.006668245422397946,3,False,0.40433129839604137,100000000.0,41.77932982907606,0.422388357063906,0.9999999898990001,25.64315260374223
2,100,0.0010300461395489125,18.324426998646196,18.324426998646178,0.0005299291545211887,79,False,0.22321044344376434,0.9999999898990001,27.340200101336766,0.9813353108308898,0.3333333319753331,31.477443879932345
5,100,0.016580750904556237,79.88896066135663,79.88896066135666,0.0004911578741008174,14,False,0.09691297820406893,0.24999999905937464,10.637142819211915,2.271592247325257,0.1111111103330239,36.84846412246501
10,88,1360771814179.1785,5081659154418579.0,5081659154418578.0,0.0011191608492705405,7,True,0.10588939327039958,0.1111111103330239,5.346206735514736,1.9662905572174139,0.220403794954665,37.64380902816178
20,100,3663.8540675922104,8284510.797846602,8284510.797846602,0.00048611157665338976,4,False,0.06565113512991129,0.220403794954665,5.31938411464698,0.6773807540245289,0.014839710290416863,12.840479122876449
50,100,1.0673909682286726e-08,5.655568780803581e-08,5.65562212691795e-08,9.371429161216222e-09,63,False,0.006869753999798333,0.01854687698793922,1.2351183495090203,0.07883941717904146,2.182219345336911e-06,0.638592118865625
