outer,nonlinear_objective,mean_pose_log_error,rms_translation_error,rms_angle_error,inner_cycles,pre_sweeps,e_hat_norm,e_star_norm,e_rel_to_exact,linear_residual_exact,linear_residual_approx,next_pose_gap_to_exact,next_objective_gap_to_exact,num_groups,coarse_dim
0,812.7548653692855,28.864061942407687,35.21772553446426,0.4957170624640948,,,,,,,,,,,
1,98.2961574503025,21.490163812268214,24.245838453954327,0.20228253535415147,2,10,134.51849552890738,160.9546229766807,0.19043007430678516,1.520187911534838e-12,178.09818374079583,2.9999656047549648,12.597652747487388,3,12
2,44.93039527057112,21.023248617609433,23.55481282101641,0.16502429092809465,2,10,15.564280666277455,34.29867220817027,0.7065279229778443,5.99791248473011e-13,156.8259403887217,2.4805404458339613,18.033157371692475,3,12
3,44.41374981382218,21.272145622755225,23.84589867046073,0.16431323244317786,2,10,2.725815796072513,24.833975156569014,0.9733804172969492,1.7964042538789288e-13,158.70247733520614,2.4790399421192233,17.617602514182316,3,12
