base_label,beta,post_objective,objective_improvement,x_rel_to_direct,x_rel_improvement
initial,1,902153322.0538718,-898803153.6430463,0.06768441081803492,1.1635864124731652
initial,0.8,371257088.0142473,-367906919.6034218,0.25195739429143343,0.9793134289997667
initial,0.5,57808132.98065009,-54457964.56982459,0.6469707773207282,0.584300045970472
initial,0.3,9052741.631943619,-5702573.221118122,0.8957718417511555,0.33549898154004465
initial,0.2,3611216.4490467026,-261048.03822120558,1.013260843378496,0.2180099799127042
initial,0.1,2805849.9434834975,544318.4673419995,1.1252824948355786,0.10598832845562156
initial,0.05,3029436.8644612557,320731.5463642413,1.1790638251742942,0.05220699811690599
initial,0.02,3217699.4121239814,132468.9987015156,1.210580947245738,0.02068987604546213
initial,0.01,3283531.217695195,66637.19313030178,1.220958363433868,0.01031245985733209
initial,0.005,3316761.150742614,33407.26008288283,1.2261227428671138,0.005148080424086432
initial,0.002,3336784.9709828375,13383.439842659514,1.2292135508153543,0.0020572724758458616
initial,0.001,3343473.2971363687,6695.1136891283095,1.2302425139856896,0.0010283093055105663
