iteration,graph_error,custom_objective,absolute_decrease,relative_decrease
0,2207090831.262298,2207090831.262298,,
1,1824273612.1362767,1824273612.1362734,382817219.1260214,0.17344878321436247
2,241535495.79990992,241535495.79990935,1582738116.336367,0.867599084812138
3,2246554992.160983,2246554992.1609855,2005019496.3610733,8.301138057248732
